Manx,English
Co-obbraghey Gaelagh,
,
,"More co-operation is needed between Mann, Scotland and Ireland in particular and, in general, Mann needs to adopt a more outward-looking approach."
,
"Haink earishlioar noa magh er-y gherrit. T'eh enmyssit 'Cothrom' as t'eh jeant liorish Comann an Luchd Ionnsachaidh (Sheshaght y Lught-Ynsee). Shoh sheshaght ta gobbraghey dy-breeoil son y Ghaelg Albinagh, ny Albinish.",
"Ta'n earishlioar shoh, 'Cothrom' ('Corrym'), dauesyn ta gynsaghey Albinish. Son y chooid smoo, t'eh screeut myr earishlioar daa-hengagh, Albinish er un cheu as Baarle er y cheu elley. T'eh beggan ny smoo na daeed duillag er-lhiurid as eh clouit dy jesh er pabyr stoamey. Tra honnick mee 'Cothrom', smooinee mee dy vel ny Albinee jannoo mirrilyn nish. Row ad son cur magh yn earishlioar yindyssagh shoh gagh mee? Cha nel: hed eh er cur magh un cheayrt sy vlein, ayns Toshiaght Arree. Agh eer shen, she obbyr vooar t'ayn. Ta fys dy liooar ry-gheddyn syn earishlioar shoh mychione Caidhlig - as paart mychione yn Ghaelg ayns Mannin neesht. Ta duillag ny ghaa ayns tree chengaghyn: Albinish, Yernish as Baarle. Ta shoh bentyn rish art ta soilshaghey magh dy vel Conradh na Gaeilge (Y Commeeys-Yernish) keead blein dy eash myleeaney. Gyn ourys, bee y sleih ta cur magh 'Cothrom' arryltagh Gaelg y chur stiagh neesht.",
"Ta fograghyn dy-liooar syn earishlioar noa shoh dy hoilshaghey magh coorseyn Albinish ta kianlt lesh laghyn seyrey. Ta paart dy vuill nish raad oddys oo gynsaghey Albinish ayns thie-aaght ta sour as taitnyssagh dy-liooar. Shoh ayrn jeh sorch dy ghleashaght t'ad gra 'thurryssid cultooroil' rish, red ta gaase ayns ymmodee cheeraghyn. Ta'n lheid goaill toshiaght ayns Mannin fy-yerrey, ga nagh vel monney sleih cur geill da. Choud as vees mayd freayll rick er y thurryssid cultooroil shoh, cha bee eh ro olk as oddagh eh jannoo foays dy-liooar da Mannin. Agh ta gaue ayn dy bee ny reddyn feeu baiht ayns thooilley jeh reddyn gyn scansh. Shen y gaue t'ayns cooishyn thurryssid as argid. Lhig dooin kiarail y ghoaill.",
"Tra t'ou gimraa co-obbraghey Gaelagh (eddyr Mannin, Nalbin as Nerin), ta fys ec sleih dy-liooar er y Chommeeys Celtiagh (yn cheshaght pholitickagh) as ec paart dy 'leih er y Cho-haglym Celtiagh (yn cheshaght neu-pholitickagh). Ec y traa t'ayn, cha nel monney bree sy Cho-haglym, er-lhimmey jeh un cheayrt ayns shey bleeaney (tra ta sleih cheet nyn guaiyl son chaglym mooar ayns cheer Cheltiagh ennagh). Ta'n Co-haglym cho debejagh dy scapail veih'n pholitickaght as dy vel shen cur er dy ve ny smoo faase na lhisagh eh ve. Foddee dy vel y Commeeys Celtiagh ro pholitickagh as nagh vel y Co-haglym politickagh dy-liooar (ta fys aym dy vel bunraght y Cho-haglym gra dy vel eh neu pholitickagh - agh c'red ta politickaght?).",
"Son shickyrys, shimmey aght oddys ny Manninee, Albinee as Yernee gobbraghey ry-cheilley cheu-mooie jeh sheshaghtyn goll rish y Commeeys as y Co-haglym as yn Cheshaght Ghailckagh. Myr sampleyr, cha nel claaryn ry-hoi sleih ta gynsaghey Albinish goll er creeley ec Colught Chellveeish Border, ga dy vel y lheid goll er creeley ec Grampian as Colught Chellveeish Nalbin. Screeu lught ny Caidhlig rish Border gaccan mychione shoh. Screeu Border er-ash rish ny Albinee as dooyrt ad nagh row sleih ayns ardjyn Border laccal claareyn Albinish, agh va Border eginit gra dy row ad er ngeddyn aghin veih Mannin va shirrey claaryn chellveeish ayns Gaelg Vanninagh! (She Peddyr Karran, O.K.F. screeu rish Border). Kyndagh rish shen, hoig ny Albinee dy row Mannin goaill ayrn sy chooish as hug ad formyn-aghin da Manninee dy lhieeney seose dy chooney lesh Albinish. As oddagh ny Manninee cosney red ennagh ass shoh sy jerrey. Cha nel eh firrinagh nagh vel sleih ta cummal ayns ardjyn chellveeish Border laccal Albinish. S'cosoylagh dy bee Border creeley stoo ayns Albinish lurg tammylt. As y Ghaelg? Quoi ec ta fys.",
"Sampleyr elley jeh co-obbraghey, va shen y thurrys jeh Sheshaght Shennaghys Ó Fiaich veih Nerin gys Mannin ec y Chaisht. She yn Ghaelg va'n ynrican oyr dy daink y sleih shoh gys Mannin. By vie lhieu clashtyn yn Ghaelg as cur shilley er ny buill ta bentyn ree. Hug ny Yernee shilley er Thie ny Gaelgey. Creneash as y Thie Tashtee, mastey buill elley. Laa ny Caisht, haink ad gys y chirveish Gaelgagh va reaghit ec y Cheshaght Ghailckagh ayns Kerroo Keeill. Gyn ourys, hig ny Yernee shoh gys Mannin reesht.",
"Ec yn un cheayrt, ta Manninee goll gys yn Eisteddfod Ashoonagh ayns Bretin, t'ad goll gys y feailley mooar ayns yn Oriant, as ren ny Troggeyderyn-Tholtan obbyr vie ayns Nerin ayns Feailley ny Arraneyn Celtiagh. As cre mysh yn Chruinnaght as feaillaghyn elley?",
"Ga dy vel co-obbraghey Gaelagh ennagh goll er, dy-firrinagh she red ta goll er ec yn oirr, ta'n Manninagh cadjin smooinaghtyn (my ta fys echey ny eck dy vel y lheid goll er er chor erbee!). Dy dooghyssagh, liorish shennaghys, pabyryn naight as y chellveeish, she Sostyn mean y teihll foast as shen y jerrey jeh'n skeeal.",
"Agh shoh aght gaueagh dy smooinaghtyn y laa t'ayn jiu. Nee eh foays mooar da Mannin my vees ee co-obbraghey ny smoo marish Nalbin as Nerin - as marish ny cheeraghyn Celtiagh elley, marish ny Germaanee, ny Frangee, ny Shapaanee marish sleih erbee. Cha nel shoh dy ghra dy vel shin noi Sostyn. Shegin dooin ve noi aght-beaghee ta croghey er Sostyn dy bollagh. Cha nee co-obbraghey shen.",
,
Orry Crennell,
