Manx,English,Diplomatic,Notes
,,Arrane Mannanagh – Va dheiney skillonnan mennick goaill arrane,
,,(Ayns yn aght screeu yn Ned Beg Hom Ruy eh):,
Va deiney Skeeyl Lonan mennick goaill arrane,The men of Lonan were often singing ,Va dheiney Skillonnan mennick ghoaill arrane,
Ayns thie Ballagraw harrish jough,In Ballagraw house over a drink,Ayns thie Ballagraw harrish jogh,
Jeh kirree fo niaghtee as Mylecraine,"Of sheep under snow, and Mylecaraine",Jeh keeree fo niaghtee as Molleycarrane,
As pintyn roie harrish lesh frough,And pints running over with froth,As Phintyn roie harrish lesh frogh,"Frough— Screeu Ned Beg ‘frogh’ ta Cregeen cur ‘rotten’ rish. Ta Kelly cur ‘a fog’ rish ‘frough’. T’eh feer phossible dy beagh fockle mee-voylley ec Ned Beg rish jough, agh t’eh kiart cha liklee dy re ‘frough’ ta’n fockle cadjin rish ‘kesh lionney’."
,,,
Agh ga dy vel ooilley yn sleih shen ersooyl,But though all those people are gone,Agh gha dy vel ooilley yn sleih shen ersooyl,
As paart jeu jarroodit dy liooar,And some of them forgotten enough,As paart jiu jarroodyt dy lioar,
Cha vel ad er vaagail carraneyn nyn gooyl,They haven’t (so much as) left carranes behind them,Cha vel ad er vaigail carraanyn nyn gooyl,
Syn niarragh dy hooyl ayns yn ooir,To walk in the soil in the Spring,Syn niarragh dy hooyl ayns yn ooir,
,,,
Ny yeih ta’n imbagh dy feayraght ayn nish,"Nevertheless, the season of cold is here now",Ny yeih ta yn imbagh dy feearagh ayn nish,
As kirree rouail noon as noal,And sheep wandering to and fro,As keereee rouaill noon as noall,
Ta boght ny heirinnee jeeaghyn magh eisht,The poor farmers are looking out then,Te bogh ny eirinnee jeeaghyn magh esht,
Nagh jean ad ny kirree y choayl,That they don’t lose the sheep,Nagh jean ad ny keeree y coall,
,,,
Son ta’n niarragh er jeet lesh feayraght as rio,Because the Spring has come with cold and ice,Son ta’n niarragh er jeet lesh feearagh as rio,
Ta’n aer jeeaghyn quaagh dy mie,The sky looks well strange,Ta’n aer jeaghyn quiagh dy mie,
My hig eh er sniaghtey ny kirree vees fo,If it manages to snow the sheep will be under,My hig e er sniaghtey ny kerree vess fo,
Eisht gow shiu dy gheddyn ad thie,Then you’ll go to get them home,Eisht ghow shiu dy gheddyn ad thie,
,,,
Ta’n gheay feayr nish sheidey er voish yn neear-hwoaie,The cold wind now blows from the north-east ,Ta’n gheay feear nish sheidey er voish yn nearhwoaie,
As bodjalyn dorraghey gaase,And clouds grow dark,As bodjalyn dorraghey gaase,
Nagh faag shiu ny kirree as colbeeyn mooie,Don’t leave the sheep and heifers out,Nagh faig shiu ny kerree as colbeeyn moie,
Agh gow shiu kiarail jeh’n maase,But take care of the cattle,Agh gow shiu karraill jeh yn maase,
,,,
Son shimmey cretoor boght ta’n sniaghtey er stroie,For many is the poor creature the snow has destroyed,Son shinney cretoor bogh ta’n sniaghtey er stroie,
Syn imbagh ta shaghey er gholl,In the season that has gone past,Syn imbagh ta shaghey er gholl,
Dy mennick va riojit ny lhie rish ny cleigh,Often were frozen lying by the hedges,Dy mennick va riojyt ny lhie rish ny chleigh,
Ny rouail ersooyl veih nyn oayl,Or wandering away from their home,Ny rouaill ersooyl veih nyn oayl,
,,,
Esht jean shiu goaill tastey as kiarrail ayns traa,Then take heed and take care and in time,Esht jean shiu ghoaill tastey as kaarraill ayns tra,
Dy haglym ny shellooyn stiagh,To gather the herds in,Dy haglym ny shellooyn stiagh,
As nish troggal erriu ayns soiljey yn laa,And now get up in the light of day,As nish troggal erroo ayns soiljey yn laa,
Dy hauail yn maase voish yn chragh,To save the cattle from disaster,Dy hauaill yn maase voish yn chragh,
,,,
Ny eayin as yn feayraght gys fastee yn chlea,The lambs out ot the cold to the shelter of the hedge,Ny eeayn as yn feearagh gys fastee yn chlea,
As eiyr shiu ad sheese veih yn clieau,And chase them down from the mountain,As eiyr shiu ad sheese veih yn chlieu,
As nyn moiraghyn neesht dy vod ad goaill fea,And their mothers too so that they may rest,As nyn moiraghyn neesht dy vod ad ghoaill fea,
Shoh cliaghtey t'er ve er dy rieau,This is a custom that has always been,Shoh chliaghtey te’r ve er dy rieu,
,,,
,,,
,,,
