English,Manx,Notes
\Rev. William Crebbin,,
Vicar of Jurby/,,
,,
Of Excommunication,,
1762,,
,,
Upon occasion of John Teare of Karlaan being under that dreadful sentence for a second relapse into the sin of fornication – under which he continued for above two years.,,
1762,,
Jurby August 15th 10th Sunday after Trinity: Manks 1 Cor. 5. 12–13,,
He being admitted to penance.,,
[117],[117],
"1 Cor. 5. 12, 13.","1 Cor. 5. 12, 13.",
Do ye not judge them that are within? But them that are without God judgeth. Therefore put away from among your selves that wicked person.,Nagh vel shiuish brieunys ad shen ta stieh? Agh ad shen ta mnoih ta Djee. Shen y fa cur shiu er sool veih na meskey eu hein yn persoon meechrauee shen.,
"The holy apostle in this chapter doth sharply rebuke the church of Corinth for their great negligence in punishing scandalous offenders, directing to excommunication as the proper remedy for redressing such offences, and declaring the end & intention of that ecclesiastical censure to be the destruction of sin, & the salvation of the sinner. [118]","Ta’n ostyl casherick sy chabdil shoh, cur oghsyn gear da aglish Corinth son yn liggal shaghey mooar oc dy chaerragh peccee scammyltagh, pointeil dy charba ad veih’n aglish myr yn cour shaar dy chummal foeh leyd yn drogh yiannoo, as soilshagh dy vel yn vrieunyss shen ta’n aglish cur pointyt as kiaryt dy chur naardey peccah, as son sauaaltyss peccee.",
"Ye are puffed up, & have not rather mourned. v. 2.","Ta shiu er nyn sheagey seoyse lesh moayrn, as cha /vel/ [118] vel shiu na sloih er yobberan. v. 2.",
"He here censures the Church for tolerating scandalous offences in particular members; & not mourning, as in the primitive times Christians put on solemnly mourning attire & bewailed excommunicate persons, as those or rather much more than those that were dead.","Teh ayns shoh gheddyn foihl da’n Aglish son surran{se} da peccahchyn scammyltagh ayns payrt jeh na oltyn ec; as gyn dobberan, myr ayns toshiaght Creeiste{e}aght ren na Creeisteenyn dy crauee cur orroo coamreychyn ren soilshagh dy rou ad dobberan as ren ad keaney son persoonyn va er nan giarey magh ass yn Aglish myr son oc shen ny foddey smoo ny son oc shen va marroo.",
"St Austin saith, Thou lamentest for one dead, lament rather for him that liveth. Are the bowels of Christian mercy in thee, to lament for a body out of which the soul is departed, & not to lament for a soul from which God is departed?","Ta’n Noo Austin gra, t’ou dobberan son fer ta marroo, jiean dobberan na sloih son eh shen ta bio. Vel ayrnyn jeh mighyn Chreeistee aynyd, dy yobberan son corp ta’n annym er phartail ass, as gyn dy yobberan son annym ta Djee er phartail veih?",
