Manx,English,Diplomatic
Jean Geamagh Orrym’s ayns Laa Dty Heaghyn.,Call Upon Me in Your Day of Sorrow.,Jean geamagh orryms ayns laa dy heaghyn as neens oo y livrey
"      Ayns unnane jeh ny baljyn mooarey ayns Nalbyn va ben aeg seyr cummal shiartanse dy vleeaney er dy henney ren ee coyrt e cree da’n Çhiarn Yeesey Chreest as v’ee streeu dy hooyl marish as dy chummal feer faggys da. Ren ee clashtyn Chreestee va er ve foddey shooyl er yn raaid coon ta leeiddeil gys bea gra nagh row eh cairagh dy gholl gys geinseyn as daunsin, cordaill rish ghoo Yee, as ren ee gialdyn nagh jeeanagh (ee) goll gys daunseeyn ny smoo, as ren ee cummal gys yn vreearey v’ee er yannoo, agh traa gerrid ny lurg shen v’ee er ny cuirrey, liorish ben seyr, dy heet gys yn thie gys giense as ren yn Voir eck soieagh jeh yn çheb jee dy gholl gys yn giense marish e braar as e shuyr, smooinaght nagh row eh agh giense chiaulleeagh. ","     In one of the cities in Scotland there was a young lady living several years ago who gave her heart to the Lord Jesus Christ and she was striving to walk with him and to keep very close to him. She heard a Christian who had been long walking on the narrow way that leads to life saying that it wasn’t righteous to go to parties and dancing, according to the Word of God, and she promised that (she) wouldn’t go to dances anymore, and she kept to the oath she had made, but a short while after that she was was invited by a lady to come to the house to a banquet and her mother accepted the offer for her to go to the party with her brother and her sister, thinking that it was only a musical party. ","Ayns unnane jeh ny baljyn mooarey ayns Noblyn. Va ben aig seyr vommal shartance dy vleeney er dy hinney ren ee curt y chree da’n Chiarn Yeesey Chreest as vieh streew dy hooyl marish as dy cummal feer fagys da Ren ee clashtyn Chreestee va er ve foddey shayl er yn raaid coon ta leeiddeil gys bea gra nagh row e cairagh gy gholl gys geineyn as daunsyn, cordaill rish ghoo Yee, as ren ee ghoaldyn nagh jeanagh gholl gys daunsyn ny smoo, as ren ee commal gys yn breerey vee er yannoo, agh tra gherryd ny lurg shen vee er ny currey liorish ben seyr dy heet gys yn thie gys giens as ren yn Voir eck soieagh jeh yn cheb jee dy gholl gys yn giens marysh y breear as y Shuiyr, smooinniagh nagh row e agh gien chiauleeagh. "
"     Shiaghtyn roish yn traa haink yn ven seyr ren cuirrey ad dy insh daue dy row eh dy ve giense daunsin, as dy row ee coontey dy row eh yn cair eck dy insh daue ro laue dy voddagh ad ve aarloo er y hon. ","     A week before the time the lady who invited them came to tell them that it was to be a dance party, and that she reckoned that it was fair to tell them beforehand so that they could be ready for it. ","Shaghtyn rosh yn tra haink yn Ven seyr ren currey ad dy insh daue dy row eh dy ve giense daunsyn, as dy row ee coontey dy row eh yn cair eck dy insh daue ro laue dy voddagh as ve aarloo er y hon. "
"     Ren yn skeeal shen, ren eh cur yn chreestie aig ayns lane seaghyn er yn oyr dy row ee er ghoaldyn nagh jeanagh ee gholl gys gien daunsyn ny smoo. Agh va’n çheb soit jeh liorish e Moir as dy beagh ee eginit dy gholl, goll-rish Hezekiah ayns yn çhenn tra. ","    That news, it made the young Christian very upset, because she had promised that she wouldn’t go to dance parties anymore. But the offer was accepted by her mother and she would be compelled to go, like Hezekiah in time of old. ","ren yn skeeal shen, ren eh cur yn chreestie aig ayns lane seaghyn er yn oyr dy row ee er ghoaldyn nagh jeanagh ee gholl gys gien daunsyn ny smoo agh va’n cheb soit jeh lioarish y Moir as dy bagh ee eigynit dy gholl, gholl rish Hezekiah ayns yn chen tra, r"
"     Ren ee skeayley yn chooish eck rosh yn Chiarn. As farkiaght son ansoor son kiare laa yeig ren ee farkiaght as prayal dy kinjagh, that mannagh row eh cairagh ayns shilley yn Çhiarn, eh dy choyrt red ennagh dy lhiettal ee, ayns yn aght ve hene fakin mie ayns e hilley Hene. ","     She spread her concern before the Lord. And waiting for an answer for fouteen days, she waited and prayed constantly, that unless it was righteous in the sight of the Lord, for him to send something to her to prevent her, in the way he himself saw fit in his own sight. ","en ee skeealey, yn chooish eck rosh yn Chiarn. As farkiagh son ansooar son kair laa yeig ren ee farkiagh as preeayl dy kenjagh mannagh row eh cairagh ayns shilley yn Chiarn eh dy churt red ennagh dy lhettal ee ayns yn aght ve hene fakin mie ayns y hilley Hene"
"     Er gys laa yn giense cha row ee fakin foshley erbee dy gheddyn ass yn anvea v’ee ayn. Agh moghrey yn laa shen, Ren yn Çhiarn roostey E roih niartal dy choyrt cooney jee, as dy livrey ee. Ren E cur er lheid yn tuittym sniaghtee dy heet gys nagh voddagh unnane jiu gheddyn gys yn giense— shooyl ny markiagh. Myr shen v’ee er ny reayl ayns sauçhys Liorishyn ta fondagh dy lirvrey e harvaantyn— ta cur nyn dreishteil ayns e ghialdyn as foayr.","     Until the day of the party she wasn’t seeing any solution for getting out of the tumult she was in. But on the morning of that day, The Lord bared His mighty arm to help her, and to deliver her He made such a falling of snow come until not one of them could get to the party— walking or riding. So, it it was kept in safety by Him who is sure to deliver his servants— that put their trust in his promise and favour."," er gys laa yn giens cha row ee fakin foshley erbee dy gheddyn ass yn anvea vee ayn. Agh moghrey yn laa shen, Ren yn Chiarn roostey Y roie niarthal dy churt coonney jee, as dy lhivrey ee ren E cur er lheid yn tuittym sneaghee dy heet gys nagh voddagh unnane jiu gheddyn gys yn giens shooyl ny markiagh, mor shen vei’h er ny reeayl ayns sauechys Liorishyn ta fondagh dy lhirvrey y harvaantyn ta cur nyn dreishteil ayns y ghoaldyn as  fooar"
,    ,
     Yn çhiaghtoo laa yeig jeh July ayns yn vlein hoght cheead yeig kiare feed as nuy jeig.,     The seventeenth day of July in the year eighteen hundred and ninety-nine.,     Yn shiaghtoo laa yeig jeh July ayns yn vlein hoght cheead yeig kair feed as nhiee jeig.
     Creneash ayns Skylley Chreest ayns Kione Sheer-Ass Vannin.,     Cregneash in Kirk Christ Parish in the South West end of the Isle of Man,     Crenaish ayns skilley chreest ayns kione sheer ass Vannin
,,
,,
,,
