Manx,English,Diplomatic
Scrieut er Laa Feayr syn Niarragh,Written on a cold day in Spring.,
Scrieut er laa feayr sy’n niarragh,Written on a cold day in Spring.,Scrieut er laa feayr sy’n niarragh
"Ta’n Niarragh er jeet lesh feayraght as rio,","The Spring has come with cold and ice,",Ta yn Niarragh er jeet lesh feearagh as rio
"Ta’n aer jeeaghyn quaagh dy mie,","The sky looks well strange,",Ta’n aer jeaghyn quiagh dy mie
"My hig eh er sniaghtey, ny keeree vees fo,","If it manages to snow, the sheep will be submerged,",My hig eh er sniaghtey ny keeree vess fo
Eisht gow shiu dy gheddyn ad thie.,Then you will go to get them home.,Esht ghow shiu dy gheddyn ad thie
"Ta’n gheay feayr nish sheidey er voish yn niar-hwoaie,","The cold wind now blows from the northeast,",Ta’n gheay feeayr nish sheidey er voish yn niarhwoaie
"As bodjallyn dorraghey gaase,","And clouds become dark,",As bodjallyn dorraghey gaase
"Nagh faag shiu ny kirree as cabbil mooie,","Did you not leave the sheep and horses out,",Nagh faaig shiu ny keerree as cabbyl moie
As gow shiu kiarail jeh’n vaase.,"And took care of the cattle,",As ghou shiu kairrail jeh yn maase
"Son shimmey cretoor boght ta’n sniaghtey er stroie,","For many’s the poor creature that snow destroys,",Son shimmey cretoor boght ta’n sniaghtey er stroie
"Syn imbagh ta shaghey er gholl,","In the season that has gone past,",Syn imbagh ta shiaghey er gholl 
"As mennick va riojit ny lhie rish ny clieyee,","And often were lying frozen by the hedges,",As mennick va riojyt ny lhie rish ny chloie
"Ny rouail ersooyl veih nyn oayl,","Or wandering away from their homes,",Ny rowail ersooyl veih nyn oayl
"Eisht, jean shiu goaill tastey as kiarail ayns traa","Then, take notice and plan in time,",Esh jean shiu ghoaill tastey as kairrail ayns tra
"Dy haglym ny shellooyn stiagh,","To gather in the herds,",Dy haglym ny shellooyn stiagh
"As nish trog shiu erriu, ayns soilshey yn laa,","And now you will get up, in the light of day,",As nish throg shiu erroo ayns soiljey yn laa
"Dy hauail yn maase veih’n chragh,","To save the cattle from destruction,",Dy hauail yn maase veih yn chragh
Ny heayin ass yn feayraght gys fastee yn chliey,"The lambs out of the cold to the shelter of the hedge,",Ny eeayn as yn feearagh gys fastee yn chlea
"Nish eiyr shiu ad sheese veih’n chlieau,","Now chase them down from the mountain,",Nish eiyr shiu ad sheese veih yn cliew
"As nyn moiraghyn neesht, dy vod ad goaill fea","And their mothers too, so they can take rest",As nyn moiraghyn neesht dy vod agh ghoaill fea
Shen chliaghtey te’r ve er dy rieau.,That is a practice that has always gone on.,Shen chliaghtey te’r ve er dy rieu.
,,
Scriut ayns yn vlein hoght cheead yeig kaire feed as nuy jeig.,Written in the year eighteen hundred and ninety-nine. ,Scriut ayns yn vlein hoght cheead yeig kair feed as nee jeig. 
" Liorish E Farquhar ayns Skeelley Chreest, ayns yn vlein three feed as nuy jeh e eash, ayns Mannin","By E Farquhar in Rushen Parish, in year sixty-nine of his age, in the Isle of Man.",Liorish E Farquhar ayns skelly chreest ayns yn vlein three feed as nee jeh y eaigh ayns Mannin
