English,Manx
"TYNWALD,",
"ST JOHN’S 5th July, 1928.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION.,
Wt. 678.—120/6/28,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
"ABSTRACTS OF ACT FOR PROMULGATION,",
"5th JULY, 1928.",
"1.— The Highway Act, 1927.",Yn Slattys Raad Mooar Loght Nuy Cheead Yeig Shiaght as Feed.
"The object of the Act is to consolidate and amend the Highway Acts, 1889 to 1924.",Ta aigney yn Slattys dychruinnaghey as lhiasaghey ny Slattys [sic] Raad Mooar hoght cheead yeig as nuy gys nuy cheead yeig as feed.
"2.— The School Teachers (Superannuation) Act, 1927.",Yn Slattys Fir-ynsee (Toyrtys-Faagail Oik) Nuy Cheead Yeig Shiaght as Feed.
The object of the Act is to amend the law as to pensions and superannuation allowances of teachers and their representatives,Ta aigney yn Slattys dy lhiasaghey yn leigh bentyn rish toyrtyn as giootyn faagail oik jeh fir-ynsee as yn lught-thie oc.
"3.— The Game Act, 1927.",Yn Slattys Feieys Nuy Cheead Yeig Shiaght as Feed.
"The object of the Act is to amend the Game Act, 1882.",Ta aigney yn Slattys dy lhiasaghey yn Slattys Feieys Hoght Cheead Yeig Kiare Feed as Jees. 
"4.— The Housing Act, 1927.",Yn Slattys Kiarail Thieyn Nuy Cheead Yeig Shiaght as Feed.
"The object of the Act is to extend the Housing Act, 1924.",Ta aigney yn Slattys dy heeynaghey yn Slattys Kiarail Thieyn nuy cheead yeig kiare as feed. 
"5.— The Licensing Act, 1927.",Yn Slattys Cur Kied Nuy Cheead Yeig Shiaght as Feed.
The object of the Act is to amend the Licensing Acts.,Ta aigney yn Slattys dy lhiasaghey ny Slattysyn Cur Kied.
"6.— The Licensing (Music and Dancing) Amendment Act, 1927.",Yn Slattys Cur-kied (Kiaulleeaght as Daunsin) Lhiasaghey Nuy Cheead Yeig Shiaght as Feed.
"The object of the Act is to amend the Licensing (Music and Dancing) Act, 1912.",Ta aigney yn Slattys dy lhiasaghey yn Slattys Cur Kied (Kiaulleeaght as Daunsin) Nuy Cheead Yeig as Ghaa Yeig.
"7.— The Petty Sessions and Summary Jurisdiction Act, 1927.",Yn Slattys Eeasteyrys Nuy Cheead Yeig Shiaght as Feed.
The object of the Act is to consolidate and amend the law as to Courts of Petty Session and Summary Jurisdiction.,Ta aigney yn Slattys dy chruinnaghey as lhiasaghey yn leigh bentyn rish Quaiylyn Veggy as Briwnys Giare.
"8.— The Gas Regulation Act, 1927.",Yn Slattys Goardrail Gas Nuy Cheead Yeig Shiaght as Feed.
The object of the Act is to amend the law with respect to the supply of gas.,Ta aigney yn Slattys dy lhiasaghey yn leigh bentyn rish creck gas.
"9.— The Local Government (Extermination of Rats and Mice) Act, 1928.",Yn Slattys Gurneilys Ynnydagh (Cour Stroie Roddanyn as Lughee) Nuy Cheead Yeig Hoght as Feed.
The object of the Act is to provide for the extermination of rats and mice.,Ta aigney yn Slattys dy yannoo kiarail son stroie roddanyn as lughee.
"10.— The Education Act, 1928.",Yn Slattys Ynsagh Nuy Cheead Yeig Hoght as Feed.
"The object of the Act is to amend the Education Act, 1923.",Ta aigney yn Slattys dy lhiasaghey yn Slattys Ynsagh Nuy Cheead Yeig Tree as Feed.
"11.— The Game Act, 1928.",Yn Slattys Feieys Nuy Cheead Yeig Hoght as Feed.
The object of the Act is to provide for the close season for killing game.,Ta aigney yn Slattys dy chiarail son yn imbagh ayn nagh vel lowal dy varroo feieys.
"12.— The Allotments Act, 1928.",Yn Slattys Cronneeyn Nuy Cheead Yeig Hoght as Feed.
The object of the Act is to provide for the acquisition and letting of allotments.,Ta aigney yn Slattys dy chiarail son kionnaghey as soiaghey cronneeyn.
"13.— The Public Service Vehicles (Inspection) Act, 1927.",Yn Slattys Ronsagh Cayryn Son Ymmyd Theayagh  Nuy Cheead Yeig Hoght as Feed.
The object of the Act is to provide for the inspection of vehicles carrying passengers for hire.,Ta aigney yn Slattys dy chiarail son ronsagh cayryn gymmyrkey troailtee son argid.
"14.— The Highway Act Amendment Act, 1928.",Yn Slattys Raad Mooar Lhiasaghey Nuy Cheead Yeig Hoght as Feed.
