Manx,English,Diplomatic
Emperor Russia as yn Major,The Emperor of Russia and the Major,Emperor Rusia as yn Major
"Va Emperor Russia keayrt shooyl mygeayrt ny lomarcan. Haink eh gys balley beg nagh row monney oayl echey er as smooinaght rish hene dy jinnagh eh jeeaghyn mygeayrt dy akin c’red va’n balley goll rish. Ny lomarcan as coamrit lesh cooat sidoor, fegooish cowrey erbee jeh y stayd ooasle trooid ny straidyn gys haink eh gys daa chassan, fer goll gys yn laue yesh as fer gys yn laue chiare, as cha row fys echey quoi jeu dy ghoaill. Honnick eh dooinney ny hassoo ec dorrys thie, as goll seose huggey dooyrt yn Emperor, “My charrey, nod shiu ginsh dou quoi jeh ny raaidyn shoh shegin dou goaill dy gheddyn gys Killanga?” Va’n dooinney ayns slane coamrey sidoor as goaill tayrn dy phipe. As ayns yindys dy jinnagh troaltagh ayns coamrey moal goaill er dy loayrt rish cha oaylagh. ","The Emperor of Russia was walking around alone. He came to a small town he was very well acquainted with and (was) thinking to himself that he would look around to see what the town was like, alone and dressed in a soldier’s coat, without any sign at all of his noble status, through the streets until he came to two paths, one going to the righthand side and one to the lefthand side, and he didn’t know which one to take. He saw a man standing at the door of a house, and going up to him the emperor said “My friend, can you tell me which of these roads I have to take to get to Killanga. The man was in full soldier’s uniform and taking a draw of a pipe. And in wonder that a traveller in miserable clothing would presume to speak to him so familiarly. ","Va Emperor Rusia cheayrt shooyl myeayrt ny lomyrkyn. haink eh gys bally beg nagh row monney oyl eck eh er. as smooinagh rish hene dy jeanagh eh jeaghyn mygeayrt dy akin cred van bally gholl rish. Ny lomyrkyn as as coamryt lesh cooit sidoor, fegoish cowrey erbee jeh y stayd ooaisle trooid ny straidyn . gys haink eh gys daa chassan fer gholl gys yn laue yesh as fer gys yn laue chayr, as cha row fyss eck eh quoi jiu dy ghoaill Honnick eh dhonney ny hassoo eck dorrys thie, as ghaal seose seose hug eh.Dooyrt yn Emperor, My charrey nod shu ginsh dou quoi jeh ny raaidyn shoh shegin dou ghoaill dy gheddyn gys Killanga Va’n dhonney ayns slane coamrey sidoor as ghoaill tayrn dy fipe. As ayns yindys dy jeanagh troaltag ayns coamrey ghoaill er dy loayrt rish cha oaylagh. "
“Gys yn laue yesh.” dooyrt eh. ,“To the right-hand side” he said. ,Gys yn laue yesh doyrt eh. 
“Pardoon shiu mee.” dooyrt yn Emperor “lhig dou loayrt fockle elley my salliu.” ,"“Pardon me,” said the emperor, “let me speak another word, please.” ",Pardoon shu mee doyrt yn Emperor lhig dou loayrt fockle elley my silloo. 
“Cre?” dooyrt eshyn.,“What?” he said. ,"cre dooyrt eshyn, "
“C’red ta’n stayd eu ayns yn çheshaght-chaggee?”,“What is your rank in the army?”,Cred ta n stayd eu ayns yn cheshagh caggy.
“Yess.” dooyrt eh. ,“Guess.” he said. , Yess dooyrt eh. 
“Lieutenant?” dooyrt yn Emperor. ,“Lieutenant?” said the emperor.,lieutenant. Doyrt yn Emperor. 
“Seose.” dooyrt eshyn dy moyrnagh. ,“Up.” He said proudly.,seose doyrt eshyn dy mornagh.
“Captan?”,“Captain?” , Captan. 
“Ny syrjey. Major.” ec yn jerrey dooyrt eshyn. ,“Higher. Major” he finally said. ,"Ny syrjey Major eck yn jerrey doyrt eshyn., "
"Ren yn Emperor croymmey dy injil da’n dooinney ooasle as cur ammys da. “Nish” dooyrt yn Major, “Lhig dou briaght c’red ta’n stayd euish ayns yn çheshaght chaggee.” Myr v’eh coontey eh hene dooinney ard loayrt rish troaltagh ayns garmad moal, as ve coontey ny sinshley na eh hene. ","The emperor bowed low to the noble man and gave deference to him. “Now,” said the major, “Let me ask what rank you have in the army.” As he was reckoning himself an important man speaking to a traveller in miserable garb, he was considering lower (in status) than himself. ","Ren yn Emperor cromy dy injys da yn donney ooaisle as cur ammys da. Nish doyrt yn Major. Lhig dou briagh cred ta’n stayd euish ayns yn sheshaght chaggee. Myr ve coontey e hene dhonney ard. Loayrt rish troaltagh ayns garmod moal, as ve coonteyny sinshley ne ehene."
“Yess.” dooyrt yn Emperor. ,“Guess.” said the  emperor. , Yess dooyrt yn Emperor.
“Lieutenant?” ,“Lieutenant?” , Lieutenant. 
“Seose.” ,“Up.” ,Seose. 
“Captan?”,“Captain?” ,Captan. 
“Ny syrjey.”,“Higher.”,ny syrjey. 
“Major?” ,“Major?”,Major. 
“Gow er.”,“Go on.”,gow er.
“Colonel.”,“Colonel?” , Colonel.
“Reesht.” dooyrt Alexander. ,“Again.” said Alexander., Reesht doyrt Alexander. 
“Ta shiu eisht general?”,“Are you then a general?”,Ta shu esht general 
“Ta shiu çheet er gerrey da!” ,“You are coming close to it.”,ta shu cheet er gerrey da
