Manx,English,Diplomatic
Padjer son ooilley ny ta goaill ayrn ayns yn chaggey:,A prayer for all who are taking part in the war:,Padjer son ooilley ny ta ghoaill ayrn ayns yn chaggey
"Oh, Yee Ooilley Niartal, ","O God Almighty,","Oh, Yee ooilley nhiartal "
"Chiarn dty Heshaght Chaggee Flaunysagh,","Lord of your Celestial Army,",Chiarn dy heshaght chaggee flaunysagh 
"Jeeagh neose orrin ta shin dy imlee guee ort, ","Look down upon us, we humbly beseech of thee,",Jeeagh neose orryn ta shin dy imlee guee ort. 
"Lesh foayr er nyn sheshaght chaggee, ","With favour on our army,",Lesh fooar er nyn sheshaght chaggee. 
"Nish ta goaill ayrn ayns yn chaggey,","Now taking part in the war,",Nish ta ghoaill ayrn ayns yn chaggey. 
As cur daue yn attey dy varriaght. ,And give them the crown of victory.,As cur daue yn attey dy varriagh. 
Coodee nyn ghing ayns laa yn chaggey. ,"Cover their heads in the day of battle,",Cooddee nyn ghing ayns laa yn chaggey. 
Cur daue yn dunnalys shen ta çheet voish credjue. ,"Give them that courage that comes from faith,",Chur da ue yn dunnalys shen ta cheet voish credjue. 
As yn vyghin shen ta cairagh da sidooryn chreestee. ,And the mercy that is proper for christian soldiers.,As yn vyghyn shen ta cairagh da sidooryn chreestee. 
"Gow çhymmey orroosyn ta surranse, ","Take pity of those that suffer,","Ghow chymmey orroosyn ta surrans, "
As adsyn ta çhing as lhottit. ,"And those that are sick and wounded,",as adsyn ta ching as lottyt. 
Adsyn ta gheddyn baase. ,"Those that are dying,",Adsyn ta gheddyn baase. 
As adsyn ta dobberan son ocsyn ta er duittym. ,"And those that mourn for those who have fallen,",As adsyn ta dhobberon. son ocksyn ta er duittym. 
"Chur lesh yn chaggey, ","Bring the war,",Chur lesh yn chaggey. 
"My te Dty aigney, ","If it is Your will,","My te Dy aigney, "
"Gys shee cairagh, as beayn. ","To a fair and permanent peace,","gys shee cairagh, as beeayn. "
As gow yn ard reiltys harrish ooilley ny reddyn,And take chief governance over all things,As gow yn Ard reiltys harrish ooilley ny reddyn 
Ayns yn seihll shoh dy pheccah as seaghyn. ,In this world of sin and sorrow.,ayns yn seihll shoh dy feccah as seaghyn. 
Gys sheeney magh Dty reeriaght. ,"Unto the expansion of Your kingdom,",Gys sheeney magh dy reeraght 
Er yn coontey Eckysyn ta nyn shee; ,On account of He who is our peace; ,Er yn coontey Eckysyn ta nyn shee. 
"Yeesey Chreest, nyn Jiarn.","Jesus Christ, our Lord.","Yeesey Chreest, nyn jhiarn."
Amen.,Amen,Amen. 
,,January 28th 1900
