English,Manx
TYNWALD,
"ST JOHN’S 5th July, 1946.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
Wt. E.2009—200/6/46. Printed (By Authority) by Isle of Man Examiner Limited.,
"1.— The Pensions (Increase) Act, 1945.","1.— Yn Slattys Toyrtyn (Bishaght) Nuy cheead yeig, queig as daeed."
"The object and purport of this act is to authorise temporary increases of pensions underr the School Teachers’ Superannuation Acts, the Local Government Acts, the Superannuation (Officers of Boards) Acts, the Highway Act, and the Mental Diseases Acts.","Ta’n aigney as y chooish jeh’n Slattys shoh dy chur kied son bishaghtyn tammyltagh er toyrtyn fo ny Slattysyn Fir-Ynsee Toyrtys Faagail Oik (Fir-Oik Buird), ny Slattysyn Gurneilys Ynnydagh, ny Slattys Raaidyn Mooarey as ny Slattysyn Doghanyn Aigney."
"2.— The House of Industry Act, 1945.","2.— Yn Slattys Thie Tarrooghys, Nuy Cheead yeig, queig as daeed."
The object and purport of this act is to consolidate and amend the law relating to the House of Industry.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chruinnaghey as dy lhiasaghey yn leigh bentyn da’n Thie Tarrooghys..
"3.— The Income Tax Amendment Act, 1945.","3.— Yn Slattys Keesh Cosney-Vleeanagh, Lhiasaghey, Nuy cheead yeig, queig as daeed."
The object and purport of this act is to amend the Income Tax Acts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Keesh Cosney-Vleeanagh.
"4.— The Oaths and Registration of Deeds (Captioning) Act, 1945.","4.— Yn Slattys Looaghyn as Recortys Barganeyn-Screeuee (Folaue)  Nuy cheead yeig, queig as daeed."
The object and purport of this act is to enable a candidate to obtain a current list of Voters for an electoral district on special terms.,"Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar looaghyn y ghoaill, coontaghyn fo loo y yannoo, as barganeyn-screeuee y hickyraghey, kiongoyrt rish Fir-Oik er-lheh, as feallagh oikagh."
"5.— The Agricultural Wages (Regulation) Act, 1945.","5.‚— Yn Slattys Faill Eirinagh (Goardrail), Nuy cheead yeig, queig as daeed."
The object and purport of this act is to empower the Agricultural Wages Board to provide for holidays with pay for agricultural workers.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da’n Voayrd Faill Eirinagh dy yannoo kiarail cour laghyn-feailley lesh faill son obbreeyn eirinagh.
,
"6.— The Cruelty to Animals Act, 1945.","6.— Yn Slattys Keesh Cosney-Vleeanagh (Cur-ry-lhiattee), Nuy cheead yeig, queig as daeed."
     The object and purport of this Act is to amend the law relating to cruelty to animals.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da dewillys da beiyn.
"7.—  The Landlord and Tenant Act, 1945.","7.— Yn Slattys Sellooder-Thallooin as Tannys, Nuy cheead yeig, queig as daeed."
,
"The object and purport of this act is to regulate the rights of parties to leases of requisitioned land, and to extend the powers of the War (Local Conditions) Committee.",Ta’n aigney as y chooish jeh’n Slattys shoh dy ordrail cairyn jeh sleih ayns conaantyn-mayltee jeh thalloo goit seose as dy voadaghey pooraghyn y Bing Caggee (Foaynoo Ynnydagh).
"8.— The Statute of Limitations Act, 1945.","8.— Yn Slattys Leigh Cagleeyn, Nuy cheead yeig, queig as daeed."
The object and purport of this act is to amend the Statute of Limitations.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Leigh Cagleeyn.
"9.— The Public Authorities Acquisition of Land (Compensation) Act, 1945.","9.— Yn Slattys Buird Theayagh, Thalloo Goit Seose (Aayeeilley), Nuy cheead yeig, queig as daeed."
The object and purport of this Act is to prescribe the basis of compensation in connection with the acquisition of land for public purposes.,Ta’n aigney as y chooish jeh’n Slattys shoh dy hoiaghey magh bun yn aayeeilley bentyn da thalloo goit seose son oyryn theayagh.
"10.— The Derby Square Act, 1945.","10.— Yn Slattys Kerrin Derby, Nuy cheead yeig, queig as daeed."
"The object and purport of this Act is to vest Derby Square, Douglas, in the Mayor, Aldermen and Burgesses of the Borough of Douglas.","Ta’n aigney as y chooish jeh’n Slattys shoh dy chur Kerrin Derby, Doolish fo reirey yn Er-toshee, ny Fir-Coyrlee as ny Cummaltee Ard Valley Ghoolish."
"11.— The National Health Insurance (Disabled Persons) Supplementary Benefit Act, 1945.","11. Yn Slattys Urrys Slaynt Ashoonagh (Anlheiltee) Vondeish Vooadit, Nuy cheead yeig, queig as daeed."
"The object and purport of this Act is to make provision for supplementing in case of need benefits under the National Health Insurance Acts, 1939 to 1942, of insured persons over the age of fifty who are totally and permanently incapacitated.","Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail cour mooadaghey vondeishyn, ayns cooishyn femoil, fo ny Slattysyn Urrys Slaynt Ashoonagh, Nuy cheead yeig, nuy-jeig as feed, dys Nuy cheead yeig, jees as daeed, da sleih coadit ta corrallagh marish jeih bleeaney as daeed dy eash, as ta dy slane as bee dy kinjagh anlheiltagh."
"12.— The House of Keys and Public Authorities Elections Act, 1945.","12.— Yn Slattys Keesh er Kionnaghey, Lhiasaghey, Nuy cheead yeig, queig as daeed."
"The object and purport of this Act is to restore the law as to the preparation of Voters’ Lists, and to provide for elections and retirement of members.",Ta’n aigney as y chooish jeh’n Slattys shoh dy hoiaghey seose reesht yn leigh bentyn da jannoo recortyssyn dy heihderyn as dy yannoo kiarail son reihyn olteynyn as oltenyn cur seose oik.
"13.— The Matrimonial Causes (War Marriages) Act, 1946.","13.— Yn Slattys Cooishyn-Phoosee (Poosaghyn ayns traa caggee), Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to make temporary provisions for certain matrimonial causes.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarailyn rish tammylt cour cooishyn-phoosee er-lheh.
"14.— The Agricultural Rates and Improvements Fund Amendment Act, 1946.","14. Yn Slattys Lhiasee Keeshyn Eirinagh as Kishtey Lhiasaghyn, Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to extend the purposes for which the Agricultural Improvements Fund may be applied.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey ny oyryn orroosyn foddee yn Kishtey Lhiasaghyn Eirinagh ve ceaut.
"15.— The Licensing Amendment Act, 1946.","15.— Yn Slattys Oastys, Lhiasaghey, Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to restore the pre-war opening and closing hours of licensed premises.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur er-ash ny ooryn-foshlee as ny ooryn-doonee jeh thieyn-oast myr v’ad roish y caggey.
"16.— The Disabled Persons (Employment) Act, 1946.","16.— Yn Slattys Anlheiltee (Kiarail Obbyr), Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to make further and better provision for enabling disabled persons to secure employment.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail sodjey as ny share dy chooney lesh anlheiltee cosney obbyr.
"17.— The Matrimonial Causes (War Marriages) (N0. 2) Act, 1946.","17.— Yn Slattys Cooishyn-Phoosee (Poosaghyn ayns traa caggee) (Earroo Jees) Nuy cheead yeig, shey as daeed."
"The object and purport of this Act is to amend the Matrimonial cuses (War Marriages) Act, 1946.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Cooishyn-Phoosee (Poosaghyn ayns traa caggee), Nuy cheead yeig, shey as daeed."
"18.— The Income Tax Act, 1946.","18.— Yn Slattys Keesh Cosney-Vleeanagh, Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to consolidate the Income Tax Acts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chruinnaghey ny Slattysyn Keesh Cosney-Vleeanagh.
"19.— The Intoxication Liquor (Sales to Persons under Eighteen) Act, 1946.","19.— Yn Slattys Jough Veshtalagh (Creck da Feallagh fo Hoght-jeig), Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to amend the law as to the sale of intoxicating liquor to persons under eighteen years.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da creck jough veshtallagh da feallagh fo hoght bleeantyn jeig dy eash.
"20.— The Road Traffic Ammendment Act, 1946.","20.— Yn Slattys Troailtys er Raaidyn, Lhiasaghey, Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to amend the law relative to road traffic.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da troailtys er raaidyn.
"21.— The Larceny Act, 1946.","21.— Yn Slattys Gaddeeaght, Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to consolidate and simplify the law relating to larceny and kindred offences.,Ta’n aigney as y chooish jeh’n Slattys shoh dy unnaneysey asreaghey yn leigh bentyn da gaddeeaght as lheid ny loghtyn.
"22.— The Family Allowances (Isle of Man) Act, 1946.","22.— Yn Slattys Toyrtyn Lught-thie (Ellan Vannin), Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to provide for the payment of family allowances.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son geeck toyrtyn lught-thie.
"23.— The War Damage Amendment Act, 1946.","23.— Yn Slattys Jeel Chaggee, Lhiasaghey, Nuy cheead yeig, shey as daeed."
"The object and purport of this Act is to amend the War Damage Amendment Act, 1943.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Jeel Chaggee Lhiasaghey, Nuy cheead yeig, tree as daeed."
"24.— The Law Reform (Contributory Negligence) Act, 1946.","24.— Yn Slattys , Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to amend the law relating to contributory negligence.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da meerioose co-hoyrtyssagh.
"25.— The House of Keys Election (Table of Fees) Act, 1946.","25.— Yn Slattys Reih yn Kiare as Feed (Rolley dy Eeckyn), Nuy cheead yeig, shey as daeed."
The object and purport of this Act is to amend the Table of Fees payable in repect of House of Keys Elections.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Rolley dy Eeckyn eeckit da Reih yn Kiare as Feed.
"26.— The Workmen’s Compensation (Pneumoconiosis) Act, 1946.","26.— Yn Slattys Aayeeilley Obbreeyn (Pneumoconiosis), Nuy cheead yeig, shey as daeed."
"The object and purport of this Act is to amend the Workmen’s Compensation Act, 1937, with regard to pneumoconiosis","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Aayeeilley Obbreeyn, Nuy cheead yeig, shiaght-jeig as feed, bentyn da pneumoconiosis."
"27.— The Mental Diseases Amendment Act, 1946.","27.— Yn Slattys Doghanyn Aigney, Lhiasaghey, Nuy cheead yeig, shey as daeed."
"The object and purport of this Act is to amend the Mental Diseases Acts, 1924 to 1932.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Doghanyn Aigney, Nuy cheead yeig, kiare as feed dys Nuy cheead yeig daa-yeig as feed."
"28.— Isle of Man Constitution Act, 1946.","28.— Yn Slattys Reill-Cheerey Ellan Vannin, Nuy cheead yeig, shey as daeed."
"The object and purport of this Act is to amend the Isle of Man Constitution Acts, 1919 to 1936, relative to the elected members of the Legislative Council.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Reill-Cheerey Ellan Vannin, Nuy cheead yeig, nuy-jeig dys Nuy cheead yeig, shey-jeig as feed, bentyn da ny olteynyn reiht jeh’n Choonceil Slattysagh."
The ROYAL ASSENT to the foregoing Acts was given on the dates set out hereunder:—,Va’n Cordail Reeoil currit da ny Slattysyn goll roish er ny laghyn fo soit magh:—
"Nos. 1, 2 and 3, at Buckingham Palace ... 18th May 1945.","Earrooyn ’nane, jees as tree ec y Plaase Buckingham yn hoghtoo laa jeh’n Vee Boaldyn, Nuy cheead yeig, kiare as daeed."
"Nos. 4, 5 and 6 at Buckingham Palace ... 3rd August, 1945.","Earroo kiare, queig as shey ec y Plaase Buckingham yn trass laa jeh’n Hoghtoo vee, Nuy cheead yeig, kiare as daeed."
"No. 7, at Buckingham Palace ... 6th October, 1946.","Earroo shiaght ec y Plaase Buckingham yn cheyoo laa jeh’n Jeihoo vee, Nuy cheead yeig, queig as daeed"
"Nos. 8, 9, 10 and 11 at Buckingham Palace ... 30th October, 1945.","Earrooyn hoght, nuy, jeih as ’nane-jeig ec y Plaase Buckingham yn jeihoo laa  jeh’n Jeihoo vee, Nuy cheead yeig, queig as daeed."
"No. 12 at Buckingham Palace ... 7th December, 1945.","Earroo daa-yeig ec y Plaase Buckingham, yn chiaghtoo laa jeh’n Ghaaoo vee jeig, Nuy cheead yeig, queig as daeed."
"Nos. 13 and 14 at Buckingham Palace ... 19th February, 1946.","Earrooyn tree-jeig as kiare-jeig ec y Plaase Buckingham yn nuyoo laa jeig jeh’n Nah vee, Nuy cheead yeig, queig as daeed."
"Nos. 15, 16 and 17 at Buckingham Palace ... 4th June, 1946.","Earrooyn queig-jeig, shey-jeig eas shiaght jeig ec y Plaase Buckingham yn chiarroo laa jeh’n Cheyoo vee, Nuy cheead yeig, queig as daeed."
"Nos. 18 to 28 inclusive at Buckingham Palace ... 26th June, 1946.","Earrooyn hoght-jeig dys hoght as feed cooidjagh, ec y Plaase Buckingham yn cheyoo laa as feed jeh’n Cheyoo vee, Nuy cheead yeig, shey as daeed."
