English,Manx,Notes
Some thoughts from our Chair,Smooinaghtyn veih’n Chaairliagh ain,
"The role of our charity is to promote the cultural heritage of the Island, and to provide facilities for members of the public to enjoy and acquire knowledge of that heritage.","Ta currym yn cheshaght-yiastyllagh ain dy chummal seose eiraght yn Ellan, dy chiarail couryn oddys y theay goaill soylley jeu, as dy chooney lesh y theay dy ynsaghey mychione yn eiraght shen.",
"So much of what we do relies on establishing good relationship and partnerships, in being responsive to the changing needs of both the cultural communities and the general public who want to find out more about what connects us all to the Island, and to each other.","Ta’n obbyr ain lhie er ny parteeassyn fondagh ta shin er yannoo, chammah as er gansoor femeyn ny co-phobbleyn cultooroil as y theay ta geearree dy gheddyn magh mychione ny reddyn ta kiangley shin dys yn Ellan shoh as dys y cheilley.",
"Our online presence has a particularly impressive reach, our social media and short films giving people here and around the world a window on the richness of Manx cultural life.","Ta roshtyn feer vooar ain er-linney; ta’n media sheshoil as ny filmyn giarey ain cur shilley jeh berchys y vea chultooragh Vanninagh da sleih er feai ny cruinney.",
The work of our development officers is delivered to an extremely high standard.,Ta obbyr ny hoffishearyn bisaghey ain jeant dy feer fondagh.,
"We now embrace a hybrid approach to teaching – both in person and online – which enables not only students based in the Isle of Man to take part, but also students around the world, including Singapore, Georgia, New Zealand and North America.","Ta shin cummal lessoonyn chammah ayns persoon as er-linney nish; ta shoh lhiggey da ynseydee chammah ayns Mannin as er feai ny cruinney goaill ayrn, goaill stiagh studeyryn ayns Singapore, Georgia, New Zealand, as America Twoaie.",
"We have created resources and school workshops, and generated interest in Manx culture from the international media and researchers, with programmes on Austrian national television, BBC TV, as well as for Manx Radio and other Manx media.","Ta shin er yannoo couryn as lessoonyn son schoillyn, as er hayrn tastey dys cultoor Manninagh veih sheshaghtyn-naight eddyr-ashoonagh as aa-ronseyderyn, lesh programmeyn er television ashoonagh Austrianagh, BBC TV, Radio Vannin, as media Manninagh elley.",
"Work to bring Manx culture into different events such as Christmas Live and POC Culture Fest has been very successful, and Members of Tynwald, including the Lieutenant Governor, have actively embraced the language.","Ta shin er hoilshaghey cultoor Manninagh ayns taghyrtyssyn lheid as Christmas Live as POC Culture Fest, as ta offishearyn y reiltys, goaill stiagh y Chiannoort, er ghoaill orroo dy chummal seose y ghlare.",
The year marked some important anniversaries including the 70th anniversary of the Manx Folk Dance Society and over 45 years of Share na Veg folk group in Ramsey schools,"T’eh three feed blein as jeih neayr’s va’n Manx Folk Dance Society currit er undin, as queig bleeaney as daeed neayr’s va Share na Veg, ta gobbragh ayns schoillyn er y twoaie.",
these were captured on film for future generations to enjoy.,V’ad shoh recortit er film myr shen dy vod ny sheelogheyn ta ry-heet goaill soylley jeu.,
