Manx,English,Diplomatic,Notes
"Mannin veg veen ayns yn aarkey ny lomarcan,","Dear Mannin alone in the ocean,",Mannin veg veen ayns yn aarkey ny lomyrken,
"Ta soar millish connee goll nish lesh-ny-geayee,","A sweet smell of heather goes now with the wind,",Ta soar millish connee goll nish lesh ny gheayee,
"Ta’n niarragh er jeet lesh frassyn as summarkyn,","The spring has come with showers and primroses,",Ta’n niarragh er jeet lesh frassyn as sommyrken,
Ny croink ooilley coamrit lesh aittyn as freoagh.,The hills all covered with gorse and heather.,Ny croink ooilley coamryt lesh ashyn as fraie,
Ny sleityn ta coodit lesh bodjalyn baney,"The mountains are covered with white clouds,",Ny slityn ta coodyt lesh bodjalyn baaney,
Dagh nhee ta goaill soylley jeh’n ghrain as yn çhiass,"Each colour that enjoys the sun and the heat,",Dagh nhee ta ghoaill solley jeh’n ghrain as yn chass,
Ny lhontyn soilshean ayns nyn garmodyn geaney,"The glens shining in their vivid green garments,",Ny lhyntyn soljean ayns nyn garmodyn gheney,lhontyn — phonetic spelling of how glionteeyn ‘glens’ was likely pronounced in Cregneash in Ned Beg’s day.
As fynnyr beg cheet er voish yn sheerass,And a little breeze coming from the southwest.,As fynnyr beg cheet er voish yn sheerass,
"Ny heirrinee tarroogh ta traaue ayns ny magheryn ,","The industrious farmers that plough in the fields,",Ny errinee tarroog ta traue ayn ny maghryn ,
"Cuirr arroo sy voghrey as soiagh potaase,","Sowing corn in the morning and planting potatoes,",Quir arroo sy voghry as soiagh potaase,"potaase — ‘potato’; puddase (Cregeen), praase (Kelly)."
"As gimman ny cabbil nagh jed ad er shaghryn,","And driving the horses so they won’t go astray,",As gimman ny chabbyl nagh jed ad er shaghryn,
Eisht jerkal rish frassyn dy chur orroo gaase.,Then hoping[1] for showers to make them grow.,Esh jerkal rish fraasyn dy chur orroo gaase,
"Ta’n shellan beg hene ta rouaill fud ny blaaghyn, ","Even the little bee that wanders through the blossoms,",Tan shellan beg hene ta rouaill fud ny blaaghyn ,
"Yn viljid te jiole as dagh pooishee ta mie,","The sweetness she sucks out of every flower that is good,",Yn viljyg te jiole as dagh pushee ta mie,
"Gyn smooinaght er frassyn ny er ny shenn raaidyn,","Without thinking of showers or about the old ways,",Gyn smoinagh er fraasyn ne er ny shen raaidyn,
Gys laadit lesh miljey t’eh getlagh çheet thie.,"Until loaded with sweetness he flies, going home.",Gys loadyt lesh miljey te getlagh cheet thie,
"Ta’n niarragh er jeet nish lesh imbagh feer aalin,","The spring has now brought a very beautiful season,",Tan niarragh er jeet nish lesh imbagh feer aalin,
"As pooisheeyn souree dy leah vees ayns blaa, ","And summer flowers will soon be in flower,",As pusheeyn souree dy leah vess ayns blaa ,
