English,Manx,Notes,Page,English Original,Manx Original
,[1],,1,,
,Yn ked Scruyn Paul yn Ostyl dys ny Thessalonianee ,[title struck out],1,,
,[2],,2,,
,Cab. 1.,,2,,
"Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians which is in God the Father and in the Lord Jesus Christ: Grace be unto you, and peace, from God our Father, and the Lord Jesus Christ.","[MS 1 Thessalonians 1.1] Paul, as Silvanus, as Timotheus, gys Aglish ny Thessalonianee, ta ayns Jee yn Ayr, as ayns y Chiarn Yeesey Creest: Grâyse dy row hiu as Shee, voie Jee nyn Ayr, as y Chiarn Yeesey Creest.",Aglish] Agglish; voie] vooish,2,,
"We give thanks to God always for you all, making mention of you in our prayers;","[MS 1 Thessalonians 1.2] Ta shin cur Booise gys Jee dy braagh er y son eu ooilley, genmis shiu ayns nyn Padjeryn,",Booise] [B underlined]; Booise] Booise kinjagh; dy braagh] [struck through]; er y son] er nyn son; genmis shiu] gimraa erriu; Padjeryn] [P underlined],2,,
"Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;","[MS 1 Thessalonians 1.3] Cooniaghtyn fagooish scuir er yn Obber ew jeh Credjue, as Laboraght jeh Graih, as Jerkal jeh Treshteil, ayns nyn Jiarn Yeesey Creest, kionfeanish Jee & nyn Ayr:",fagooish scuir] dy kinjagh; Obber ew ] Obbyr eu; jeh Graih] dy Ghraih; Jerkal] y surranse; jeh Treshteil] dy hreshteil; kionfeanish] kionfenish; kionfenish Jee &] ayns shilley Yee as,2,,
"Knowing, brethren beloved, your election of God.","[MS 1 Thessalonians 1.4] Toiggal, Charjyn graiagh, dy vell shiu reiht liorish Jee.",Charjyn] Chaarjyn; graiagh] ghraiagh; vell] vel,2,,
"For our gospel came not unto you in word only, but also in power, and in the Holy Ghost, and in much assurance; as ye know what manner of men we were among you for your sake.","[MS 1 Thessalonians 1.5] Son cha dank y Sushtal ayn hiw ayns Goo ny lummarkyn, agh myrgheddin ayns Poor, as ayns y Spyrryd Noo, as ayns laane Shickyris, myr ta fyss ew cre’naaght dymmirk shin shin [heen] [3] heen ny masth’ ew, er y Coondey ew.",dank] daink; ayn] ainyn; hiw] hiu; Goo] [G underlined]; lummyrkyn] lommyrcyn; myrgheddin] myrgeddin; Poor] Pooar; laane shickyris] slaane shickerys; ew] eu cre’naaght […] heen] kys ren shin gymmyrkey shin hene; ny masth eu] nyn mast’eu; Coondey ew] choontey eu,2,,
"And ye became followers of us, and of the Lord, having received the word in much affliction, with joy of the Holy Ghost.","[MS 1 Thessalonians 1.6] As hank shiu dy ve Schollaryn dhooinyn, as da’n Chiarn, er reish dew ve er gheddin y Goo ayns laane Seaghyn, lesh Buggey yn Spyrryd Noo:",As hank […] Chiarn] As va shiu [>haink shiu dy ve] eiyrtyssee orrin-yn as er y Chiarn; gheddin] gheddyn; er reish dew ve er gheddyn y] myr va shiu er ghoaill rish y; laane Seaghyn] mooarane seaghyn; Buggey] Boggey,3,,
So that ye were ensamples to all that believe in Macedonia and Achaia.,[MS 1 Thessalonians 1.7] Myr sen dy rou shiu Sambleryn dausyn ooilley ta Credjal ayns Macedonia & Achaia.,sen] shen; dausyn] dauesyn,3,,
"For from you sounded out the word of the Lord not only in Macedonia and Achaia, but also in every place your faith to God-ward is spread abroad; so that we need not to speak any thing.","[MS 1 Thessalonians 1.8] Son viwish, va Goo yn Chiarn er ny hoiljaghey, cha nee ny  lummarkyn ayns Macedonia as Achaia; agh myrgheddin, ayns dy chooilley Voal ta’n Credjue ew ayns Jee er ny hoiljaghey magh, myr sen nagh vel feme ayn Veg y raa.",viwish […] hoiljaghey] veuish ren [?]g [ren g struck out] hie feiyr goo’n Chiarn magh; lummarkyn] lomarcan; myrgheddin] myrgeddin; ew] euish; ayns Jee] gys Jee > ayns Jee; hoiljaghey magh] skeayley dy lhane; sen […] raa.] shen nagh liass dou cheet harrish.,3,,
"For they themselves shew of us what manner of entering in we had unto you, and how ye turned to God from idols to serve the living and true God;","[MS 1 Thessalonians 1.9] Son ta adsyn ginsh jeeng, cre’n Soiaghey ren shiu jeenyn, as cris hindaa shiu dys Jee veih Jallooyn, dy hirveish y Jee bioa & firrinagh,","ta adsyn […] cris] t’ad hene soilshaghey mychione ain, kys ghow shiu roin tra haink shin hoshiaght ny mast’ eu, as kys; dys] gys; bioa] bio",3,,
"And to wait for his Son from heaven, whom he raised from the dead, even Jesus, which delivered us from the wrath to come.","[MS 1 Thessalonians 1.10] As dy farkiaght son y Vack veih Niau, Qui teh er chroggal veih ny Mirriu, [dy jarroo] Yeesey, ta er livrey shin veih yn Corree r’oi heet.","farkiaght] arkiagh; Vack] Vac; Qui] [deleted]; dy jarroo] [dy jarroo written in by 2, but in space apparently left by prima manus]; ta er] t’er nyn; shin] [deleted]; veih yn] veih’n; Corree] [C underlined]; r’oi] ta dy",3,,
,[4],,4,,
"For yourselves, brethren, know our entrance in unto you, that it was not in vain:","[MS 1 Thessalonians 2.1] Son ta fys eu hene, Charjin yn Gholl stiagh ain hiu nagh rou ah ayns fardail.","Chargin] Chaarjin [?Charginin, second in deleted?]; yn Gholl stiagh ain hiu] [?]ort yn ked precheil ain jeh’n Sushtal > tra haink shin hoshiaght hiu [dy phreacheel y Sushtal]; row] rou",4,,
,,ah] eh,4,,
"But even after that we had suffered before, and were shamefully entreated, as ye know, at Philippi, we were bold in our God to speak unto you the gospel of God with much contention.","[MS 1 Thessalonians 2.2] Agh dy jarroo lurg dooin ve er surranse roa law, as er geddin Ghellal naridagh, myr ta fys ew, eg Philippi, va shin dunnal ayns nyn Yee, dy loart riu yn Sushtal dy Yee lesh laane Striw.",ve er] ve roïee er; roa] ro; roa law] [struck through]; Ghellal naridagh] dellal scammyltagh; ew] [underlined]; eg] ec; loart] loayrt; loart riu] phreacheil diu; yn Sushtal dy Yee] Sushtal Yee; Striw] streeu,4,,
"For our exhortation was not of deceit, nor of uncleanness, nor in guile:","[MS 1 Thessalonians 2.3] Son cha row yn Choarle [ain] veih Moltearys, ny veih Neu-cheeltys, ny ayns Foalsaght:",row yn] row’n; Choarle] choyrle; [ain inserted by prima manus?]; Moltearys] Molteyrys; cheeltys] ghlennyd,4,,
"But as we were allowed of God to be put in trust with the gospel, even so we speak; not as pleasing men, but God, which trieth our hearts.","[MS 1 Thessalonians 2.4] Agh myr va shin lowt liorish Jee, dy ve treashtit lesh y Sushtal, dy jarroo myr sen ta shin loart, cha nee myr dy beagh shin booiys Deaney, agh Jee, Qui ta raunsaghey nyn Greeaghyn.","Jee, dy] Jee dy; dy ve treashtit lesh y Sushtal] currym y Sushtal dy ve orryn [>orrin]; sen] shoh; loart] loayrt; myr […] Deaney] shirrey deiney ’woieys [>wooieys]; Qui] [deleted]; raunsaghey] trial",4,,
"For neither at any time used we flattering words, as ye know, nor a cloke of covetousness; God is witness:","[MS 1 Thessalonians 2.5] Son chamoo ren shin ymid jeh Goan brynnagh eg tra er bee, myr ta fys ew hene er, chamoo Cloagey dy Saynt Jee ta Feanish.",ymid] ec traa erbee ymmyd; eg tra er bee] [deleted]; chamoo Cloagey dy Saynt] ny coodagh erbee dy haynt:,4,,
"Nor of men sought we glory, neither of you, nor yet of others, when we might have been burdensome, as the apostles of Christ.","[MS 1 Thessalonians 2.6] Chamoo hirr shin Gloayr veih Deaney, chamoo viuish, chamoo veih Feallagh elley, Uddagh shin ve costillagh diu, myr Ostyllyn Chreest.",Chamoo hirr] Chamoo veih deiney hirr; veih Deaney] [deleted]; viuish] veuish; chamoo veih Feallagh elley] ny foast veih feallagh elley; Uddagh shin ve costillagh diu] ga dy row cairys ayn dy ghoyrt [> choyrt] shiu gys cost,4,,
"But we were gentle among you, even as a nurse cherisheth her children:","[MS 1 Thessalonians 2.7] Agh va shin meen ny vud ew, dy jarroo myr ta Boandyr dy voandyrys y Cloan eck.",meen] aashagh; ew] eu; Boandyr dy voandyrys y Cloan eck] bondyr jea [deleted] jannoo mooar jeh e cloan hene,4,,
,[5],,5,,
"So being affectionately desirous of you, we were willing to have imparted unto you, not the gospel of God only, but also our own souls, because ye were dear unto us.","[MS 1 Thessalonians 2.8] Myr shen lesh Agney creeoil er ny son ew, va shin booiagh ve er ny chourt diu, cha nee yn Sushtal dy Yee, ny lummarkyn, agh ny Anmeyn ayn hene myrgheddin, er yn oar dy row shiu dear dhooïn.",er ny son ew] ayns slaane aigney mie diuish; ve er ny chourt diu] dy hirveish erriu; yn Sushtal dy Yee] ynrican Sushtal Yee; ny lummarkyn] [deleted]; ny Anmeyn ayn hene mygheddin] eer nyn meiose hene; oar] oyr; dhooïn] dooïn > doïn,5,,
"For ye remember, brethren, our labour and travail: for labouring night and day, because we would not be chargeable unto any of you, we preached unto you the gospel of God.","[MS 1 Thessalonians 2.9] Son ta Cooniaghtyn ew, Vraaraghyn, er y tooilleil as troailt ayn: Son lesh Gobbraghey oie & Laa, er yn oar nagh beagh shin Costillagh da veg jiuish, ren shin Sushtal dy Yee y phrecheil diu.",ew] eu; troailt] deïnys; ayn] ain; lesh] [deleted]; oar] oyr; beagh shin Costillagh da veg jiuish] jinnagh shin currym er veg eu; phrecheil] phreacheil,5,,
"Ye are witnesses, and God also, how holily and justly and unblameably we behaved ourselves among you that believe:","[MS 1 Thessalonians 2.10] Ta Shuish Feanishyn, as Jee myrgheddin, cre cha Casherick, as cairagh, as gyn-foail dimmirk shin shin hene, ny masth ewish ta credjal:",Shuish] [S underlined]; Casherick] crauee; foail] loght; dimmirk] dymmyrk; ny masth ewish] nyn mast’ euish,5,,
,,,5,,
"As ye know how we exhorted and comforted and charged every one of you, as a father doth his children,","[MS 1 Thessalonians 2.11] Myr ta fyss ew, cre naaght ren shin coarlaghey, as gerjaghey, as Raw y chourt dys dagh anaan ew (myr ta Ayr dy chourt da y Chloan hene)",ew] eu; cre naaght] kys; coarlaghey] coyrlaghey; Raw y chourt dys] currymmaghey; anaan ew] unnane eu; dy chourt da] [may have been inserted later; underlined]; y] e; hene] [deleted],5,,
"That ye would walk worthy of God, who hath called you unto his kingdom and glory.","[MS 1 Thessalonians 2.12] Dy jinnagh shiu gimmirkey shiu hene fiew jeh Jee, ta er n’emagh erriu gys y Reereaght as y Gloayr.",gimmirkey] gymmyrkey; fiew] feeu; ta er n’emagh] t’er n’eamagh; y Reereaght] e Reeriaght; y Gloayr] e ghloyr,5,,
"For this cause also thank we God without ceasing, because, when ye received the word of God which ye heard of us, ye received it not as the word of men, but as it is in truth, the word of God, which effectually worketh also in you that believe.","[MS 1 Thessalonians 2.13] Son er yn [C] Coondey shoa myrgeddin ta shin choyrt booise gys Jee, fagooish scuir, er yn oar [6] Tra gow shiu rish Goo Yee, cheol shiu vooin-yn, gow shiu rish, ha nee myr Goo Dheaney, agh (myr te ayns firrinys) Goo Yee, ta myrgheddin gobbraghey gys ymmid mie ayndiuish ta Credjal.",er yn C Coondey] er y Coondey; er yn C Coondey] Er yn oyr shoh myrgeddin > Er y choontey shoh myrgeddin; booise gys] booise kinjagh gys fagooish scuir] [deleted]; oar] oyr; gow] ghow; cheol] cheayll; gow shiu rish] gow shiu eh; ha nee] cha nee; myr] myr; Dheaney] deiney; myrgheddin] dy breeoïl; gys ymmid mie; ayndiuish] ayn-diuish; Credjal] [C underlined],5,,
,,,6,,
"For ye, brethren, became followers of the churches of God which in Judaea are in Christ Jesus: for ye also have suffered like things of your own countrymen, even as they have of the Jews:","[MS 1 Thessalonians 2.14] Son hank shiuish, Vraaraghyn, dy ve Eirtyssee er Aglish Yee, ta ayns Judea ayns Chreest Yeesey: son ta shiuish myrgheddin er hurranse ny Neeaghyn keddin vei ny Dheaney jeh nyn Cheer hene, dy jarroo myr ta adsyn vei ny Hewnyn;",hank shiuish] va; dy ve] [deleted]; Aglish] Kialteenyn; Chreest] Creest; myrgheddin] myrgeddin; myrgeddin] neesht; Neeaghyn] reddin; keddin] cheddin; vei ny Dheaney jeh nyn Cheer hene] liorish ny deiney-cheerey eu hene; ta adsyn] t’ adsyn,6,,
"Who both killed the Lord Jesus, and their own prophets, and have persecuted us; and they please not God, and are contrary to all men:","[MS 1 Thessalonians 2.15] Qui ta er varroo chama yn Chiarn Yeesey, as ny Phadeyrin ock hene, as er n’ymman shin magh; as cha vell ad booyis Jee, & t’ad noi dy chooilley Ghoinney:",Qui ta er varroo] Chur dy-baase; chama] chammah; ock] oc; n’ymman shin magh] n’yannoo tranlaase orrin; vell] vel; booyis] pleasal; Ghoinney] Ghooinney; Ghooinney] [G underlined],6,,
"Forbidding us to speak to the Gentiles that they might be saved, to fill up their sins alway: for the wrath is come upon them to the uttermost.","[MS 1 Thessalonians 2.16] Liettal shin vei loayrt rish ny Ashoonyn Quaagh, dy voddagh ad v’er ny hawail, dy yannoo magh y Choondey jeh ny Peccaghyn ock dy bragh: Son ta Corree er chit orroo gys y jerrey.",vei] veih; loart] loayrt; hawail] sauail; yannoo […] bragh] lheeiney seose [?ny ch… deleted] dy kinjagh towse nyn beccaghyn; er chit] dy heet; y jerrey] y chooid sodjey,6,,
"But we, brethren, being taken from you for a short time in presence, not in heart, endeavoured the more abundantly to see your face with great desire.","[MS 1 Thessalonians 2.17] Agh fackin, Vraaraghyn, dy vell shin er ve gooit vew son earish gaare, ayns feanish, cha nee ayns Cree, va shin ny sagindee dy ackin yn Eddin ew lesh Yearree jeean ",fackin] myr va shin; dy vell […] feanish] er ny scarrey veue son tammylt ayns persoon; sagindee] s’aggindee; dy ackin yn Eddin ew [deleted]; Yearree] Yeearree; jeean] jeean d’akin yn E [deleted] eddin eu.,6,,
,[7],,7,,
"Wherefore we would have come unto you, even I Paul, once and again; but Satan hindered us.","[MS 1 Thessalonians 2.18] Shen-y-faa, veeagh shin er chit hiu, dy jarroo mish Paul, keort ny gaa; agh Satan ren shin y lettal.","faa,] fa; veeagh] veagh; chit] jeet; keort ny gaa] keayrt as keayrt; agh Satan] agh ren Satan; ren shin y lettal] nyn lhiettal",7,,
"For what is our hope, or joy, or crown of rejoicing? Are not even ye in the presence of our Lord Jesus Christ at his coming?","[MS 1 Thessalonians 2.19] Son cre ta nyn yerkal, nyn Muggey, nyn Attey dy Gloaraghey? nagh vel dy jarroo Shuish, kion-fenish nyn Jiarn Yeesey Chreest, eg y Chit echey?","nyn yerkal] ’n treishteil ainyn > nyn Dreishteil; Muggey] moggey; Gloaraghey] ghennallys; vel] nee; Shuish, kion-fenish] Shuish kion-fenish; Chreest] Creest; eg y Chit] ec y cheet",7,,
For ye are our glory and joy.,[MS 1 Thessalonians 2.20] Son ta shuish nyn Gloayr & nyn Muggey.,ta] [deleted]; Gloayr] ghloyr; Muggey] Moggey,7,,
,Cab. III.,,7,,
"Wherefore when we could no longer forbear, we thought it good to be left at Athens alone;","[MS 1 Thessalonians 3.1] Shen y faa, tra nagh row shin able surranse veg sudjey, smoonee shin mie jeh dy ve faagit eck Athens my lommarkyn:","faa,] fa; row […] sudjey] voddagh shin lhiggey-shaghey ny [>veg] sodjey; smoonee shin mie jeh] ghow shin ayns laue mish; eck] ec; my] [possibly ny > my]; lummarkyn] lomarcan",7,,
"And sent Timotheus, our brother, and minister of God, and our fellowlabourer in the gospel of Christ, to establish you, and to comfort you concerning your faith:","[MS 1 Thessalonians 3.2] As chur shin Timotheus, nyn Mraar & Shirveishagh Yee, as nyn Sheshey-Laboree ayns Sushtal Chreest, dy higgeraghey shiu, as dy gherjaghey shiu mychione y Credjiu ew;","Timotheus, nyn]  Timotheus nyn; higgeraghey] niartaghey; y Credjiu ew] nyn Gredjue",7,,
That no man should be moved by these afflictions: for yourselves know that we are appointed thereunto.,[MS 1 Thessalonians 3.3] Nagh beagh Dooinney erbee er ny Skooghey liorish ny Seoghynyn shoa: Son ta thoigal ew hene dy ree dys shen ta shin reiht.,Skooghey] ghleasagh; Seoghynyn] Seaghynyn; shoa] sho; thoigal] fys; ew] eu; ree] nee; dys shen ta shin reiht] gys shoh ta shin er kiarit [sic],7,,
