English,Manx,Manx Orginal,Page,EnglishPage,Notes
,YN,,1,1,
,"Fer-raauee Creeſtee,",,1,1,
,Soiaghey  magh,,1,1,
,COYRLE YEEAN,,1,1,
,Dy leeideil,,1,1,
,BEA CHRAUEE:,,1,1,
,Mariſh   RESOONYN   breeoil   dy  ,,1,1,
,ghreinnaghey  Sleih  huggey.,,1,1,
,Scruit  ayns  Aght  plain  as  aaſhagh  ſon  dy  ,,1,1,
,chooilley  Horch  dy  Leih.,,1,1,
,______________________________________________________,,1,1,
,"Eiyr-jee da Shee riſh dy chooilley Ghooinney, as Craueeaght, n’egooiſh cha vod Dooinney erbee yn Chiarn y akin. Heb. xii. 14.",,1,1,
,______________________________________________________,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,"Prentyt  ayns  LUNNYNG,",,1,1,
,"Lioriſh EAN as W. OLIVER, ayns Bartholomew-Cloſe. ",,1,1,
,1763,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,[Quasi-facsimile of the title page of the Manx translation],,1,1,
,,,1,1,
"The Christian Monitor, &c.","Yn Fer-rauee Creestee, &c.",,3,1,
,,,3,3,
,,,3,3,
C H A P.  I.,CAB. I.,,3,3,
"An Exhortation to an Holy Life, with Motives thereto.","Coyrle dy leeideil Bea Chrauee, marish Resoonyn breeoil dy ghreinnaghey Sleih huggey.",,3,3,
"It is very sad to consider, not only how few Nations there are in the World, which profess Christianity, but also of those who do profess it, how few there are comparatively that live according to their Profession : Wherefore it well becomes all Christ’s faithful Servants, especially the Ministers of his Gospel, to use their utmost Endeavours by Life and Doctrine, by public and private Exhortations, by Preaching and Writing, and by all the Ways they are capable of, to promote true Piety and Holiness amongst all sorts of Men, whether High or Low, Rich or Poor, without which no Man can be happy, either in this World, or that which is to come.","Te feer trimshagh dy smooinaghtyn, cha nee ynrycan cre’n earroo fardalagh dy Ashoonyn t’ayns y theihll ta goaill-rish y Chredjue Creestee, agh myrgeddyn jeh ny Ashoonyn shen ta goaill-rish, cre’n earroo fardalagh ayns cosolagh ta leeideil nyn mea cordail rish nyn Gredjue : Shen-y-fa te red feer jesh da ooilley sharvaantyn firrinagh Chreest, er-skyn ooilley da Shirveishee e Hushtal, dy yannoo ooilley ny t’ayns nyn booar liorish nyn Ymmyrkey-bea as Ynsagh, liorish nyn Goyrle dy foshlit as er lheh, liorish nyn Breacheil as nyn Screeu, as liorish dy chooilley aght oddys ad, dy chur Craueeaght as Casherickys firrinagh er y hoshiaght mastey dy chooilley cheint dy leih, edyr ard ny injil, boght ny berchagh, fegooish y Chraueeaght as y Chasherickys cheddyn cha vod dooinney erbee ve maynrey, edyr ayns y theihll shoh ny ayns y theihll ta ry heet.",,3,3,
"And though I well know that, Thanks be to God, we abound with Multitudes of excellent Books written to this End : yet are not such short Instructions as these that follow to be condemned as useless, since they will, it is likely, be more generally dispersed, and that amongst the very meanest of the People, and may more easily be read and remembered by such as have neither Time to read large Books, nor Money to buy them.","As ga dy vel fyss feer vie aym dy vel, booise gys Jee, palchey dy lioaryn mie ny vud ain scruit son yn Oyr shoh ; foast cha vel leid y Choyrle ghiare as ta dy heet ny lurg shoh dy ve deyrit myr gyn ymmyd, fakin dy vod y lioar veg shoh, te laik, as y Choyrle t’ayn-jee ve ny smoo er ny skeailey, as shen fud yn ayrn s’boghtey dy leih, as foddee ad ve ny sassey er nyn lhaih as cooinaghtyn freailt jeu liorish nyn leid ocsyn as nagh vel Tra oc dy lhaih lioaryn mooarey, ny argid dy chionnaghey ad.",,3,3,
"With such as these I have Occasion often to meet, and for their sakes chiefly it is that I publish this little Paper ; being encouraged thereto by some pious Persons, both of City and Country, who intend to give some of them away to poor People about them, and thought others might do the like.","Rish nyn leid shoh ta caa mennick aym dy veeiteil, as er y ghraih ocsyn er lheh ta mee scrieu yn lioar veg shoh ; greinnit dy yannoo eh liorish paart dy phersoonyn crauee, chammah ayns cheer as balley, ta kiarrail dy ghiootal paart jeh ny lioaryn beggey shoh er sleih boghtey my-geayrt-y-moo, as va smooinaghtyn dy jinnagh feallagh elley myrgeddyn.",,4,3,
"And may it please God to give a Blessing to such a mean Undertaking as this, and succeed it to the Good of Souls, I shall little regard the Censures of the Curious ; [1]remembering the Saying I have somewhere met with of a devout Writer, to this purpose, That he was desirous his Book should be scattered abroad upon Pedlars Stalls, and thence come into the Hands of common People, for the Increase of Knowledge and Piety, rather than be solemnly laid up and buried in the Libraries of the Learned.","As my scooidsaave lesh Jee bannaght y choyrt da leid yn obbyr fardalagh as ta shoh, as eh y vishaghey son foays anmeenyn, s’beg geill verryms da ny foiljyn yow Fer-ynsee erbee mooaralagh da’n lioar shoh",,4,3,[1] The last sentence is not rendered in the Manx.
"Wherefore, without any more Preface, I shall address myself to you, for whose sake I write these Lines, as a Persuasive to a Holy and Religious Life.","Shen-y-fa fegooish arragh y ghra jeh’n lioar veg shoh, loar-ym riuish, er nyn nghraih ta mee scrieu ny lineyn shoh, myr Coyrle dy leeideil Bea Chrauee as Chreestee.",,4,4,
"Now, in order thereto, let me beseech you to look back upon your Lives past, and call yourselves to an Account, whether it has been your Care and Study to live in such a godly Manner, as becomes those who are baptised in the Name of Christ, and from him are called Christians.","Nish, dy vod shiu my choyrle y ghoaill, lig-jee dou guee erriu dy yeaghyn back er nyn mea ta caeuit, as dy eamagh erriu hene gys coontey, vel eh er ve nyn giarrail as imnea dy veaghey ayns leid yn aght crauee shen as ta cooie dauesyn ta bashtit ayns Ennym Chreest, as ny lurg echey enmyssit Creesteenyn.",,4,4,
"Have you well considered what is the Meaning of this Name, and what Engagements you lie under to an holy Life by taking it upon you in Baptism ?","Vel shiu er nghoaill tastey vie cre ta er ny hoiggal liorish yn Ennym shoh, as cre ny kianglaghyn ta shiu nyn lhie fo dy leeideil Bea chrauee, liorish goaill ad erriu ayns Bashtey ?",,4,4,
"And do you keep well in Mind your Baptismal Vow, wherein you renounced the Devil, the World and the Flesh ; and promised to be Christ’s faithful Soldiers and Servants, and so to continue all the Days of your Life ?","As vel shiu freayll cooinaghtyn vie er nyn Mreearey Bashtey, ayn hreig shiu yn Drogh Spyrryd, yn Seihll, as yn Eill, as yhiall shiu dy ve nyn Sidooryn as Sharvaantyn firrinagh da Creest, as dy hannaghtyn myr shen ooilley laghyn nyn Mea ?",,4,4,
"Have you so far understood and considered these Things, that you have made it your chief Business to walk accordingly ?","Vel shiu choud shen er hoiggal as er nghoaill tastey jeh ny reddyn shoh, dy vel shiu er nyannoo eh nyn ard obbyr dy immeeaght cordail roo ?",,4,4,
"Do you watch carefully, and fight manfully against your spiritual Enemies ?","vel shiu watchal dy imneagh, as caggey dy dunnal noi nyn noidjyn spyrrydoil ?",,5,4,
"Do you live as those that believe the Gospel, sincerely endeavouring in all Things to know the Will of God, and to do it ?","vel shiu beaghey goll roosyn ta credjal y Sushtal, dy creeoil jannoo nyn baart ayns dy chooilley nhee dy hoiggal Aigney Yee, as dy yannoo eh ?",,5,4,
"Since you take Christ’s Name in your Mouth, are you careful to depart from all Iniquity ?","Fakin dy vel shiu goaill ennym Chreest ayns nyn Meeal, vel shiu kiarralagh dy hea veih dy chooilley Vee-chraueeaght ?",,5,4,
"In a word, is this your greatest Study and Design, to please and glorify God, and to work out your our own Salvation ?","ayns fockle, nee shoh’n imnea as y chiarrail smoo eu, dy wooiys as dy ghloyraghey Jee, as dy obbraghey magh nyn Saualtys hene ?",,5,4,
