Speaker,Manx,English,SubStart,SubEnd,Notes
JC,"V’ad foast freayl rick er y chaptan dy yannoo reaghey dy chooilley nhee bentyn rish yn skeerey echey, as va ram obbyr, v’eh foast, ... c’red va’n chooid smoo jeh’n obbyr echey? ...","They were still keeping an eye on the captain of the parish to do, arrange, everything concerning his parish, and there was a lot of work, it’s still ... what was most of his work? ...",00:00,30,
JC,"Va niart echey dy ghooney thie-oast, my vees, my vees boirey ayn, ny red ennagh myr shen, as ...","He had power to close an inn, if there’s, if there’s trouble in it, or something like that, and ...",30,60,
RT,"As va ram thieyn-oast ayn, sy ...","And there were a lot of inns, in the ...",30,60,
JC,"Oh, bunnys er dy-chooilley nhee, as va pot goll mygeayrt er y cheer, as, err, raad v’ad, raad v’ad jannoo lhune, ayns shen, as ... dy row ...","Oh, almost everything, and there was a pot going around the countryside, and, err, where they were, where they were making ale, there and,  ... was ...",30,60,
RT,"R’ou hene, r’ou hene rieau jannoo lhune?",Did you ever make ale?,30,60,
JC,"Ogh, cha row, cha row, cha row edyr. Agh, my, my ven, va ish jannoo feeyn.","Oh, no, no, not at all. But, my, my wife, she was making wine.",60,90,
RT,"Aw, ta.","Oh, yes.",60,90,
JC,Nish as reesht. Ass smeyr as reddyn myr shen.,Now and again. Out of blackberry and things like that.,60,90,
RT,Cre ta smeyr?,What is ‘smeyr’?,60,90,
JC,Blackberry.,Blackberry.,60,90,
RT,"Aw she, she.","Oh, yes, yes.",60,90,
JC,Aye.,Aye.,60,90,
RT,"Ta mee toiggal, aye.","I understand, aye.",60,90,
JC,"As, stoo, red erbee, stoo myr shen, ...","And, stuff, anything, stuff like that ...",60,90,
RT,Smeir y dress v’ad gra?,"Blackberries of the briar, they were saying?",60,90,
JC,"V’eh feer vie. Oh, feer vie. As, yn obbyr s’jerree aym’s myr captan y skeerey, yinnagh oo garraghtee,","It was very good. Oh, very good. And, the last job I had as captain of the parish, you would laugh,",60,90,
JC,"tra ta shiu geaishtagh rish yn skeeal shoh. O, va carrey aym’s enmyssit Juan y Curleod, v’eh goll mygeayrt ny magheryn lesh moddey, moddey echey, as dooyrt eh by vie lhee goll magh son roie er magheryn fastyr jiu, as hie eh dys y pheeley, Balley Curree, as v’eh çheet er-ash trooid ny magheryn,","when you listen to this story. Oh, I had a friend called John Corlett, he was going around the fields with a dog, his dog, and he said she would like to go out for running on fields this afternoon, and he went to the fort, Ballachurry, and he was coming back through the fields,",90,120,
JC,"as haink eh dys ... tholtan, err, jus’ çheu-hoal y vayr ayns shen, as ram biljyn gaase mygeayrt-y-mysh, as dooyrt eh ... dooyrt eh-hene, da hene, “Shegin dou goll stiagh ayns ny biljyn shoh, dy yeeaghyn son edd, edd hullad,","and he came to ... a ruined cottage, err, just the far side of the road there, with a lot of trees growing around about it, and he said, himself said, to himself, “I must go in these trees, to look for a nest, an owl nest,”",120,150,
JC,"v’eh graihagh er reddyn myr shen, graihagh er ooilley ny heeanlee, as haink eh dys queig pottyn, as, as, c’red ta’n stoo shen t’ad jaaghey?  Err, err ...","he loved things like that, loved all the birds, and he came to five pots, and, and, what is that stuff they smoke? Err, err ...",150,181,
RT,Son ny hulladyn?,For the owls?,150,181,
JC,"Cha row, cha row ee thombagey edyr ...","No, no, it isn’t tobacco at all ...",150,181,
RT,"Aw, err, ...","Oh, err, ...",150,181,
JC,C’red ta’n stoo shen ta gaase as queig duillagyn er?,What is that stuff that grows and has five leaves?,150,181,
RT,"Oh, err, kennip. Kennip.","Oh, err, hemp. Hemp.",181,212,
JC,"Ken .. aw cha row eh kennip, edyr ... stoo elley ...","He... oh, it wasn’t hemp, at all ... other stuff ...",181,212,
RT,Stoo ... sorçh dy drug?,Stuff ... a sort of drug?,181,212,
JC,Stoo elley ... c’red t’ad ... aw ...,Other stuff ... what are they ... oh ...,181,212,
RT,Cha nel thombagey ...,Not tobaccoo ...,181,212,
JC,Cha row thom ... t’ad jaaghey yn stoo shoh ...,Wasn’t toba... they smoke this stuff ...,181,212,
RT,mmm,mmmm,181,212,
JC,"Son ashlishyn, ashlishyn meeley, as reddyn myr shen.","For visions, gentle visions, and things like that.",181,212,
RT,"Aw, cha nel fys aym ... nagh vel kennip yn ...","Oh, I don’t know ... isn’t hemp the ...",212,240,
JC,"Cha nel kennip eh ... err ... t’ad cur keid da sleih dy yannoo ymmyd jeh nish ayns Sostyn er-lhiam pene, aw ... Shee bannee mee ...","JC. It isn’t hemp ... err ... they giving permission to make use of it in England now, I think myself, oh ... Dear me ...",212,240,
RT,Son sorçh dy drug? Sorçh dy drug?,For a sort of drug? A sort of drug?,240,270,
JC,"She, she.","Yes, yes.",240,270,
RT,"Nagh vel shen cannabis, ny kennip?","Isn’t that cannabis, or hemp?",240,270,
JC,Cannabis!,Cannabis!,240,270,
RT,"Aye, she.","Aye, yes.",240,270,
JC,"Er lhiam pene dy re ... aw ... cannabis, vel shen goll-rish kennip, vel? Cannabis?","I think myself that is is ... oh ... cannabis, is that similar ot hemp, is it? Cannabis?",240,270,
RT,"Wahll, er-lhiam’s ...","Well, I think ...",240,270,
JC,Aw. Ta kennip as blaa gorrym er nagh vel ...,Oh. There’s hemp with a blue flower isn’t there ...,240,270,
