English,Manx,Manx Original,Page,Notes
,"SHESHAGHT AYNS LUNNIN,",,1,
,SON,,1,
,COYRT Y CREDJUE CREESTEE ER Y HOSHIAGHT MASTEY,,1,
,NY HEWNYN.,,1,
,,,1,
,Patrons.,,1,
,RIGHT REV. LORD BISHOP OF ST. DAVID’S.,,1,
,HON. AND RIGHT REV. LORD BISHOP OF GLOUCESTER.,,1,
,,,1,
,President.,,1,
,"SIR THOMAS BARING, BART. M. P.",,1,
,,,1,
,Treasurer.,,1,
,"ROBERT HENRY INGLIS, Esq.",,1,
,,,1,
,"Secretaries, (gratis.)",,1,
,"Rev. BASIL WOODD, M.A. Rector of Drayton Beauchamp, Bucks.",,1,
,"Rev. CHAS. S. HAWTREY, M.A. Vicar of Whitston, Monmouthshire.",,1,
,"Rev. DAVlD RUELL, M.A. Chaplain to tho County of Middlesex.",,1,
,,,1,
,Secretary for Foreign Correspondence.,,1,
,Rev. P. TRESCHOW.,,1,
,,,1,
,"TE kiarail vooar yn Cheshaght shoh dy choyrt shickyrys da ny Hewnyn dy vel nyn Jiarn Yeesey Chreest yn Messiah firrinagh, loayrit jeh ro laue liorish ny Phadeyryn; as dy choyrt nyn foays seihltagh, spyrrydoil, as dy bragh farraghtyn er y hoshiaght liorish nyn jyndaa gys y chredjue Creestee. Dy vel shoh dy ve dy jeean er ny yeearee, as dy vod eh v’er ny cosney ta Goo Yee dy baghtal soilshaghey. (Isaiah xi. 11, 12; lx. 1–7; Jer. iii. 17, 18 ; Hosea iii. 4, 5. 2 Cor. iii. 16, as Rom. xi.25–27.)",,1,
,"Myr ta’n obbyr shoh gruntit er ny Scriptyryn Casherick, lane dy ghraih ayns y dooghys echey, as vondeishagh ayns e jerrey, ta’n Society er ghoaill ny saaseyn shoh dy chooilleeney eh.",,1,
,,,1,
,CABBAL VOOAR FO ASPICK LUNNIN.,,1,
,,,1,
,"I . Va’n Chabbal shoh troggit er gerrey da Bethnal Green, foshlyt ayns July, 1814, fo Aspick Lunnin, as ayn ta’n Saggyrt C. S. Hawtrey, M.A., fer jeh ny Screudeyryn da’n Cheshaght ny Hirveishagh. Te kairit dy ynsaghey ny Hewnyn ayns y credjue Creestee. Ta’n chloan fo kiarail yn Cheshaght cheet gys ooashley foshlit ayns shoh dy chooilley Ghoonaght, as fockley magh arraneyn moyllee gys Mac Ghavid. Ta paart dy Hewnyn myrgeddyn nagh vel fo currym yn Society tendeil ny cheayrtyn.",,1,
,,,2,
,SCHOILLYN SOIT SEOSE.,,2,
,,,2,
,"II. Ta’d shoh kairyt dy choyrt beaghey, as coamrey, as ynsagh da keead jeh cloan ny Hewnyn. Ta’d shoh goit stiagh ayns ny Schoillyn liorish kied nyn Ayraghyn as Moiraghyn; ta’d troggit ayns ynsagh Creestee; ynsit dy ghra Catechism ny Killagh, as lioar ghiare ta coyrt bun er, as t’ad ny sodjey ynsit liorish y Chirveishagh ayns banglaneyn as currymyn Sushtal Chreest.",,2,
,"Ta nish ayns ny Schoillyn 38 Guillyn, as 44 Inneenyn.",,2,
,Ta slane coontey jeusyn t’er ve goit stiagh neayr’s va ny Schoillyn troggit ny smoo na 200. Ta ny Paitchyn tra ta’d ec eaish er nyn goyrt fo kiarail Mainshteryn Creestee.,,2,
,,,2,
,YN CONAANT NOA AYNS GLARE NY HEWNYN.,,2,
,,,2,
,"III. Ta’n Conaant Noa er ve chyndait ayns glare ny Hewnyn, as er ny choyrt liorish kied fo currym Aspickyn Durham, Salisbury, Norwich, St. David’s, Cloyne, as Meath. Liorish shoh ta Ashoon ny Hewnyn er ny vannaghey lesh slane coontey jeh’n Messiah firrinagh, as jeh screunyn ny Hostyllyn Casherick ayns glare yn Chenn Conaant. Foddee ad nish lhaih ayns y ghlare casherick oc hene obbraghyn yindyssagh nyn Jiarn as nyn Fer-kionnee; as ta oyr dy hreishteil dy vod yn Lioar shoh liorish bannaght Yee, ve ny haase dy scughey yn coodagh, ta eer gys y laa t’ayn jiu er aignaghyn ny Hewnyn ayns lhaih yn Chenn Chonaant, yn coodagh cheddin ta goit ersooyll ayns Chreest ny lomarcan.—2 Cor. iii. 4.",,2,
,"Ta’n chied edition jeh’n Chonaant Noa ayns glare ny Hewnyn, goaill stiagh 3,000 coppee er nyn skeaylley mastey ny Hewnyn, ayns ymmodee ayrnyn jeh’n Seihll, as myrgeddin daa edition goaill stiagh 4,000 coppee, prentit ayns Stereotype, as ta’n trass edition jeh 2,000 coppee faggys prentit, goaill stiagh ayns ooilley nuy thousaneyn coppeeyn jeh’n Conaant Noa ayns glare ny Hewnyn. Ta 2,000 jeh ny Hebrewnee er ve prentit er-lheh. Ta’n Conaant Noa er ve prentit ayns glare ny Germanee son ymmyd ny Hebrewnee ayns Germany, nagh vel toiggal glare ny[1] Chenn Chonaant; as ta’n Society er ghoaill ayns laue edition jeh’n Chenn Chonaant ayns y ghlare cheddin. Ta 70,000 coppee goaill stiagh ny Coyrleyn da Thie Israel ayns y nah, yn trass, as y trass cabdyl yeig jeh jannoo ny Hostyllyn er ve prentit er caartyn ayns glare ny Hebrewnee as ny Germanee.",,2,[1] sic
,"Marish shoh, ta’n Committee er gheddyn daa ghooinney fondagh as tushtagh, ruggit ayns Poland, dy hyndaa ny Psalmyn as ny Phadeyryn, as yn slane Conaant Noa ayns glare ny Hewnyn ta cummal ayns Poland, son ymmyd ny ymmodee Hewnyn, deiney as mraane, jeh’n cheer shen, nagh vel toiggal glare yn Chenn Conaant. Ta’n feme jeh shoh er ve foddey cronnit as te shickyr veih feanish yn vooinjer t’er loayrt rish ny Hewnyn ayns Poland n’egooish nagh voddagh chaghteragh veih ny Chreesteenyn huc ve jeh lane vondeish.",,2,
,"Te cronnal nagh voddagh ny obbraghyn shoh ta jeh wheesh dy hrimmid v’er nyn goyrt er nyn doshiaght fegooish lane cost, as shen-y-fa ta’d guee er Creesteenyn jeh dy chooilley horch dy chooney lhieu.",,3,
,,,3,
,LIOARYN BEGGEY COOIE DA NY HEWNYN.,,3,
,,,3,
,"IV. Ta’d shoh er ve prentit ayns caghlaaghyn dy ghlaraghyn, as er nyn skeaylley dy lhean mastey ny Hewnyn ayn [sic] Sostyn, Germany, Prussia, Poland, Russia, as Italy, as myrgeddin ayns ny East Injyn—ta earroo ny lioaryn beggey shoh, ayns",,3,[2] sic
,"Baarle… 105,000 | German Hebrew 30,000 | Italian, 1,000",,3,
,"Hebrew. 120,000 | German ……… 20,000 |",,3,
,"Va unnane jeh ny lioaryn beggey shoh enmyssit Deborah gys Fooilliagh Israel, scruit ayns Baarle as Hebrew, liorish Ben Seyre ayns Sostyn, as skeaylt ayns Malta, as slyst Barbary. Liorish bannaght Yee ve jeant ny haase dy choyrt shickyrys da marchan fud ny Hewnyn, dooinney feer berchagh, enmyssit Murtheim, dy nee Yeesey Creest yn Messiah firrinagh, as veih’n tra ve er ny hyndaa, gys oor e vaaish ren eh ymmyd jeh e hraa e halentyn, as e chooid, lesh jeanid kinjagh ayns chyndaa e Vraaraghyn gys y credjue Creestee.",,3,
,"Dy griennaghey ny Hewnyn dy chur tastey da prowallyn y Tushtal, ta’n Society er phrental earroo mooar jeh Aght giare as aashagh rish ny Hewnyn, scruit liorish Saggyrt Charles Leslie, M. A. soilshey sollys ayns Agglish Hostyn.",,3,
,,,3,
,SHIRVEISHEE ER NYN GOYRT GYS NY HEWNYN.,,3,
,,,3,
,"V. Myr ta’n Society er gheddyn fys dy vel earrooyn jeh ny Hewnyn ayns ymmodee ayrnyn jeh Russia, Holland, Germany, Prussia, Bohemia, as Poland, jeeaghyn dy ve ceau ersooyll whing ny oardaghyn oc, as briaght lurg prowallyn credjue Chreestee, as dy vel jerkal cadjin oc jeh cheet yn Messiah firrinagh, shen-y-fa ta’n Society er goaill ayns laue liorish gynsaghey as coyrt magh Hewnyn crauee te’r hyndaa gys y credjue Creestee, marish Shirveishee elley dy ockley magh mastey eebyrtee Israel, berchys Sushtal Chreest nagh vod ve ronsit magh; mastey oc shoh ta—","V. Myr ta’n Society er gheddyn fys dy vel earrooyn jeh ny Hewnyn ayns ymmodee ayrnyn jeh Russia, Holland, Germany, Prussia, Bohemia, as Poland, jeeaghyn dy ve ceau ersooyll whing ny oardaghyn oc, as briaght lurg prowallyn chedjue Chreestee, as dy vel jerkal cadjin oc jeh cheet yn Messiah firrinagh, shen-y-fa ta’n Society er goaill ayns laue liorish gynsaghey as coyrt magh Hewnyn crauee te’r hyndaa gys y credjue Creestee, marish Shirveishee elley dy ockley magh mastey eebyrtee Israel, berchys Sushtal Chreest nagh vod ve ronsit magh; mastey oc shoh ta—",3,
,"Mr. Thelwall, ec…Amsterdam. | Mr. M‘Caul as …}",,3,
,Mr. Smith …………… Leipsic. | Mr. Becker ec…} Posen.,,3,
,Mr. Goldberg ……… Dresden. | Mr. Wolff …… Jerusalem.,,3,
,Mr. J. D. Mare …… Frankfort. | Mr. Sargon …… India.,,3,
