English,Manx
TYNWALD,
"ST. JOHN’S, 5th JULY, 1930",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
Wt. 1277. —120/6/30.—150/6/41.,
"Printed (by Authority) by Brown & Sons Limited, “Times” Buildings, Douglas.",
"1.— The Diocesan Endowments Act, 1929",1.— Yn Slattys Giootyn Yn Aspickys Nuy Cheead Yeig Nuy as Feed.
The object and purport of this Act is to vest the diocesan endowments in a corporate body and provide for their administration.,Ta aigney yn Slattys shoh dy livrey harrish ny giootyn yn Aspickys gys co-corp as dy chiarail son reynn ad.  
"2.— The Housing (Rural Workers) Act, 1929.","2.— Yn Slattys Kiarail Thien [sic] (Obbreeyn Cheerey), Nuy Cheead Yeig Nuy as Feed."
The object and purport of this Act is to provide financial assistance for housing for rural workers..,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail argid dy hroggal thieyn da obbreeyn cheerey.
"3.— The Gaming and Betting Amendment Act, 1929.","3.— Yn Slattys Bing (Lhiasaghey), Nuy Cheead Yeig Nuy as Feed."
The object and purport of this Act is to amend the Gaming and Betting Acts.,Ta aigney yn Slattys shoh dy lhiasaghey ny Slattysn Gamman as Chebbal.
"4.— Agricultural Returns Act, 1929.",4.— Yn Slattys Coontaghyn Eirinys Nuy Cheead Yeig Nuy as Feed.
The object and purport of this Act is to facilitate the preparartion of agricultural statistics..,Ta aigney yn Slattys shoh dy yannoo ny saasey da eirinee dy chur stiagh coontaghyn eirinys.
"5.— The Merchandise Marks Act, 1929.",5.— Yn Slattys Cowraghyn Keirdee Nuy Cheead Yeig Nuy as Feed.
The object of this Act is to indicate the origin of imported goods.,Ta aigney yn Slattys shoh dy yeeaghyn cre veih ta cheet cooid erbee ta currit lesh stiagh s’yn Ellan.
"6.— The Water (Supply) Act, 1929.","6.— Yn Slattys Ushtey (Jannoo Magh), Nuy Cheead Yeig Nuy as Feed."
The object of this Act is to provide for a public supply of water.,Ta aigney yn Slattys shoh dy chiarail son jannoo magh yn theay lesh ushtey.
"7.—  The Agricultural Rates Act, 1929.",7.— Yn Slattys Keeshyn Eirinys Nuy Cheead Yeig Nuy as Feed.
The object of this Act is to reduce the rating of agricultural land and buildings.,Ta aigney yn Slattys shoh dy leodaghey ny keeshyn er thalloo as thieyn eirinee.
"8.— The Local Government Amendment Act, 1929.",8.— Yn Slattys Gurneilys Ynnydagh Nuy Cheead Nuy as Feed.
The object of this Act is to amend the Local Government Acts.,Ta aigney yn Slattys shoh dy lhiasaghey ny Slattysyn Gurneilys Ynnydagh..
"9.— The Old Age Pensions and National Health Insurance Amendment Act, 1929.","9.— Yn Slattys Toyrtyn Shenn Eaysh as Coadey Noi Aslaynt Ashoonagh Lhiasaghey, Nuy Cheead Yeig Nuy as Feed."
The object of this Act is to amend the law as to health and pensions insurance.,Ta aigney yn Slattys shoh dy lhiasaghey yn leigh bentyn rish toyrtyn as coadey noi aslaynt.
"10.— The Villa Marina (Amendment) Act, 1930.",10.— Yn Slattys Villa Marina (Lhiasaghey) Nuy Cheead Yeig Jeih as Feed.
The object of this Act is to amend the Villa Marina Act.,Ta aigney yn Slattys shoh dy lhiasaghey yn Slattys Villa Marina.
"11.— The Coroners Act, 1930.","11.— Yn Slattys Toshee-yoaree, Nuy Cheead Yeig Jeih as Feed."
The object of this Act is to amend the law as to coroner’s fees and duties.,Ta aigney yn Slattys shoh dy lhiasaghey yn leigh bentyn rish currymyn as eeckyn toshee-yoaree.
"12.— The Douglas Town Improvement and Artisans’ Dwellings (Amendment) Act, 1930.",12.— Yn Slattys Lhiasaghey Balley Ghoolish as Cummalyn Obbree (Lhiasaghey) Nuy Cheead Yeig Jeih as Feed.
The object of  this Act is to extend the time for compulsory purchase.,Ta aigney yn Slattys shoh dy heeyney magh yn traa son kionnagh er egin.
"13.— The Rent Restrictions Act, 1930.",13.— Yn Slattys Mayll (Lhiettalyn) Nuy Cheead Yeig Jeih as Feed.
The object of this Act is to extend the law as to Rent Restriction.,Ta aigney yn Slattys shoh dy reayll ayns bree son traa sodjey yn leigh bentyn rish lhiettalyn er mayll.
"14.— The Highway Amendment Act, 1930.","14.— Yn Slattys Raad Mooar Lhiasaghey, Nuy Cheead Yeig Jeih as Feed."
The object of this Act is to amend the Highway Acts.,Ta aigney yn Slattys shoh dy lhiasaghey ny Slattysyn Raad Mooar.
"15.— The Members of Tynwald (Disqualification) Act, 1930.","15.—Yn Slattys Oltaghyn Tinnvaal (Mee-Lowal), Nuy Cheead Yeig Jeih as Feed."
The object of this Act is to disqualify members of Tynwald from contracting with the,Ta aigney yn Slattys shoh dy vee-lowal da oltaghyn Tinnvaal dy yannoo bargane lesh y Reiltys.
"16.—The Aliens Restriction Amendment Act, 1930.","16.— Yn Slattys Lhiettal Joarreeyn Lhiasaghey, Nuy Cheead Yeig Jeih as Feed."
The object of this Act is to amend the Aliens Restriction Act.,Ta aigney yn Slattys shoh dy lhiasaghey yn Slattys Lhiettal Joarreeyn.
"17.— The Emplyment of Women, Young Persons and Children Act, 1930.","17.— Yn Slattys Faill Mraane Sleih Aeg as Paitchyn, Nuy Cheead Yeig Jeih as Feed."
