Manx,English,Diplomatic,Notes
Skeeal Beg mysh Jonah ,A Short Story about Jonah,Skeeal beg mysh Jonah,
(Screeu cadjinit),(Çhyndaays),(Aa-screeu diplomatic):,
"     Tra va Ree Israel er gheddyn currit gys shee e nabooyn boiragh  va’n phadeyr Jonah, quoi va er ve coyrlaghey as gynsagh da cre’n aght dy gholl trooid lesh yn chaggey, summit ec Jee dy gholl gys boayl elley. V’eh dy gholl gys Nineveh, as dy raaueal ny cummaltee dy ghoaill arrys dy row eaym ny peccaghyn oc er jeet seose kiongoyrt rish y Chiarn. Cha row yn çhaghteragh geyre veagh Jonah dy livrey ny sloo na stroiltys yn ardvalley ec kione daaeed laa ","When the King of Israel had got his bothersome neighbours pacified the prophet Jonah, who had advised and instructed him how to carry out the war, was summoned by God to go to another place. He was to go to Nineveh, and to warn the inhabitants to repent that the call of their sins had come up in the presence of the Lord. The severe message Jonah would be delivering wasn’t less than the destruction of the city in forty days. ",Traa va Ree Israel er gheddyn curryt gys shee y nabooyn boiragh. Va’n phadeyr Jonah. Quoi va er ve coyrlaghey as ginsagh da cre’n aght dy gholl trooid lesh yn chaggey Cummyt eck Jee dy gholl gys boall elley Ve dy gholl gys nineveh. As dy raueal ny commaltee dy ghoaill arrys ro dy row eaym  ny peccaghyn ock er jeet seose kiongoyrt rish y Chiarn. Cha row yn chaghteragh gayre vaeck Jonah dy livrey ny sloo ny stroiltys yn Ardvalley eck kione daaeed laa ,
     Agh ren yn sleih pooral va ayns yn ardvalley agglaghey Jonah gys ren eh jarrood dy row kionefenish yn Chiarn ayns dy chooilley ynnyd. ,"But, the powerful people that were in the city frightened Jonah until he forgot that the presence of the Lord in omnipresent. ",agh ren yn sleih pooral va ayns yn Ardvalley aglaghey Jonah gys ren eh jarrood dy row kionefenish yn Chiarn ayns dy chooilley innyd ,
"     Ghow eh ayns laue dy haghney yn çhaghteraght shoh liorish goll gys boayl elley, kiarit er-y-fa shen dy gholl gys Tarshish, veih kionefenish yn Çhiarn. Hie eh sheese gys Joppa, balley keayn, dy yeeaghyn son keesh. Ren eh geddyn ayns shen lhong aarloo dy hiaulley. Ren eh geeck yn keesh as goll er-boayrd. ","He decided to avoid this message by going to another place; his mind made up therefore to go to Tarshish, away from the presence of the Lord. He went down to Joppa, a sea town, to look for a tribute. He found there a ship ready to sail. He paid the fee and went on board. ","ghow eh ayns laue dy haghney yn chaghlyragh shoh liorish gholl gys boall elley, kaaryt er-y-fa shen dy gholl gys tarshish veih kionefenish yn Chiarn. Hie eh sheese gys Joppa Balley keayn dy yeaghyn son chessRen eh gheddyn ayns shen lhong aarloo dy hoayley. Ren eh geeck yn keesh as gholl erbooayrd. ","keesh— ‘a tribute’. NBHR’s original text gives ‘chess’; perhaps, kesht – ‘a turn’, or kesh‚— ‘foam’?"
"      Agh ren Jee ayns tra gerrid deyrey eh son e vee-vialys, son tra va’d mooie er yn cheayn ren sterrym troggal seose doaltattym as cummal rish. Tra honnick ny shiolteryyn dy row yn lhong ayns gaue jeh ve callit ren ad geamagh gys ny jeeyn oc dy cooney lhieu as cheau ad yn chooid as yn lhong. Hooar ad Jonah ny chadley as dooyrt ad rish “[Jean] girree as geamagh er dty yee”, nagh jeanagh ad ooilley çherraghtyn. Ny-yeih, cha ren yn sterrym goaill shee.","However, in a short time God condemned him for his insorbordination, for when they were out on the sea a storm suddenly rose up and persisted. When the sailors saw that the ship was in danger of being lost, they called to their gods to help them and they threw the goods out of the ship. They found Jonah sleeping and they said to him “Rise and call on your god” so that they wouldn’t all persih. Nevertheless, the storm didn’t die down.","Agh ren Jee ayns tra gherryd deyrey eh son y veevialys, son tra va’d mooie er yn cheayn ren sterrym troggal seose doletattym as cummal rish. Tra honnick ny shiolteryyn dy row yn lhong ayn gaue jeh ve callyt ren ad geamagh gys ny jeeyn ock dy cooinney lieu as cheau ad yn chooid as yn lhong. hooar ad Jonah ny chadley as dooyrt ad rish girree as geamagh er y Yee. Nagh jeanagh ad ooilley charraghtyn ny-yeih cha ren yn sterrym ghoaill shee, ",
"     Ghow ad ayns laue dy hilgey lottyn dy voddagh ad gheddyn magh quoi va’n er oolee va yn oyr jeh cur lesh yn stroieltys shoh orroo. as ren yn lot tuittym er Jonah. Honnick ee dy row cairys Yee er vertyn er ren eh ghoaill rish e oiljyn nagh row er ve bialagh da ghoo Yee. Ren eh yeerree er ny shioalteyryn dy cheau eh harrish boayrd, and eisht dy jinnagh yn sterrym goaill shee, agh va’d lhiastey dy yannoo shen. ","They decided to cast lots so that they could find out who was the guilty one that was the cause of bringing this destruction upon them, and the lot fell on Jonah. He saw that God’s justice had overtaken him, he accepted his faults,; that he hadn’t been obedient to God’s word. He requested the sailors to throw him overboard and that then the storm would ease up, but, they were reluctant to do that.","ghow ad ayns laue dy hilgey lootyn dy voddagh ad gheddyn magh quoi va’n er oolee va yn oyr jeh cur lesh yn shoieltys shoh orroo. as ren yn loat tuittym er Jonah, honnick e dy row cairys Yee er vertyn er ren eh ghoaill rish y oyljyn nagh row er ve bialagh da ghoo Yee. ren eh yeerree er ny shioalteeryn dy cheau eh harrish booayrt. As esht dy jeanagh yn sterym ghoaill shee agh va’d lhastey dy yannoo shen ",
"      Ny yeih ren-ad cheau eh ayns yn cheayn, as ren yn sterrym goaill shee çheleeragh as va’n aarkey feer chuine.","Nevertheless, they threw him in the sea, the storm eased up straight away, and the ocean was very calm.","ny yeih ren-ad cheau eh ayns yn cheayn, as ren yn sterym ghoaill shee cheleeragh as va’n aarkey feer kuin ",
"     Ga dy row Jee taitnyssagh myr shoh, dy chur snieh er Jonah son e vee-vialys ny yeih, ayns mean briwnys ren eh cooinaghtyn er myghin. V’eh er kiaarail eeast mooar dy luggey seose Jonah as v’eh ayns bolg yn eeast three laa as three oie, lurg yn traa shen v’eh er ve ghoaill padjer gys Jee. Ren yn eeast tilgey magh eh er thalloo çhyrrym. Jonah, myr shoh livreyit ass e phryssoon bio, cha ren eh ny sodjey shassoo magh noi goo yn Çhiarn. Hie eh roish dy syragh gys Nineveh. As tra ve er gholl jurnaa laa stiagh ayns yn ardvalley, ren eh geamagh lesh ard chorraa. “Foast ayns kione daa eed laa as bee Nineveh er ny stroie.” Agh ghow cummaltee Nineveh rauee ec preacheil Yonah, as ren Jee spaarail yn ardvalley son ymmydee bleeantyn. Agh va Jonah feer chorree, son dy ren yn Çhiarn spaarail Nineveh as nagh row yn phadeyrys echey er ny chooilleeney. Ny-yeih, ta myghin Yee harrish ooilley e obbraghyn son t’eh taitnyssagh er myghin","Although God was happy about this, to vex Jonah for his disobedience nevertheless, in mid—judgement he remembered mercy. He had planned for a big fish to swallow up Jonah and he was in the stomach of the fish three days and three nights, after that he had been praying to God. The fish vomited him out on dry land. Jonah, so delivered out of his living prison, he no longer resisted the word of the Lord. He went on hurriedly to Nineveh. And when he had a day’s journey into the city, he called with a loud voice “Still within forty days Nineveh will be destroyed.” But the residents of Nineveh took the warning of Jonah’s preaching, and God spared the city for many years. But Jonah was very cross, because God spared Nineveh and his prophecy wasn’t fufilled. Nevertheless, God’s mercy is over all his works for he delights in mercy.","Gha dy row Jee taitnyssagh mor shoh dy chur sniee er Jonah son y veevialys, Ny yeih ayns mean briwnys ren eh cooinaghtyn er myghyn ve er coaraill yeest mooar dy luggey seose Jonah as ve ayns bolg yn eest three laa as three oie, lurh yn tra shen ve er ve ghoaill padjer gys Jee. Ren yn eest thilgey magh eh er thalloo chyrrym. Jonah mor shoh livreyt as y pryssoon bio, cha ren eh ny sodjey shassoo magh noi ghoo yn Çhiarn, hie eh rosh dy syragh gys Nineveh. As tra ve er gholl jurnaa laa stiagh ayns yn ardvalley, Ren eh geamagh lesh ard chorraa. Hoast ayns kione daa eed laa as bee Nineveh er ny stroie. Agh ghow commaltee Nineveh raue eck preecheill Yonah, As ren Jee spaaraill yn ardvalley son ymmydee bleintyn. Agh va Jonah feer chorree, son dy ren yn Chiarn sparrail Nineveh. As nagh row yn phadeerys ec eh er ny chooilleeney. Ny-yeih ta myghyn Yee harrish ooilley y obbraghyn son te taitnysagh er myghyn",
,,,
