Speaker,Manx,English,SubStart,SubEnd,Notes
WR,Nee mayd prowal eh hoshiaght dy akin kys ta shin goll er.,We'll try it first to see how we get on.,1,10,
DF,"Well, vel red erbee ayd's dy ghra, Juan?","Well, do you have anything to say, Juan?",11,14,
JG,Cha nel monney aym's dy ghra. Gow shiu er.,I don't have much to say. You go on.,13,16.6,
WC,"Cre ta'n ennym er yn red shoh, Illiam? Son freayll err, ...","What's the name of this thing, Illiam? For keeping err, ...",16,23,
DF,[?]Oddagh [?]mish goll er.,I could go on.,16,19,
WR,"Shenn err, shenn eairk, nagh vel?","An old err, an old horn, isn't it?",21.8,25.2,
WC,"Eairk, eairkyn ...","A horn, horns ...",25,26.3,
WR,Eairk.,A horn.,26,28,
WC,Son cur ...,For putting ...,27,29,
JG,Eairk booa.,A cow horn.,29,31,
DF,"Err, eairk [?]booa ...","Err, a cow horn.",31,35,
NM,"Shegin dou cur red ennagh er, son freayll shen ...","I have to put something on it, to keep that ...",31.7,36,
WR,"As c'red v'ad jannoo lesh shoh, Walter?","And what were they doing with this, Walter?",38,43,
WC,Hooar mee eh voish Ned ayns shen.,I got it from Ned there.,42,44,
WR,"Oh dy jarroo? C'raad t'eh er ve, Ned?","Oh indeed? Where has it been, Ned?",43,47,
NM,"V'eh red son cur, son dy cur smarrey ayn ...","It was a thing for putting, to put grease in ...",47,51,
WR,Oh dy jarroo?,Oh really?,50,52,
NM,"... son, son ny, ny, ny snaidyn, v'ad quaaley yn shiaull rish.","... for, for the, the, the needles, they were sewing the sail with.",51,58,
WR,Oh dy jarroo?,Oh really?,57,58,
NM,"Ta. Veagh ad, veagh ad er y, er y, er y [?]seet [?]agh mysh, myr shen.","Yes. They would, they would on the, on the, on the [?]seat [?]but about, like that.",58,65,
WR,"Oh she, ta mee toiggal, she, she. Lhieent lesh smarrey.","Oh yes, I understand, yes, yes. Filled with grease.",64,70,
WC,Smarrey ...,Grease ...,67.5,69,
NM,C'red?,What?,68.6,70,
WC,... muc v'eh?,... pig was it?,69,71,
NM,"Cha s'aym's nee, row eh smarrey muc ny dyn, v'eh smarrey jeh red ennagh ansh erbee!","I don't know if, if it was pig grease or not, it was grease of some sort anyway!",70,77,
DF,She.,Yes.,77,78,
WC,She.,Yes.,77,78,
NM,Agh shen v'eh.,But that's what is was.,78,81,
WC,"V'ad err, jannoo ymmyd jeh yn ...","They were err, using the ...",80.5,83,
NM,"Ren, ren fer cur shen dooys, ren eh, ren eh geddyn eh sheese er y traie.","A fellow gave that to me, he, he found it down on the beach.",81,88,
WR,Oh?,Oh?,88,89,
DF,"Ayns Purt le Moirrey, row eh?","In Port St. Mary, was it?",88,90,
NM,"As ren mee, ren mee cur lesh eh thie, as, as, as jiu ren mee cooinaghtyn ...","And I, I brought it home, and, and, and today I remembered ...",89.5,96,
WC,Ren.,Yes.,95.4,96,
NM,"... dy row Walter goll dys y, dys Doolish mairagh.","... that Walter was going to the, to Douglas tomorrow.",96,100,
DF,[?]Hie Hashtee.,The museum.,100,103,
NM,Yeah.,Yeah.,103,104,
WR,"Eairk booa t'eh, ta mee credjal.","It's a cow horn, I believe.",104,106.2,
NM,C'red?,What?,106,107,
WR,Eairk booa.,A cow horn.,106.6,108,
NM,"Cha s'-, cha s'aym's, foddee dy re.","I d- don't know, maybe so.",108,113,
WC,Mmm. T'ad jannoo ymmyd jeh ...,Mmm. They use ...,112,116,
NM,"C'red t'ou, c'red t'ou err, gyllagh rish?","What do you, what do you err, call it?",113,117.5,
WC,Eairk.,A horn.,117,118,
NM,"Eairk? She, she, shen eh.","A horn? Yes, yes, that's it.",118,120,
WR,She.,Yes.,118.6,119.5,
DF,Eairk booa.,A cow horn.,120,121.4,
NM,Eairk booa.,A cow horn.,121,122.3,
DF,Booa.,Cow.,122,123,
WC,[?]Feer [?]vie.,Very good.,121,123,
WR,Eairk booa.,A cow horn.,122.5,124,
NM,Foddee dy vel eh eairk ta- err ...,"Maybe it's a horn of a b-, err ...",123,126,
WC,Tarroo.,A bull.,125,126.3,
NM,Tarroo.,A bull.,126,127,
WR,"Foddee, foddee, foddee.","Maybe, maybe, maybe.",127,129,
DF,[?...] Vel eh?,Is it?,127,129,
NM,Eairk mooar ansh erbee.,A big horn anyway.,128.5,131,
DF,"T'eh jeeaghyn goll-rish eairk tarroo, eairk tarroo, nagh vel eh?","It looks like a bull horn, a bull horn, isn't it?",130,135,
