English,Manx,Manx Original,Notes
,BANGLANEYN,,
,Y,,
,"CHREDJUE CREESTEE,",,
,AS,,
,OARDAGHYN CRAUEE,,
,"AGGLISH HOSTYN,",,
,ER NYN SOIAGHEY MAGH,,
,LIORISH,,
,NY ARDASPICKYN AS NY ASPICKYN,,
,AS,,
,"OOILLEY NY SAGGYRTYN,",,
,AYNS,,
,"Y CHAGLYM COOIDJAGH OC, ER NY REAYLL AYNS",,
,"LUNNIN, AYNS Y VLEIN 1562,",,
,SON,,
,"SHAGHNEY  STREU  MYCHIONE  Y  CHREDJUE,",,
,AS SON,,
,SHICKYRAGHEY  CORDAIL  MYCHIONE,,
,,,
,CRAUEEAGHT FIRRINAGH.,,
,,,
,,,
,LUNNIN:,,
,"Prentit liorish Ellerton as Henderson, Johnson’s Court",,
,"SON YN PRAYER-BOOK AS HOMILY SOCIETY,",,
,"134, SALISBURY SQUARE.",,
,1822,,
Articles of Religion,BANGLANEYN CREDJUE AGGLISH HOSTYN,,
"Agreed upon by the Archbishops and Bishops of both Provinces, and the whole Clergy, in the Convocation holden at London in the year 1562, for the avoiding of Diversities of Opinions, and for the establishing of Consent touching True Religion.","Er ny chordail orroo liorish ny Ardaspickyn as Aspickyn jeh dagh Province, as ooilley ny Saggyrtyn ayns y Slane Chagglym-cooidjagh oc er ny reayll ayns Lunnin ayns y vlein 1562, son scughey caghlaaghyn smooniaght mychione y Chredjue, as son shickyraghey cordail mychione Credjue firrinagh. ",,
"Reprinted by His Majesty’s Commandment, with his Royal Declaration prefixed thereunto.","Prentit reesht liorish sarey yn Ree, lesh yn slattys reeoil echey soit roish.",,
,,,
HIS MAJESTY’S DECLARATION,SLATTYS Y REE.,,
