Manx,English,
GOW JEE TASTY!,TAKE NOTICE,
Tan cheid ,THE FIRST,
LHAIH BLEEANAGH ,ANNUAL MANX ,
GHAELKAGH ,READING,
Dy ve freilt ayns ,Is to be held in ,
HALLEY MR C. VYLEWOIRREY. ,MR C. MORRISON’S HALL.,
"Port ny-Henjey, January 3, 1872, ","Peel, January 3, 1872,",
"CARVALYN ER NY CHIAULLEEAGHT, ",CARVALS SUNG,
Liorish shartanse dy Vanninee.,By several Manx people.,
Dy ghoaill toshiaght ec lieh oor lurg shey er-y-chlag sy’n astyr. Eeck entreilys ny ard stuill Shey Pingyn; ny stuill sinshley Three Pingyn. Yn cheet stiagh dy ve currit gys cooish ghiastyllys ennagh bentyn gys yn valley.,To begin at half-past six o’clock in the evening. High seat entry payment six pence; the lower seats three pence. The income to be given to a some charitable purpose concerning the town.,
"Mr Harry Cubbon, Laxey, dy ghoaill yn stoyl drommey.    ",,
,"Mr Harry Cubbon, Laxey, to take the chair.",
O R D Y R ,ORDER,
YN LHAIH GAELKAGH ,THE MANX READING,
"Ec PORT NY H ENJEY, ",AT PEEL,
"ER YN TRASS LAA JEH JANUARY, 1872, ","ON THE THIRD DAY OF JANUARY, 1872,",
Goaill toshshiaght ec lieh oor lurg shey fastyr. ,Starting and half past six pm.,
Mr ILLIAM QUILLIAM  … Pargys Caillyt. ,Mr ILLIAM QUILLIAM  … Pargys Caillit,
Mr JUAN COTTAIRE  … Scriptyr. ,Mr JUAN COTTIER  … Scripture,
Mr JUAN CANNELL as Mr C. KARAGHER … Carval. ,Mr JUAN CANNELL & Mr C. FARAGHER … Carval. ,
Mr JUAN QUIRK … Arrane baatyn Ghoolish. ,Mr JUAN QUIRK … Song of the Douglas Boats.,
Mr JUAN DAWSON … Aarey Yacob. ,Mr JUAN DAWSON … Jacob’s Ladder. ,
Mr ILLIAM CANNON  … Carval. ,Mr ILLIAM CANNON  … Carval. ,
Mr THOMASE KAYE as Mrs COOLE … Illiam as Ysbal. ,Mr THOMASE KAYE as Mrs COOLE … Illiam and Ysbal. ,
"Mr JUAN BOYDE, E VEN, AS E INNEEN … Arrane Ollick. ","Mr JUAN BOYDE, HIS WIFE, AND HIS DAUGHTER … Christmas Song. ",
