Speaker,Manx,English,SubStart,SubEnd,Notes
LQ,... v’ad goll-mygeayrt ny-cheerey?,... they were going around the countryside?,17.8,19.9,
RT,She.,Aye.,20,21,
LQ,Er y çhenn sleih?,On (visiting) the old people?,20,21.8,
RT,Shen eh.,That’s it.,22,23,
LQ,"Wahll, ta shoh skeeal beg my t’ou ... er ... va Benainshter Clague heose ayns Dhelby ...","Well, here is a short story, if you ... er ... there was a Mrs. Clague up in Dalby ...",21.8,28.3,
RT,"Dhelby? Aw, ...","Dalby? Oh, ...",28.3,29.5,
LQ,"As v’eh roie reaghit aym’s son, son Danaher, va shen yn dooinney haink veih Nerin, va jannoo yn recoyrtys, son Beealydys Erin, Son y Folklife Sur... son y Folklife Commission, ayns Nerin.","And it was prearranged by me for, for Danaher, that was the man who came from Ireland, who was doing the recording, for The Irish Folklore Commission, For the Folklife Surv... for the Folklife Commission, in Ireland.",29.8,51.79,
LQ,"As hie mee stiagh ayn as va Benainshter Clague ayns gien feer vie, as va ny skeealyn taaley magh ass-jee, dyn scuirr.","And I went in and Mrs. Clague was in a very good mood, and the stories were flowing forth from her, nonstop.",51.8,65.2,
LQ,"As hie mee hene as Danaher[1] as cooid elley jeusyn seose gys y thie, as v’ee goll er er dy mie son mysh daa vinnid ny red ennagh, as va ny, va ny skeealyn as ny focklyn taaley magh ass-jee dy, dy yindyssagh, as eisht scuirr, cha row veg, cha daink fockle, as ...","And myself and Danaher and some others of them went up to the house, and she was going well for about two minutes or something, and the, and the stories and words were flowing forth from her, wonderfully, and then stopped, wasn’t anything, no word came, and ...",65.21,90.49,[1] https://en.wikipedia.org/wiki/Kevin_Danaher
RT,"Aw, cre’n fa?","Oh, why?",90.5,92.1,
LQ,"As, jus’, cha row, as v’ee corree ree-hene, Benainshter Clague, as dooyrt eh ...","And, just, wasn’t, and she was cross with herself, Mrs. Clague, and she said ...",90,99.74,
LQ,As hie ooilley yn Gaelg magh ass yn kione eck.,And all the Manx went out of her head.,99.75,103.67,
LQ,"As ... v’ee ... cha dooar shin veg elley, agh hooar ... as va mee gra ...","And ... she was ... we didn’t get anything else, but got ... and I was saying ....",103.7,111.69,
LQ,"“Aw, gow my leshtal,” va mee gra rish Danaher, as dooyrt eshyn, “N’abbyr un ’ockle. Ta shen cadjin dy liooar. Ta shin braew clightit rish lhied as shen. Ny jean boirey. T’eh kiart dy liooar.”","“Oh, please excuse me” I was saying to Danaher, and he said, “Don’t mention it. That is pretty standard. We are well used to that sort of thing. Don’t worry. It’s fine.”",111.51,125.67,
LQ,As va shen yn jerrey jeh recoyrtyssyn Benainshter Clague dou ... son va ish feer vie.,And that was the end of the recordings of Mrs. Clague for me ... because she was very good.,125.8,135.2,
LQ,"As va’n mac eck, as v’eh goll dys scoill ayns Forsdal, as va ram Gaelg echey, as cha row, cha row Baarle tra hie eh stiagh ayn hoshiaght, v’eh ooilliu Gaelg, va loayrt, va goll er loayrt eddyr yn jishag echeysyn as yn vummig.","And she had a son, and he was going to school in Foxdale, and he had a lot of Manx, and there wasn’t (didn’t know), there wasn’t (didn’t know) English when he went in (it) at first, it was all Manx that was spoken between his dad and his mum.",135.4,160.04,
LQ,"Agh, tra hooar yn jishag baase cha row mummig cur cha wheesh Gaelg da, agh eisht va ny, va ny fir-ynsee, ny fir-ynsee, v’ad soie er[2] ...","But, when his dad died his mum wasn’t giving him as much Manx, but then the teachers were, were, they were manhandling him.",160.041,174.83,"[2] soie er] ‘setting on’. Perhaps [soieaghey er] ‘attacking’,"
RT,Soie er?,Manhandling him? ,175,176.3,
