Manx,English,Diplomatic
Skeealyn Ferrish,Fairy Stories.,Skeealyn Fairish
"     Va oayl aym keayrt er shenn ghooinney va mennick fakin ny ferrishyn as v’eh ginsh dou ymmydee keayrtyn dy beagh eh meeiteil ad er yn raad thie, tra veagh eh çheet ayns meanagh yn oie, veagh keeadyn jeu ayn dooyrt eh, inneenyn beggey mysh wheesh as cloan veagh goll toshiaght dy hooyl as veagh ad kiaulleeagh lesh arrane beg, agh v’eh jeeaghyn dy row ad giare, so she ny un focklyn v’ad harrish as harrish. ","     I once knew an old man well who was often seeing the fairies, and he used to tell me many times that he would meet them on the way home. When he’d be coming in the middle of the night, there would be hundreds of them, he said, little girls about as big as children would be starting to walk and they’d be singing with a little song, but it seems that they were short so they were the same words over and over. ","Va oayl aym cheayrt er shen ghoinney va mennick fakin ny fairishyn as ve ginsh dow ymmydee cheayrtyn dy bagh eh meetteil ad er yn raad thie, tra vagh eh cheet ayns meanagh yn oie, vagh keeadyn jiu ayn doyrt eh, Inneenyn beggey mush wheesh as chloan vagh ghool toshaght dy hooyl as vagh ad chiaulleagh lesh arrane beg agh ve jeaghyn dy row ad gayre so she ny un focklyn vad harrish as harrish "
"     Veagh ad çheet sheese jeh’n clieu as shooyl marish gys veagh çheet gys yn raad va goll lesh ny skortyn. Eisht, va’d goaill yn raad shen as faagail eh. V’eh ginsh dou un cheayrt yn arrane v’oc. ","     They’d be coming down off the mountain and walking with him until they’d come to road that was going towards the chasms. Then, they’d take that road and leave him. He was telling me their song one time;",vagh ad cheet sheese jeh yn chlieu as shooyl marish gys vagh cheet gys yn raad va gholl lesh ny scoryn. Esht va’d ghoaill yn raad shen as faigail eh. Ve ginsh dow un cheayrt yn arrane vock. 
“The battle is o’er Mary. ,“The battle is o’er Mary. ,The battle is o’er Mary 
One Mary one.,One Mary one.,"one mary one, "
We have met to part no more Mary. ,We have met to part no more mary. ,We have met to part nomore mary 
One Mary one.”,One Mary one.”,one mary one 
     Myr shen t’eh jeeaghyn nagh row ad feer vie dy yannoo arrane.    ,"     So, it seems that they weren’t very good at singing.",Mor shen te jeaghyn nagh row ad feer vie dy yannoo arrane. 
"     T’eh er ve ginsh dou ymmydee keayrtyn mysh un oie v’eh çheet thie voish Purt Yiarn, mysh y vean oie, as tra haink eh gys Crosh Moylley Mooar, honnick eh chaglym mooar dy ’leih, as tra ren eh roshtyn ad she sheshaght vooar dy ferrishyn v’ayn, goll gys çhibbyr ny gabbyl dy akin yindyssyn va dy ve fakinit yn oie shen. As ren ad cuirrey eh dy gholl mâroo dy akin ny reddyn yindysagh va dy ve er ny hoilshagh daue er Cronk Veayl er gerrey da chibbyr ny gabbyl son dy row reddyn joaree as mirrilagh dy ve soit seose, son yindys da dy chooilley unnane va booiagh çheet dy akin ad. ","     I have been told many times about one night he was coming home from Port Erin, about midnight, and when he came to Crosh Moylley Mooar, he saw a bit gathering of people, and when he reached them it was a great army of fairies, going to ‘the supper of the horses’ to see wonders that were to be seen that night. And they invited him to go with them to see the wonderful things that were to be shown to them on Cronk Veayl near to Çhibbyr-ny-Gabbyl (The horses’ well), because strange and miraculous things were to be set up, for the wonder of all who were pleased to come to see them. ","Te er ve ginsh do ymmydee cheayrtyn mush un oie ve cheet thie voish Purt yarn, mushy vean oie, as tra haink eh gys crosh molley mooar, honnick eh chaglym mooar dy sleih, as tra ren eh roshtyn ad she sheshaght mooar dy fairishyn va ayn, gholl gys shibbyr ny gabble dy akin yindysen va dy ve fakinyt yn oie shen. As ren ad quirrey eh dy gholl maaroo dy akin ny redden yindysagh va dy ve er ny hooiljagh daue er cronk Vule ergerrey d chibbyr ny gabble son dy row reddyn joaree as mirrylagh dy ve soit sose, son yindys da dy chooilley unnane, va boiagh cheet dy akin ad. "
"     Myr shen, ghow eh cree as hie eh marish yn çheshaght gys yn lhag raad va ny yindysyn, as haink ad gys thie feer wooar lesh earroo mooar dy hamyryn ayn, as va dy chooilley hamyr lane dy chaghlaagyn dy obbraghyn. ","     So, he took heart and he went with the company to the hollow where the wonders were, and they came to a very big house with a large number of rooms in it, and every room was full of varieties of works. ","Mor shen ghow eh chree as hie eh marish yn cheshaght gys yn lhag raad va ny yindysyn as haink ad gys thie feer wooar lesh erroo mooar dy hemyren ayn, as va dy chooilley hemyr lane dy lane dy caghlagyn dy obbraghyn. "
"     V’eh er ve ayns Divlyn as Liverpool dooyrt eh, agh cha row ny yindysyn honnick eh ayns ny ard valjyn shen feeu dy ve coontit ayns chosolagh jeh obbraghyn schleioil ny ferrishyn. Cha vaik eh rieau leid ny reddyn aalin er yn thalloo Agh roish ve er vakin yn derrey leih  jeu dooyrt ad rish dy row eh traa da dy gholl gys e chummal son dy row yn laa brishey, as dy row ny deiney as mraane seyr mysh goll gys oie elley, as dy voddagh eh çheet reesht dy akin ny yindysyn, nagh row eh er vakin yn oie shoh son va ymmydee shamyryn nagh row eh er vakin. ","     He had been in Dublin and Liverpool, he said, but the wonders he saw in those cities weren’t worthy to be considered in comparison with the works of art of the fairies. He had never seen such beautiful things on this Earth, but before he’d seen the half of them they told him it was time for him to go to his home because the day was dawing, and that the ladies and gentlemen had already started to leave until another night, and that he could come again to see the wonders that he hadn’t seen that night, for there were many rooms that he hadn’t seen. ","Va er ve ayn Diblyn as Liverpool dooyrt eh, agh cha row ny yindysyn honnick eh ayns ny ard valjyn shen feau dy ve coontyt ayns chosolagh jeh obbraghyn shleiooil ny fearishyn. cha vaik e rieu lheid ny reddyn aalin er yn thalloo Agh rosh ve er vakin yn derrey lhea jiu, Dooyrt ad rish, dy row eh tra da dy gholl gys y cummal son dy row yn laa brishey. As dy row ny dhoinney as mraane seyr mush gholl gys oie elley. As dy voddagh eh cheet reesht dy akin ny yindysyn, nagh row eh er vakin yn oie shoh son va ymmydee shemyren nagh row eh er vakin. "
