English,Manx,Notes
"     Not far from Dalby, Billy beg and Tom beg, two hunchback cobblers, lived together on a lonely farm.",     Ta Billy beg as Thom beg daa ghreasee cruittagh va baghey cooidjagh ayns statehallooin ny lomarcan er-gerrey dys Delbee.,
"Billy beg was sharper and cleverer than Tom beg, who was always at his command.","Ya Billy beg ny s’tastee as ny s’croutee na Thom beg, as ren eh freayll eh fo e smaght. ",
"One day Billy beg gave Tom beg a staff, and quoth he :— ","Laa dy row hug Billy beg lorg da Thom beg, as dooyrt eh rish :",
"“Tom beg, go to the mountain and fetch home the white sheep.”","“Hom beg, gow magh dys y clieau as curlhiat yn cheyrrey vane thie.”",
"Tom beg took the staff and went to the mountain, but he could not find the white sheep.",Ghow Thom beg yn lorg ayns e laue as hie eh dys y clieau agh cha noddagh eh feddyn yn cheyrrey vane. ,
,,
"At last, when he was far from home, and dusk was coming on, he began to think that he had best go back.","Fy-yerrey, tra v'eh foddey voish y thie as keeiragh-ny-hoie cheet er, ren eh smooinaghtyn rish-hene bare da gholl thie. ",
"The night was fine, and stars and a small crescent moon were in the sky.","Va oie kiune ayn, as rollageyn as eayst corran keyl ayns yn aer. ",
No sound was to be heard but the curlew’s sharp whistle.,Cha row sheean ry-chlashtlyn agh feddanagh geyre y chrottag.,
"Tom was hastening home, and had almost reached Glen Rushen when a grey mist gathered and he lost his way.",Va Thom jannoo siyr dy gheddyn thie as v'eh bunnys ec Glion Rushen tra ren kay lheeah chymsagh as hie eh er shaghryn ass y chassan. ,
,,
"But it was not long before the mist cleared, and Tom beg found himself in a green glen such as he had never seen before, though he thought he knew every glen within five miles of him, for he was born and reared in the neighbourhood.","Agh ayns traa gerrid hrog yn kay seose as hooar Thom beg eh-hene ayns glion glass lheid as nagh naik eh rieau roie, ga heill eh dy row fys echey er dy-chooilley ghlion cheu-sthie jeh queig meeilaghyn, son v'eh ruggit as troggit ayns y naboonys.",
"He was marvelling, and wondering where he could be, when he heard a far-away sound drawing nearer to him.","V’eh goaill yindys mooar rish-hene cre'n voayl v'eh ayn, tra chluin eh feiyr foddey veih as myr tayrn ny sniessey da. ",
"“Ah,” said he to himself, “there are more than myself afoot on the mountains to-night; I shall have company.","“Aw,” dooyrt eh rish-hene, “Ta ny smoo na mee-hene er-y-chosh er ny sleityn noght. Yioyms sheshaght.”",
     The sound grew louder.,Ny syrjey as ny syrjey va’n feiyr gaase. ,
"First it was like the humming of bees, then like the rushing of Glen Meay waterfall, and last it was like the marching and the murmur of a crowd. It was the fairy host.","Hoshiaght cheayll eh myr dy beagh eh cronnane shellanyn eisht myr feiyr spooyt mooar ayns Glion Meay, as ec y jerrey myr sheean troailt ymmodee sleih. She’n cheshaght-chaggee mooinjer-veggey v’ayn. ",
"All of a sudden the glen was full of fine horses and of little people riding on them, with the lights on their red caps shining like the stars above and making the night as bright as day.","Chelleeragh va’n glion lung-lane jeh cabbil mooarey as jeh sleih veggey markiagh orroo, lesh soilshaghyn er nyn mayrnyn jiargey londyrnee myr whilleen rollageyn er-nynskyn as jannoo laa gial jeh'n oie.",
