Manx,English,Notes
CARVAL ,The Carval Of Saint Paul,
YN,,
NOO PAUL,,
Metreit liorish JOHN MOORE,Composed by John Moore,
Jeh Ball Camaish Skyllyan Dreas.,"Of Ballacamaish, Andreas Parish.",
Dooglas[1],Douglas,[1] Dooglas] a handwritten addition.
DOULISH:,,
Prentit ’sy Vlein 1783,Printed in the Year 1783,
CARVEL ,The Carval of Saint Paul[2],[2] CARVEL] [CARVAL]
YN,,
NOO PAUL.,,
I.,I.,
"MY vrair Deir graihagh tar ayns Shee,","My dear brother[3] come in Peace,","[3] vrair Deir] ‘dear brother’ [vraar dayr] in Lioar Skillicorn 1837, [vraar deyr] in Mona’s Herald 05.30.1888, & Moore 1891. "
Ayns She lhig Doin mettail;,In Peace let us meet;,
"As earlys ghoall veih Prince y Chee,","And take an earnest[4] from the Prince of Peace,",[4] earnest] noun ‘1: something of value given by a buyer to a seller to bind a bargain 2: a token of what is to come : PLEDGE’ Miriam Webster Dictionary (online) 2023.
Quoie haink Jeu Sliagh sy Theihll.,Who came to you into the world.,
II.,II.,
"Quoie hug fo Choish Poar Prince yn Ear,","Who subdued the power of the Prince of the East,[5]","[5] Prince of the East] a euphonism for ‘Lucifer’. [Quoie hug foe Chosh poo^{a}r prince yn Naar] in Lioar Skillicorn 1837, [vraar deyr] in Mona’s Herald 05.30.1888, & Moore 1891. "
As veeney Currage Saul;,And he tamed the courage of Saul;[6],"[6] As veeney Currage Saul] ‘and tamed Saul’s anger’, [As veeinnee Corrage Saul] in Lioar Skillicorn 1837, [As veeinee corree Saul] in Mona’s Herald 05.30.1888, & Moore 1891. "
"My vrair Deir Graihagh tarayns She,",My dear loving brother come in Peace[7],"[7] My vrair Deir Graihagh tarayns She,] [My Vraar deir graiagh tar ayns Shee] in Lioar Skillicorn 1837, [My vraar deyr graihagh, tar ayns shee;] in Mona’s Herald 05.30.1888, & Moore 1891. "
Yn earlys lhig doin Ghoaill.,Let us take the earnest.,
,,
III.,III.,
Yn earlys shen my nee maid Ghoaill.,"That earnest that if we take,",
Cha vod y Seihll ghoaill voin;,The world cannot take from us;,
