English,English Original,Manx,Notes,Page,Page1836,Page70th,Manx Original
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[The Sinner’s Friend],,,,,,,
,,,,,,,
,,,,,,,
,,THE SINNERS FRIEND.,,,,,
,,(Manx.),,,,,
,,,,,,,
,,,,,,,
,,CARREY YN PHECCAGH.,,,,,
,,,,,,,
,,,,,,,
[by John Vine Hall],,,,,,,
,,,,,,,
,,,,,,,
,,____________,,,,,
,,,,,,,
"[First Edition Maidstone,1821.]",,"London,—Sold by DAVIS and Porter,",,,,,
,,"104, Sloane Street.",,,,,
"[This edition, 1836.]",,,,,,,
,,"[June 14th, 1838[1]]","[1] The date of the Manx edition is recorded in The Author of “The Sinner’s Friend.” An Autobiography [of John Vine Hall], edited by Newman Hall, LL. B., London: James Nisbet & Co, 1865, p. 195.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"[eds: This loving and faithful Monitor has been translated into six languages and now it is intended to translate it into six more languages. Three hundred thousands of them have already been sent out throughout the world, and pious people of every kind—high and low, poor and rich, ministers of the Gospel as well as others—have striven to disseminate it more and more; because a special measure of good has followed it under the blessing of God on so humble a means to waken careless and thoughtless people to an awareness of their sinful state. Drunkards have become sober, the profane pure, and unbelievers have gained a lively faith through this little book which is suitable for the state of every kind of people, and which is by the blessing of God every day more desired.",,"Ta’n Fer-raauee graihagh as firrinagh shoh er ve chyndaait gys shey glaraghyn as t’eh nish smooinit er dy hyndaa eh gys shey glaraghyn elley. Ta tree cheead thousaneyn jeu hannah currit magh fud y theihll, as ta sleih crauee jeh dy chooilley horch—ard as injil, boght as berchagh, shirveishee yn Sushtal chammah as sleih elley—er streeu dy skeaylley ee ny smoo as ny smoo; er yn oyr dy vel towse er-lheh dy vie er n’eiyrt jee fo bannaght Yee er saase cha imlee dy ghoostey sleih lhag-kiaralagh as gyn smooinaght gys ennaghtyn jeh ny stayd peccoil. Ta meshtallee er jeet dy ve sheelt, yn vooinjer rouanagh glen, as mee-chredjuee er chosney credjue bioal trooid yn lioar veg shoh ta cooie gys stayd dy chooilley cheint dy leih, as ta liorish bannaght Yee, gagh-laa ny smoo er ny yeearree.",,,,,
"A kind neighbour went to visit a poor woman who was suffering from the pains of the body and a troubled mind, and he gave her this little book (The Sinner’s Friend): it was the balm she stood in need of—she died a short time later, pressing the little book to her breast until she departed.",,"Hie naboo dooie dy yeeaghyn ben voght va surranse fo pianyn y challin as seaghyn aigney, as hug eh jee yn lioar veg shoh (Carrey yn Pheccagh:) v’eh yn balm v’ee shassoo ayns feme jeh—hooar ee baase traa gerrit ny lurg shen, chionney yn lioar veg gys e oghrish derrey ren ee paartail.",,,,,
The same little book is now published anew with an earnest prayer and humble hope that the heavenly blessing will shine on it now as it has done in the past.],,Ta’n lioar veg cheddin nish currit magh ass y noa lesh padjer jeean as treishteil imlee dy jean yn bannaght flaunyssagh soilshean urree nish myr t’eh er n’yannoo ’sy traa t’er n’gholl shaghey.,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
SINNER!,,PHECCAGH!,,1,1,1,
