Manx,English,Diplomatic
,,Padjer ayns gaelic
"jeh dy chooilley vyghin, ","Father of all mercies, ",Ayr jeh dy chooilley vighyn. 
"Çhiarn Niau as thalloo, ","Lord of Heaven and Earth, ",Chiarn Niau as thalloo 
Cur dy Spyrryd ayns my chree ,"Put your Spirit in my heart,",cur dy Spyrrys ayns my chree 
Dy ynsagh mee dy chur enney ort ,And teach me to recognise you ,dy ynsagh mee dy cur enney ort 
"As dy cur graih dhyt, dy voddym çheet lesh dunnalys ","And to love you so that I may come with courage, ",as dy cur graih dhyt dy voddym cheet lesh dunnalys 
Gys stoyl reeoil Dty graase flaunysagh. ,"To the royal seat of heavenly grace, ",gys stoal reeoil dy graase flaunysagh 
Dy voddym cosney myghyn as graase dy cooney lhiam ,That I may gain mercy and grace to help me ,Dy voddym costney myghyn as graase dy cooney lhiam 
Ayns dy chooilley hraa dy feme. ,In every time of need. ,ayns dy chooilley chra dy feme 
,,
Niee my annym ayns fuill Chreest ,Wash my soul in the blood of Christ ,Nhiee my annym ayns fuill Chreest 
Ta glenney voish dy chooilley peccah.,That cleans away every sin. ,"ta glenney voish dy chooilley peccah, "
"O, gow jee’m ooilley ny fritlagyn loau jeh my ynrickys hene, ","O, take from me all the rotten rags of my own righteousness, ","O gow jee’m ooilley ny fritlagyn loau jeh my ynricys hene, "
As coamree mee lesh yn gharmad aalin jeh ynrikys Chreest. ,And clothe me with the beautiful garment of Christ’s righteousness. ,As coamree mee lesh yn garmad aalin jeh ynrikys Chreest 
,,
Ta mee goaill rish dy vel mee cretoor peccoil ,"I accept that I am a sinful creature, ","Ta mee ghoaill rish, dy vel mee cretoor peccoil "
Ny-yeih T’ou er ghra rooin ayns Dty ghoo ,"Nevertheless, you have said to us in your Word ",ny-yeih T’ou er gra roon ayns dy goo 
My nee mayd goaill rish nyn beccaghyn ,That if we admit our sins ,my nee mayd ghoaill rish nyn beccaghyn 
Dy vel Uss firrinagh as cairagh ,"That you are true and just, ","Dy vel Uss firrinagh as cairagh, "
Dy leih dooin nyn beccaghyn ,To forgive us our sins ,dy lieh doon nyn beccaghyn 
As dy ghlenney shin voish dy chooilley neuynrickys. ,And to cleanse us from all unrighteousness. ,"as dy ghlenney shin voish dy chooilley neuynrickys, "
"O, Hiarn jean mish y yannoo my cretoor noa ayns Christ, ",O Lord make me a new creature in Christ ,O Hiarn jean mish y yannoo my cretoor noa ayns Christ 
Son my saillt foddee Oo mish y yannoo glen ,"For if it pleases you, you may make me clean,",son my saiylt foddee Oo mish y yannoo glen 
