English,Manx,Notes
"Published by Yn Cheshaght Ghailckagh, 2006 with help from the Manx Heritage Foundation ","Er ny chur magh liorish Yn Cheshaght Ghailckagh, 2006 lesh cooney veih Undinys Eiraght Vannin ",
ISBN 1-870029-33-X ,ISBN 1-870029-33-X ,
Editor: Chris Sheard ,,
Printed by Quine and Cubbon Ltd.],,
YN CHESHAGHT GHAILCKAGH ,YN CHESHAGHT GHAILCKAGH ,
Thie ny Gaelgey ,Thie ny Gaelgey ,
St Judes,Balley Keeill Yude ,
Ramsey,Rhumsaa ,
Isle of Man ,Mannin ,
IM7 2EW ,IM7 2EW ,
MANX HERITAGE FOUNDATION ,,
"PO Box 1986, Douglas, Isle of Man, IM99 1SR ",,
ALICE’S ADVENTURES IN WONDERLAND,EALISH AYNS ,
,CHEER ,
,NY YINDYSSYN ,
LEWIS CARROLL ,LEWIS CARROLL ,
ILUSTRATIONS PRODUCED BY ERIC KINCAID,JALLOOYN JEANT EC ,
,ERIC KINCAID ,
Manx translation: Brian Stowell ,CHYNDAAIT EC BRIAN STOWELL ,
"YN CHESHAGHT GHAILCKAGH, 2006",YN CHESHAGHT GHAILCKAGH ,
,2006 ,
Copyright for the illustrations belongs to Brimax Books.,S'lesh Brimax Books kied-choipal ny jallooyn ,
Much thanks to Bonnier Publishing for the their permission to use them for free.,Bwooise mooar da Bonnier Publishing son y chied oc dy yannoo ymmyd jeu nastee ,
[image],[jalloo],
Alice Pleasance Liddell ,Alice Pleasance Liddell ,
Foreword,Roie-raa ,
Lewis Carroll was the pen-name of mathematics lecturer Charles Dodgson when he wrote he wrote his nonsense rhymes an books. ,She Lewis Carroll yn ennym screeuee v’ec leaghteyr maddaght Charles Dodgson tra screeu eh ny draneyn as lioaryn meecheeayllagh echey. ,
"He was born the twenty-seventh of January in the year 1832 and he received his education at Richmond School, Rugby School and Christ Church College, Oxford, where he taught mathematics for twenty-six years, until 1881.","V’eh ruggit yn 27oo laa Jerrey Geuree sy vlein 1832 as hooar eh yn edjaghys echey ec Scoill Richmond, Scoill Rugby as Colleish Keeill Chreest, Oxford, raad v’eh gynsaghey maddaght rish 26 bleeaney derrey 1881. ",
"The Alice’s Adventures in Wonderland is his most famous book, written by him especially to entertain the daughter of the Dean of Christ Church College.",She yn lioar smoo ard-ghooagh echey Contoyrtyssyn Ealish ayns Cheer ny Yindyssyn va scruit echey er lheh dy chur taitnys da neen Dean Colleish Keeill Chreest.. ,
Her name was Alice Pleasance Liddell. ,She Alice Pleasance Liddell yn ennym v’urree.,
The book was first published in 1865 and since then it has become one of the most famous and  beloved children’s stories that has ever been written.,Va’n lioar er ny chur magh hoshiaght ayns 1865 as er dyn traa shen t’eh er jeet dy ve nane jeh ny skeealyn clienney smoo ennymoil as smoo ennoil va rieau scruit. ,
Lewis Caroll was a keean photographer too and he took many photos of the Liddell family. ,Va Lewis Caroll ny chasleyder-sollys jeean neesht as ghow eh ymmodee caslysyn jeh lught-thie Liddell. ,
"The picture above of Alice Liddell, it was taken by him in the year 1859.","Yn caslys heose jeh Alice Liddell, v’eh goit echey sy vlein 1859. ",
"In Lewis Carroll’s story, Ealish follows the White Rabbit down the rabbit-hole into an extremely strange wonderland where creatures hold endless tea-parties, dance the quadrille, drive and play the most peculiar game of croquet that there has ever been.","Ayns skeeal Lewis Carroll, ta Ealish geiyrt er y Chonning Vane sheese y towl-conning stiagh ayns cheer ny yindyssyn whaagh erskyn towse raad ta cretooryn cummal giensyn-tey dyn jerrey, daunsey yn ""quadrille,-gimmagh as cloie yn gamman s’quaaghey dy chroquet ta rieau er ve ayn. ",
The stories about Alice’s adventures have been told again and again to generations of children. ,Ta ny skeealyn mychione contoyrtyssyn Ealish er n’goll er insh reesht as reesht da sheelogheyn dy phaitchyn. ,
This time the artist Eric Kincaid has gone back to real picture of Alice and with his particular illustrative style he has created new images for this classic children’s book that seem fresh and lively.,Yn cheayrt shoh ta’n jallooder Eric Kincaid er n’goll er ash dys caslys yn Ealish firrinagh as lesh yn aght jallooaghey er lheh echey t’eh er chroo jallooyn noa son y lioar clienney classicagh shoh ta jeeaghyn oor as bioyr. ,
"Alice’s stories are a sort of Everest for translators because of the abundance of play-words in it, especially the double-entendres (puns).","She sorch dy 'Everest' da çhyndaaderyn skeealyn Ealish kyndagh rish yn phalchid dy cloie-fockle t’ayn, er lheh ny raaghyn daa foyragh.",
"Nevertheless, the stories are available today in more than fifty tongues (languages) throughout the world, including now Manx, thanks to Brian Stowell.","Ny yei shoh, ta ny skeealyn ry gheddyn jiu ayns ny smoo na 50 chengaghyn feiy ny cruinney, goaill stiagh nish Y Ghaelg bwooise da Brian Stowell.",
"This Manx translation came out of a challenge that was given to Brian a few years ago, that Manx could not be used to translate such a difficult story.",Haink y chyndaa Gaelgagh shoh ass doolane va currit da Brian kuse dy vleeantyn er dy henney nagh voddagh Gaelg ve currit er lheid y skeeal cho doillee..,
That it is was fufilled so well by him is an example to us that Manx can to be used just as creatively and effectively as any other tongue in the hands of a capable Manx speaker.,Dy row eh cooilleenit cho mie echey ny hampleyr dooin dy vod Yn Ghaelg goll er ymmydey kiart cho crootagh as fondagh as chengey erbee elley ayns laueyn Gaelgeyr aghtal. ,
Thanks to Christ Church College Oxford for Alice’s picture.,"Bwooise da Colleish Keeill Chreest, Oxford son caslys Alice. ",
List of the Chapters,Rolley ny Cabdyllyn ,
Page Chapter,Duillag  Cabdyl  ,
1 Down The Rabbit-Hole,1 Sheese sy Towl-Conning,
2 The Pool of Tears,2 Y Dubbey dy Yeir ,
3 A Caucus Race and a long Tale,3 Ratch-kaakys as Skeeal Liauyr ,
4 The Rabbit sends in a little bill.,4 Ta’n Chonning Cur Stiagh Illiam Beg ,
5 Advice from a Caterpillar,5 Coyrle voish Praddag ,
6 Pig and Pepper,6 Muc as Pibbyr ,
7 A Mad Tea-Party,7 Giense-Tey Keoi ,
8 The Queen’s Croquet-Ground,8 Faaie-Croquet y Venrein ,
9 The Mock-Turtle’s Story,9 Skeeal y Far-Ligganagh Marrey,
10 The Lobster Quadrille,10 Y Quadrille-Gimmagh,
11 Who stole the Tarts?,11 Quoi Gheid ny Sooanyn,
12 Alice’s Evidence,12 Feanish Ealish,
Chapter 1,CABDYL I ,
Down The Rabbit-Hole,Sheese sy Towl-Conning ,
"     Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do. ",     Va Ealish cheet dy ve feer skee liorish soie marish e shuyr er y vroogh as veg eck ry-yannoo: ,
"Once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice, “without pictures or conversations?”","Keayrt ny ghaa v’ee er speeikey sy lioar va’n chuyr eck lhaih, agh cha row jallooyn ny co-loayrtyssyn ayn, “as cre’n feeuid t’ec lioar,” smooinee Ealish, “fegooish jallooyn ny co-loayrtyssyn?” ",
"     So she was considering in her own mind (as well as she could, for the day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.","     Er y hon shen v'ee sursmooinaght, syn aigney eck hene (chammah as v'ee abyl, er y fa dy row y laa cheh cur urree gennaghtyn feer chadlagh as bolvaneagh), beagh y taitnys jeh jannoo geuley-shee feeu y boirey jeh troggal urree as pluggey ny neayninyn, tra, dy doaltattym, roie Conning Vane as sooillyn jiarg-bane echey faggys jee. ",
"     There was nothing so very remarkable in that, nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ","     Cha row shen feer chronnalagh; as cha smooinee Ealish dy row eh feer whaagh dy chlashtyn y Chonning gra rish hene, ",
“Oh dear! Oh,“Atreih! Atreih! Bee'm ro anmagh!”,
dear! I shall be too late!”,,
"(when she thought about it afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural)","(tra smooinee ee er shoh ny s’anmagh, woaill y smooinaght ee dy lhisagh ee er ngoaill yindys jeh shoh, agh ec y traa shen v'eh ooilley sheiltyn dy row eh dooghyssagh dy liooar);",
"but when the Rabbit actually took a watch out of its waistcoat-pocket and looked at it and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and, burning with curiosity, she ran across the field after it and was just in time to see it pop down a large rabbit-hole, under the hedge. ","agh, tra ghow y Chonning ooreyder magh ass poggaid e vest as yeeagh eh er, as eisht jimmee eh roish dy tappee, lheim Ealish ny shassoo, er y fa dy jagh eh trooid e h-aigney nagh row ee rieau er vakin conning roie as poggaid-vest echey, ny ooreyder dy ghoaill magh ass noadyr, as, eeit seose lesh peeikearys, roie ee tessen y magher ny lurg, as v'ee kiart abyl fakin eh as eh goll roish sheese ayns towl-conning mooar va fo'n chleigh. ",
"     In another moment, down went Alice after it, never once considering how in the world she was to get out again.","     Ayns grig elley, hie Ealish sheese ny lurg, gyn smooinaght erbee sy teihll er yn aght veagh ee cosney magh ass reesht.",
"The rabbit-hole went straight on like a tunnel for some way and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down what seemed to be a very deep well.","Va'n towl-conning jeeragh goll rish thiollane ec y toshiaght, as eisht v'eh goll sheese dy doaltattym, cho doaltattym as nagh row tullagh ec Ealish dy smooinaghtyn er scuirr ee hene roish my row ee tuittym sheese red va goll rish chibbyrt feer dowin. ",
