English,Manx
ACTS PROMULGATED. ,
"The following Acts were then promulgated according to the legal form: The Church Glebe Lands Act, The House of Keys Election (Ammendment) Act, the Cattle Diseases Prevention Act, the Bankruptcy Code Amendment Act, the Juidcature Amendment Act, the Education (Evening Schools) Amendment Act, the Public Notices Amendment Act, the Trustee Act, the Valuation Act, and the Education (German and Patrick) Act.",
"The following are the official summaries, of the Acts, in Manx and in English: —",
"THE CHURCH GLEBE LANDS ACT, 1905. An Act to facilitate the sale and letting of Clerks’ Glebe Land.",SLATTYS DY REAGHEY CRECK AS SOIAGHEY JEH THALLOONYN KILLAGH.
"This Act provides that the Church commissirimers may let for any term not exceeding 21 years, and , subject to the approval of the Tynwald Court, sell any of the clerks’ glebe lands. The proceeds of sale to be invested as directed, and held upon the same trusts, and for the same purposes as and for which the land sold was held.","Tan Slattys shoh charail dy vod Barrantee Killagh soiagh son traa erbee nagh bee erskyn blein as feed, as bialagh gyss aigney mie yn Quaiyl Tynwald. Creck thallooyn cleree erbee yn troar jeh yn creck dy ve currrit fo currym myr ynsit as chianlyt er y treistyn cheddin. as cooishyn cheddin as son cre erbee red va’n thalloo creckit cummit."
The Royal assent to this Act was given by his Majesty in Council at the Court at Buckingham Palace on the 12th day of March. 1903.,"Va’n coardail Reeoil gys y Slattys shoh currit Liorish E Ard Ooashley ayns Coonseii ec y Quaiyl yn Plaase Buckingham, er y daaoo laa yeig jeh yn threeoo vee, nuy cheead yeig [sic] (1903)."
"THE HOUSE OF KEYS ELECTION AMENDMENT ACT, 1903. ",SLATTYS DY LHIASAGHEY SLATTYSYN REIH THIE YN KIARE-AS-FEED.
"An Act to amend the House Of Keys Election Acts. This Act provides for “household suffrage,” and extends the right of lodgers to vote. It further provides that the House of Keys may, by resolution, vary the boundaries of the electoral districts of North and South Douglas, that, in the case of a poll at an election, the hours of polling shall be from 10 a.m. to seven p.m. and that the duration of any future House of Keya shall be five years","Ta’n slattys shoh kiarail aigney mie er y chen [sic] jeh goaldagh dy reih. Te ny soojey kiarail dy vod yn Kiare-as-feed liorish aigney jeean caghlaa cagleeyn sheadinyn jeih Twoaie as Jiass Ghoolish, dy vod ayns cooish coontey enmyn ec reih ny ooryn vees veih jeih a.m. gys shiaght p.m.; as bee farraghtyn thie Kiaire-as-feed reheet queig bleaney."
". The Royal assent to this Act was given by has Majesty in Council at the Court at Buckingham Palace, on the 20th day of May, 1903.",Va’n coardail Reeoil gys yn Slattys shoh currit Liorish E Ard Ooashley ayns Coonseil ec y Quaiyl yn Plaaae Buckingham er y feedoo laa jeh yn quiegoo vee jeh nuy cheead yeig as three (1903).
THE CATTLE DISEASES PREVBNTION ACTS. 1903. ,SLATTYS DY LHIASAGHEY NY SLATTYSTN DY LHEITTAL ASLAYNTYN OLLAGH. 
An Act to amend the Cattle Diseases Prevention Acts. ,Ta’n Slattys shoh mooadhey [sic] ny charailyn son Aslayntyn Ollagh y Lheittal Slattysyn. 
"This Act enlarges the provisions of the Cattle Diseases Prevention Acts, by providing that the Governor, with the advice and consent of two members of the Council, may make orders and regulations for prohibiting or regulating the importation, or removal into, or exportotion from, or removal out of, this Island of dogs.","Ta’n slattys shoh mooadaghey ny kiarailyn jeh yn Aslayntyn Ollagh Lhiettail Sssttysyn liorish kiarail dy jean e Kiannooyrt lesh coyrle as coardail jeh dah oltyn jeh yn Coonseil foddee jannoo oardrailyn as currymyn, son lhiettal as oardrail goaill stiagh ny scughey magh ass, ny cur jeh yn cheer ny scughey ass yn Ellan shoh jeh moddee."
"Section four ot the Cattle Diseases Prevention Act, 1866, is to be construed to include power to make rules, etc. for the treatment of all animals affected with infections or contagious disease, or in contact therewith. Dogs shall be deemed to be animals, and rabies a disease, for the purposes of section 1, 8. and 15 of the Cattle Diseases Prevention Act, 1865, and section seven, of the Cattle Diseases Prevention Act, 1866. ","Ayrn kiare jeh Aslayntyn Lhiettial Slattys, hoght keead as three feed as queig (1865);. te ny hoiggal dy goaill stiagh pooar dy yannoo oardaghyn as myr shen dellal rish, cretooryn ta, gleaisit lesh as aslaynt pyshoonagh ny ta bentyn rish. Bee moddee dy ve vriwysit cretooryn as moddee cheoie aslayntyn son cooishyn one, eight, [sic] as 15 jeh Aslaynt Lhiettal Slattys hoght keaad yeig as three-feed as queig (1865), as ayrn shiaght jeh Aslaynt Lhiettal Slattys, hoght keead yeig as three-feed as shey (1866). "
"The Royal assent to this Act was given by has Majesty in Council at the Court at Buckingham Palace, on the 20th day of May, 1903.",Va’n coardail Reeoil gys yn Slattys shoh currit Liorish E Ard Ooashley ayns Coonseil ec y Quaiyl yn Plaaae Buckingham er y feedo laa jeh yn quiegoo vee jeh nuy cheead yeig as three (1903).
THE BANKRUPTCY CODE AMENDMENT ACT. 1903. ,SLATTYS DY LHIASAGHEY YN LEIGH SON DOOINNEY VRISHT HOGHT KEEAD YEIG AS KIARE FEED AS DAA YEIG (1892) [sic].
"An Act to amend the Bankruptcy Code, 1892. ",
