English,Manx,Original,Notes
When the wind blows the sea is moving.,Tra ta’n gheay sheidey ta’n muir raisey,Tra t’an gheay sheidey t’an muir raadey.,
,,,
,,,
An odious woman in her marriage state.,Ben dwoaiagh ayns e stayd poosee.,Ben doaieagh ayns y stayd poosee.,
,,,
,,,
The son of Syrack says he would rather live with a lion or a dragon than with a brute of a woman.,Ta mac Syrack gra dy b’are lesh bagheymarish leion ny dragon na marish brout dy ven.,Ta mac Syrack gra dy bare lesh beagey maarish lion ne dragon ny maarish brout dy ven.,
,,,
,,,
,,,
,,,
Many dangers we have been brought through.,Shimmey gaue ta shin currit lesh ny hrooid.,Shimmey gaue ta shin curryt lesh ny chrooid.,
,,,
,,,
The battle-field is the place to prove the goodness of the sword.,"Ta magher-chaggee, yn boayl dy phrowal foays yn chliwe.","Ta maghyr caggee, yn booal dy prowal foays  yn cliw.",
,,,
,,,
Be not driven by laughter to do that which is wrong.,Ny bee shiu eiyrit liorish garaghtee dy yannoo shen ny ta aggairagh.,Ny bee shiu eiyryt loirish gheraghtee dy yannoo shen ny ta aggairagh.,
,,,
,,,
,,,
,,,
,,,
Nothing brings pardon sooner than repentance.,Cha vel red erbee cur lesh pardoon ny s’leaie na arrys.,Cha vel red erbee cur lesh pardoon ny sleih nyarrys.,
,,,
,,,
,,,
There is no disease more dangerous than to be without true knowledge.,Cha vel doghan erbee s’dangeyragh na dy ve fegooish tushtey cooie.,Cha vel doghan erbee s’dangeyragh ne dy ve fegooish tushtey cooie.,
,,,
,,,
,,,
Set the dial of your heart by the sun of righteousness.,Soie shiu dial nyn ghree liorish yn ghrian dy ynrickys.,Soie shiu dial nyn ghree liorish yn ghrain dy ynrickys.,
,,,
,,,
,,,
Where God’s grace cannot keep you His providence has not sent you.,Raad nagh vod graase Yee freayl shin cha vel E ard-chiarailys er choyrt shiu.,Raad nagh vod graase Yee freeal shin cha vell y ard careailys er churt shiu.,
,,,
,,,
,,,
,,,
Count that day lost you have made no one better.,Coontee shiu yn laa shen caillit nagh vel shiu er yannoo peiagh erbee ny share.,Coointee shiu yn laa shen callit nagh vell shiu er yannoo piagh erbee ny share.,
,,,
,,,
Some of the sweetest berries grows on the sharpest thorns.,Ta paart jeh ny smeyr s’miljey gaase er ny jilg s’pirragh.,Ta paart jeh ny smair s’miljey gaase er ny jilg s’pirragh.,
,,,
,,,
,,,
Your first care must be the care of your own heart.,Shegin da’n chied kiarail eu ve jeh nyn ghree hene.,Shegin d’an ched caarail eu ve jeh nyn ghree hene.,
,,,
,,,
Prayer in the morning opens the gate of duty for the day.,Ta padjer ayns y voghrey fosley yn giat jeh nyn gurrym son yn laa.,Ta padjer ayns y voghrey fosley yn gayt jeh nyn gurrym son yn laa.,
,,,
,,,
,,,
,,,
Be one of God’s clean windows that his glory may shine through.,Bee shiu unnane jeh uinnagyn glen Yee dy vod yn gloyr echey soilshean ny hrooid.,Bee shiu unnane jeh unnagyn glen Yee dy vod yn gloayr ec e soiljean ny chrooid.,
,,,
,,,
,,,
,,,
If you only do to win the praise of men you deserve none.,My ta shiu ynrican jannoo dy chosney moylley ghooiney cha vel shiu thoilliu veg.,My ta shiu ynrican jannoo dy chosney molley ghoiney cha vell shiu thullew veg.,
,,,
,,,
,,,
,,,
Man at his wit’s end is not at the end of his faith.,Dooinney ta ec kione y cheilley cha nel eh ec kione y credjue.,Dhonney ta eck kione y cheeley cha vell eh ec kione y credjue.,
,,,
,,,
"There is nothing so strong as meekness, and meekness is the right strength.","Cha vel red erbee cha lajer as meenid, as meenid yn troshid cair.","Cha vell red erbee cha lager as meenyd, as meenyd yn troshyd cair.",
,,,
,,,
,,,
,,,
There are more men lost by being too wise than being too unwise.,Ta ny smoo dy gheiney caillit liorish ve ro cheeayllagh ny liorish ve ro veecheealagh.,Tha ny smoo dy ghoinney callyt liorish ve ro cheelagh ny liorish ve ro veecheelagh.,
,,,
,,,
,,,
,,,
The knowledge how to live well is to make the best of every day.,Ta’n tushtey dy veaghey mie dy yannoo yn chooid share jeh dy-chooilley laa.,T’an tushtey dy veagey mie dy yannoo yn chooid share jeh dy chooilley laa.,
,,,
,,,
,,,
God has put the church in the world.,Ta Jee er choyrt yn keeill ayns yn seihll.,Ta Jee er churt yn keeil ayns yn seihll.,
The Devil has put the world in the church.,Ta’n Jouyl er choyrt yn seihll ayns y cheeill.,T’an Joul er churt yn seihll ayns y keeil.,
,,,
,,,
,,,
Lay thy hand upon thy mouth if thou hast thought evil.,Lhie dty laue er dy veeal my t’ou er ve smooinaghtyn er olk.,Lhie dy laue er dy veeal my tow er ve  smooinaghtyn er olk.,
,,,
,,,
,,,
A lazy man would be the right messenger to send for death.,Veagh dooinney lhiastey yn çhaghter cair dy chur son y vaase.,Vagh dooinney lhastey yn çhaghtyr cair dy cur son y vaase.,
,,,
,,,
,,,
Blessed is the man that has a wife of his own.,Bannit ta’n dooinney ta ben echey lesh hene.,Bannyt ta’n doinney ta ben eck eh lesh hene.,
,,,
,,,
shivering,Er craue,,
,,,
Blindman’s-buff,Parkan dollan          [Farkan-doallan],,
The wind’s wife,Ben y gheay,,
,,,
Mear-maid    [Mer-man],Pollonagh                [Pohllinagh],,
,,,
Water bull,Tarroo ushtey,,
,,,
The spirit of the black head,Bogane y chione doo,,
,,,
a snow-ball,Bluggan sniaghtee,,
,,,
a mad dog,Moddey koie,,
,,,
a mad cat,Kayt koie,,
,,,
Peace be with you,Shee dy row meroo  [Shee dy row meriu],,
,,,
Twins,Lhannoonyn,,
,,,
Grandchildren,Chloan chlinney       [cloan chlienney],,
,,,
a lamb of a year old,Oash                         [oasht],,
,,,
a young sheep two years old,Tanny                     [thannit],,
,,,
Thinning the turnips,Tannaghey ny naphyn,,
,,,
Plucking the thistles out of the corn,Gartlhan ny onnaneyn ass yn arroo,,
,,,
the big woman,Yn ven wooar,,
,,,
a playful man,Dooinney reeagh,,
,,,
thorn in the flesh,Jolg ’syn eill,,
,,,
talkative,Cabbaragh,,
,,,
the charm the fairy-woman makes for witchcraft,gramysy,,
,,,
,,,
"When the sheep go to shelter the shower will not be long, but when they browse in the rain it will be a long rain.","Tra ta ny kirree goaill fastee cha bee yn frass beayn, agh tra t’ad gyndyr ayns ny fliaghey bee eh beayn dy mie.","Tra ta ny kierree ghoaill fastee cha bee yn frass beeayn, agh tra t’ad gynder ayns ny flaghey bee e beeayn dy mie.",
,,,
,,,
,,,
,,,
,,,
,,,
When the play is the merriest is the best time to leave of[f].,"Tra s’reeagh yn chloie, share faagail jeh.","Tra s’reeagh yn chloie, share faigail jeh.",
,,,
,,,
,,,
When the moon rises before day it often makes the night better.,"Tra ta’ eayst girree rosh yn laa, t’ee dy mennick yn oie ny share.","Tra tha yn eease girree rosh yn laa, t’ee dy mennick yn oie ny share.",
,,,
,,,
,,,
,,,
"A man that is married have lost all his hope,","Dooinney ta poost ta e hreishteil roit ass,","Dhonney ta poost ta y chreesteil roit ass,",
He’s just like a pig with her leg in a rope.,Te kiart goll-rish muck lesh tedd er y chass.,Te kiart gholl rish muc lesh tydd er y chass.,
,,,
,,,
,,,
Many a man has rocked the cradle [while] the child was not his own.,Ta dooinney ny ghaa er leaystey yn clean nagh row yn lhiannoo lesh hene.,Ta dhonney ny gha er leastey yn clain nagh row yn lhannoo lesh hene.,
,,,
,,,
,,,
,,,
Many a man has been herding the bush and another plucking the fruit of it.,Ta dooinney ny ghaa er ve bochillagh yn thammag as fer elley er ve teih yn mess.,Ta dhonney ny gha er ve bogylagh yn thummag as fer elley er ve teih yn mess.,
,,,
,,,
,,,
,Ta’n gheay niar fowanagh cur mow dy-chooilley nhee.,T’an gheay niar fowanagh cur mow dy chooilley nhee.,
The boisterous east wind destroys everything.,,,
,,,
,,,
"Calm for ever, ","Kiuney dy bra,","Kiuney dy bra,",
south wind is the next to it.,Gheay jiass snessey da.,Gheay jass snessey da.,
,,,
,,,
After rain it will be dry.,Lurg fliaghey hig çhirmid.,Lurg fliaghey hig chirmagh.,
,,,
,,,
After a storm it will be a calm.,Lurg sterrym hig kiuney.,Lurg styrrym hig kuiney.,
,,,
,,,
On St. Thomas’s Day the frost began and never thawed until New St. Bride’s Day.,"Laa’l Thomase ‘sy Nollick va toshiaght yn rio,Cha ren eh rieau theinniu gys la Bridjey noa. Cha ren eh rieau theinniu gys la Bridjey noa.","Laa Thommase syn Ollick va toshiagh yn rio, Cha ren eh rieu thinnue gys laa Breeshey noa.",
,,,
,,,
,,,
,,,
A Saturday’s moon in harvest is enough once in seven years.,Ta eayst Jesarn ’syn ouyr dy-liooar cheayrt ayns shiaght bleeaney.,Ta ease Jesarn syn ouyr dy lioor cheayrt ayns shiaght bleeney.,
,,,
,,,
Thunder in winter,Taarneeyn geurey,Tarneeyn gowrey,
Wonders in summer.,Yindysyn sourey.,Yindysen soury.,
,,,
,,,
,,,
When frogs spawn in the middle of the pool it is the sign of a dry spring.,"Tra ta ny froggyn breh ayns çheshvean yn poyll, te cowrey jeh arragh chirrym.","Tra ta ny froggyn breh ayns cheshvean yn powl, te cowrey jeh arragh chyrrym.",
,,,
,,,
,,,
But when frogs spawn in the sides of the poolit is the sign of a wet spring.,"Agh tra ta ny froggyn breh ayns lhiatteeyn yn poyll, te cowrey jeh arragh fliugh.","Agh tra ta ny froggyn breh ayns lhiatteeyn yn powl, te cowrey jeh arragh flught.",
,,,
,,,
,,,
Time and tide will wait for no man.,Cha jean yn traa ny tidey furriaght da dooinney erbee.,Cha jean yn tra ny tidey fuirriagh da dhonney erbee.,
,,,
,,,
Happy is the bride the sun shines on.,Maynrey ta’n ven-phoosee ta’n ghrian solshean urree.,Maynrey t’an ven poosee t’an ghrain soljean urree.,
,,,
,,,
A fidlers invitation was to be asked to a wedding the day before the marriage day.,Cuirrey fiddler dy ve cuirrit un laa roish laa yn phoosee.,Cuirrey fidler dy ve quirt un laa rosh laa yn poosee.,
,,,
,,,
,,,
,,,
"She’s for nitting and sewing and peeling potatoes, and I think you should be glad to catch the like.",T’ee son knittal as whaaley as scrabey puddaseynas lhissagh oo ve booiagh er lheid er y haartyn.,T’ee son nittal as whaley as scravey potazenas lhissagh oo ve boiagh er lheid ee y haartyn.,
,,,
,,,
,,,
,,,
Trust in an unfaithful man in the time of trouble is like a broken tooth or a foot out of joint.,"Dy hreishteil ayns dooinney ta neu-firrinagh ayns earish dy heaghyn, te myr feeackle brisht ascass ass ynnyd.","Dy hreisteil ayns dhonney ta neufirrinagh ayns earish dy heaghyn, te mor feeackle brisht as cass as ynnyd.",
,,,
,,,
,,,
,,,
,,,
