English,Manx
TYNWALD COURT,
"ST JOHN’S, 5th JULY, 1919.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
"Clucas & Fargher, Printers, “Herald” Office, Ridgeway-street, Douglas.",
ABSTRACTS OF ACTS OF TYNWALD,
"1.— THE INCOME TAX ACT, 1918","1.— YN SLATTYS KEESH COSNEY-VLEEANAGH, NUY CHEEAD YEIG AS HOGHT-JEIG."
The object and purport of this Act are to raise revenue by the imposition of Income tax.,Ta’n aigney as y chooish jeh’n Slattys shoh dy haglym argid liorish cur keesh er cosney-vleeanagh.
2.— THE BREWERS ACT AMENDMENT ACT 1918.,"2.— YN SLATTYS IMLERYN (LHIASAGHEY), NUY CHEEAD YEIG AS HOGHT-JEIG."
"The object and purport of this Act are to increase the duties on beer, sugar, and malt.","Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey ny taillyn er lune, shugyr, as bry."
"3.— THE COMPANIES (FOREIGN INTERESTS) ACT, 1918.","3.— YN SLATTYS SHESHAGHTYN (FOAYS JOARREEYN), NUY CHEEAD YEIG AS HOGHT-JEIG."
"The object and purport of this Act are to prohibit the alteration, except with the consent of the Governor, of the Articles of Association which restrict foreign interests in Companies.",Ta’n aigney as y chooish jeh’n Slattys shoh dy oardaghey noi caghlaa (er be lesh cordail yn Kiannoort) ny annaghyn y commeeys ta freayll fo howse yn foays dy yoarreeyn ayns sheshaghtyn.
"4.— THE COMPANIES (PARTICULARS AS TO DIRECTORS) ACT, 1918.","4.— YN SLATTYS SHESHAGHTYN (NAIGHTYN MYCHIONE FIR-OIK), NUY CHEEAD YEIG AS HOGHT-JEIG."
The object and purport of this Act are to provide for the disclosure of certain particulars respecting the Directors of Companies.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail naightyn er-lheh dy ve er ny hoilshaghey mychione fir-oik sheshaghtyn.
"5.— THE REGISTRATION OF BUSINESS NAMES ACT, 1918","5.— YN SLATTYS RECORTYS ENMYN KEIRDEE, NUY CHEEAD YEIG YEIG AS HOGHT-JEIG. "
the object and purport of this act are to provide for the registration of persons carrying on business under business names.,Ta’n aigney as y chooish jeh’n Slattys shoh dy dy chiarail sleih ve recortit ta cur rish keirdyn fo enmyn keirdee.
