English,Manx
TYNWALD,
"ST JOHN’S 5th July, 1923.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
ABSTRACTS OF ACTS OF TYNWALD,
"1.— The Local Government Amendment Act, 1922.",Yn Slattys Gurneilys Ynnydagh Nuy Cheead Yeig Jees as Feed.
"The object of this Act is to amend the Local Government Consolidation Act, 1916, as to the constitution of the Local Government Board, and as to the powers of the Board with regard to milk, infectious diseases and other matters.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Gurneilys Ynnydagh (Unnaneysagh) Nuy Cheead Yeig as Shey-jeig choud as yn co-seiy jeh’n Voayrd Gurneilys Ynnydagh as ny pooaraghyn jeh’n Voayrd bentyn rish bainney, goghanyn nieunagh, as cooishyn elley."
"2.— The Increase of Rent and Mortgage Interest Restrictions Act Amendment Act, 1923.",Yn Slattys Lhiettal Bishaght Jeh Mayll as Use Lhiasaghey Nuy Cheead Yeig Tree as Feed.
"The object of this Act is to extend the principal act to the 12th May, 1924.",Ta’n aigney as y chooish jeh’n Slattys shoh dy heeyney-magh yn Slattys toshee derrey yn nah laa yeig Boaldyn nuy cheead yeig as feed.
"3.— The Pensions (Penalties) Act, 1923.",Yn Slattys Toyrtyn (Kerraghyn) Nuy Cheead Yeig Tree as Feed.
The object of this Act is to render persons making false statements in applying for pensions liable to penalties.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur kerraghyn er sleih jannoo leshtalyn foalsey er yn oyr dy gheddyn toyrtyn.
"4.— The Workmen’s Compensation Act, 1923.",Yn Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig Tree as Feed.
"The object of this Act is to continue the temporary provisions of the The Workmen’s Compensation Act, 1919, to the 31st December, 1923.",Ta’n aigney as y chooish jeh’n Slattys shoh dy reayll ayns bree ny kiarailyn imbee jeh’n Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig as nuy jeig gys jerrey yn vlein Nuy Cheead Yeig tree as feed.
"5.— The Douglas Grammar School Amendment Act, 1923.",Yn Slattys Schoill Ghrammar Ghoolish Lhiasaghey Nuy Cheead Yeig Tree as Feed.
The object of this Act is to authorise the letting or selling of the Douglas Grammar School.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar dy hoiaghey ny dy chreck yn Schoill Ghrammar Ghoolish.
"6.— The Pharmacy and Dangerous Drugs Act, 1923.",Yn Slattys Pharmacy as Stoo-lheiys Dangeyragh Nuy Cheead Yeig Tree as Feed.
The object of this Act is to regulate the sale of dangerous drugs.,Ta’n aigney as y chooish jeh’n Slattys shoh dy ordrail yn chreck jeh stoo-lheihys dangeyragh.
"7.— The Rates Act, 1923.",Yn Slattys Taillyn Nuy Cheead Yeig Tree as Feed.
The object of this Act is to make the rating year commence on the 12th of May.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur er taillyn-vleeaney toshiaght y ghoaill veih yn nah laa yeig Boaldyn.
"7.— The Act, 1923.",Yn Slattys Nuy Cheead Yeig Tree as Feed.
The object of this Act is to amend the,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys
"8.— The Ramsey Grammar School Act, 1923.",Yn Slattys Schoill Ghrammar Rumsaa Nuy Cheead Yeig Tree as Feed.
The object of this Act is to transfer the Ramsey Grammar School to the Central Education Authority.,Ta’n aigney as y chooish jeh’n Slattys shoh dy livrey harrish yn Schoill Ghrammar Rumsaa gys yn Voayrd Ynsagh Meanagh.
"9.— The Licensing Appeal Court Act, 1923.",Yn Slattys Ard-Whaiyl Cur Kied Nuy Cheead Yeig Tree as Feed.
The object of this Act is to enlarge the Licensing Appeal Court.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey yn Ard-whaiyl Cur Kied.
"10.— The Registration of Deeds Act, 1923.",Yn Slattys Nuy Cheead Yeig Tree as Feed.
"The object of this Act is to amend and enlarge the Registration of Deeds Acts, 1847 to 1896.",Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey as lheeadaghey ny slattysyn Recortys Barganeyn Hoght cheead yeig shiaght as daeed gys Hoght cheead yeig kiare feed as shey jeig.
"11.— The Agricultural and Rural Industries Amendment Act, 1923.",Yn Slattys Eirynys as greasyn Cheerey Lhiasaghey Nuy Cheead Yeig Tree as Feed.
The object of this Act is to amend the constitution of the Board of Agriculture and provide for the application of the gift from Noble’s Trustees.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Voayrd Eirynys as dy chiarail cre’n aght lhisagh yn gioot veih ny Fir-hreishtee Noble ve er ny vaarail.
"12.— The Mechanical Contrivances Regulation Act, 1923.",Yn Slattys Ordrail Greieyn Keirdee Nuy Cheead Yeig Tree as Feed.
The object of this Act is to make provision for licensing and inspection of mechanical contrivances used for amusement.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son cur kied as jeeaghyn harrish greieyn keirdee jeant son aittys.
"13.— The Public Authorities Acquisition of land Act, 1923.",Yn Slattys Buird Theayagh (Kionnaghey Thalloo) Nuy Cheead Yeig Tree as Feed.
The object of this Act is to prescribe the method of determing the compensation for land taken compulsorily.,Ta’n aigney as y chooish jeh’n Slattys shoh dy oardaghey saase dy howse cooilleen son thalloo goit gyn-chied.
"14.— The Poor Relief Act Amendment Act, 1923.",Yn Slattys Kemmyrk ny Boghtyn Lhiasaghey Nuy Cheead Yeig Tree as Feed.
The object of this Act is to enable Old Age Pensions and National Health Insurance Board to supervise the work of the Poor Law Authorities.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da’n Voayrd Toyrtyn Shenn Eaysh as Slaynt Ashoonagh dy yeeaghyn harrish yn obbyr jeh ny Buird Kemmyrk ny Boghtyn.
"15.— The Licensing Act, 1923.",Yn Slattys Cur Kied Nuy Cheead Yeig Tree as Feed.
The object of this Act is to fix the hours of opening and closing of licensed premises.,Ta’n aigney as y chooish jeh’n Slattys shoh dy hickyraghey ny ooraghyn son fosley as dooney Thieyn-Oast.
"16.— The Adulteration Act, 1923.",Yn Slattys Milley Nuy Cheead Yeig Tree as Feed.
The object of this Act is to amend the Adulteration Acts as to the strength of spirits.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny slattysyn Milley bentyn rish yn niart jeh liggaryn bioyral.
The Royal Assent to the preceeding Acts was given by his Majesty in Council at the Court of Buckingham Palace on the dates set out hereunder :—,Va’n Choardail Reeoil currit gys ny Slattysyn roie soit magh liorish E Ard Ooashley ayns Coonceil ec yn Plaase Buckingham er ny laghyn fo soit magh :—
,
"To Act No. 1, ........... 2nd November, 1922.",Gys Slattysyn 1 ........... 25oo VIIoo 1922.
