English,Manx,Notes
PROMULGATION CEREMONY,,
SUMMARY OF THE ACTS IN MANX AND ENGLISH,,
     The Burials Act Amendment Act. 1899.,The Burials Act Amendment Act. 1899.,
"     An Act to Amend the Burials Act, 1881.",     Slattys dy Lhiassaghey yn slattys oanluckey hoght keead yeig as kiare feed as unnane.,
"     The object of this Act is to enlarge the scope of section 13 of the principle Act by giving increased powers of sale of burial land acquired under the Act, subject to the approval of the Ecclesiastical Court.",     Ta aigney yn slattys shoh dy vooadaghey yn reamys jeh ayrn three jeig jeh’n kied[1] slattys liorish chur ny smoo dy phooar son chreck Talloo oanluckey cosneyit fo yn slattys dy ve lesh aigney mie yn Quaiyl Agglish.[2],"[1] jeh’n kied] jeh’n chied—‘of the first’
[2] The lenited forms chur and chreck are ungrammatical here."
     Burial ground acquired under the principal Act is to be kept separated from the old burial ground.      ,          Grunt oanluckey feddinit fo yn chied slattys dy ve freaylt er lheh woish yn shenn Talloo oanluckey.,
"     All persons at any burial are to have free access to the mortury chapels in German and Braddan, or any building hereafter provided exclusively for burial services.",      Ooilley ny persoonyn ec oanleykey er-bee slane kied dy ve oc dy yannoo ymmyd jeh ny cabbalyn oanleykey Carman as Braddan ny thie erbee troggit ny lurg shoh kiarailit dy jiooldagh[3] son shirveish oanluckey.,"[3] jiooldagh] JIOOLDAGH, a. disgustful, cloyish, raising a nauseousness in the stomach, raising
dislike by some offensive action. (Cregeen). A strange choice here, although Kelly. J’s  English—Manx Dictionary gives jiooldagh for ‘exclusive’, the word is derived from the verb jiooldey – ‘rejecting’. In this context ny lomarcan—‘alone’ would be the expected choice."
,,
"     The Royal assent to this Act was given by her Majesty in Council at the Court at Windsor, on the 14th day of July, 1899.",     Va’n cordail reeoil currit d’an slattys shoh liorish E Ard oashley ayns coonceil ec y quaiyl ec Windsor er y kiarroo laa yeig as kiare feed as nuy jeig 1899. ,
The Prevention of Cruelty to Children Act 1899.,Slattys son dy Lhiettal geulys[4] gys paitchyn as dy coadey ad.,[4] geulys—bondage (from geul—‘a chain’). A closer match to the English would be dewilys—‘cruelty’.
"An Act for the Prevention of Cruelty to, and Protection of, Children.",,
"     The object of the Act is to make better provision for the prevention of cruelty to, and protection of children under the age of 16 years and it provides for the punishment of any person who wilfully assaults, ill-treats, neglects, or abandons a child, or exposes it in a manner likely to cause unnecesary suffering or injury to health. ",     Ta aigney yn slattys dy yannoo charail share son dy Lhiettal jeh geulys[5] gys as coadey jeh paitchyn fo eash shey bleaney jeig as charail son kerraghey jeh persoonyn erbee ta dy roonagh hoiaghey er chur drogh Gellal ny lhiastey ny faagail Lhiannoo ny roostey eh ayns aght neuymmyrchagh chur er dy hurranse assee da slaynt ,[5] geulys—bondage (from geul—‘a chain’). A closer match to the English would be dewilys—‘cruelty’.
"The Act places restrictions on the employment of children, and prohibits begging, &c.; imposes penalties for employing children in dangerous performances, and makes provision for compensation for injury to children so performing. The Act also provides for places of safety where children may be detained for protection; and for licensing children under certain circumstances for trading in streets; and contains general provision for carrying out the objects of the Act.",myrgeddin chur lheittalys er obbyr jeh paitchyn as myr shen chur keeshyn kindagh son cur obbyr da paitchyn ayns obbraghyn dangeyragh as jannoo kiarail son boayl sauchey raad oddys paitchyn ve er ny cumrail son coadey as son cur kied da paitchyn ayns cooishyn er lheh dy dellal sy straidyn as cummal son y cooid smoo kiarailyn son cur lesh magh mian jeh yn slattys.,
,,
"     The Royal assent to this Act was given by her Majesty in Council, at the Court at Windsor, - on the 14th day of July, 1899.",     Va’n cordail reeoil currit da’n slattys shoh liorish E Ard oashley ayns coonceil ec y quaiyl ec Windsor er y kiarroo laa yeig jeh yn shiaght vee hoght keead yeig as kiare as nuy jeig 1899.,
     The Education Amendment Act. 1899,Slattys dy Lhiassaghey yn slattys ynsagh hoght keead yig as kiare feed as three jeig 1893. ,
"     An Act to amend the Education Act, 1893.",,
"     This act prohibits the employment of children under prescribed ages who are not exempt from attendance at school under the principal Act, and also amends the principal Act as to attendance at school, expenses of children in industrial schools, Government grant, and legal proceedings; and prescribes penalties in the case of persons contravening the Act.",         Ta’n slattys shoh Lhiettal cur obbyr da paitchyn fo lheid yn each nagh vel seyr veih goll dy schoill fo yn slattys toshee as myrgeddin Lhiassaghey yn chied slattys mychione ve ec schoill argid baarit er paitchyn ayns schoillyn Tarrooghys gioot reiltys as Leighdeyrys as ordrail keeshyn kyn ayns cooishyn jeh sleigh goll noi yn slattys.,
"     The Royal assent to the is Act was given by her Majesty in Council, at the Court in Windsor on the 14th day of July 1899.",     Va’n cordail reeoil currit d’an slattys shoh liorish E Ard oashley ayns cooceil ec y quaiyl ec Windsor er y kiarroo laa yeig jeh yn shiaght vee hoght keead yeig as kiare feed as nuy jeig 1899.,
     ,,
          The Medical Act. 1899.,The Medical A ct. 1899.     ,
