English,Manx
TYNWALD,
"ST JOHN’S 5th July, 1924.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
"Abstracts Of Acts for Promulgation on the 5th July, 1924.",
"1.— The Education Endowments Act, 1923.",Yn Slattys Ynsagh Nuy Cheead Yeig Tree as Feed.
The object of this Act is to allocate between thr Isle of Man Education Authority and the religious authorities certain endowments for education and religious purposes.,Ta’n aigney jeh’n Slattys shoh dy rheynn eddyr yn Oik Ynsagh Ellan Vannin as ny oikyn ny Hagglish giootyn er-lheh son oyryn ynsagh as craueeaght.
"2.— The Education Act, 1923.",Yn Slattys Ynsagh Nuy Cheead Yeig Tree as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy 
"3.— The Civil Registration and Dissenters’ Marriage Act, 1924.",Yn Slattys Recoyrtys Theayagh  as Poosey Scarreyderyn Veih’n Agglish Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to ,Ta’n aigney as y chooish jeh’n Slattys shoh dy ch
"4.— The Mylchreest Divorce Act, 1924.",Yn Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy 
"5.— The Local Government Amendment Act, 1924.",Yn Slattys Gurneilys Ynnydagh Lhiasaghey Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy 
"6.— The Agricultural Weights Act, 1924.",Yn Slattys Towsyn Eirynys Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to provide for uniformity in weights and measures used in the sale of corn and other crops.,Ta’n aigney jeh’n Slattys shoh dy yannoo unnaneys ayns towseyn as meihaghyn son creck arroo as troaryn elley. 
"7.— The Juries Detention Act, 1924.",Yn Slattys Dooney Bingaghyn Nuy Cheead Yeig Tree as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy lhiasaghey 
"8.— The Pharmacy and Dangerous Drugs Amendment Act, 1924.",Yn Slattys Pharmakys as Stooghyn-Lheiys Dangeyragh Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to amend the,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys
"9.— The Workmen’s Compensation Act, 1924.",Yn Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig Kiare as Feed.
"The object of this Act is to amend the Workmen’s Compensation Act, 1919.",Ta’n aigney jeh’n Slattys shoh dy lhiasaghey yn Slattys Cooilleeney Obbreeyn nuy cheead yeig as nuy jeig.
"10.— The Bastardy Act Amendment Act, 1924.",Yn Slattys Oainjerys Lhiasaghey Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to amend the law as to the affiliation and maintenance of bastard children.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish yn ayroilaght as cooid-coonee jeh paitchyn oainjeragh.
"10.— The Education (Rushen Schools)  Act, 1924.",Yn Slattys Ynsagh (Schoillyn Rushen) Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy 
"12.— The Agricultural Rates Act, 1924.",Yn Slattys Keeshyn Eirynys Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to amend the law with respect to the rating of agricultural land.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish keeshyn soit er thalloo eirinagh.
"13.— The Highway Act, 1923.",Yn Slattys Raaidyn Mooarey Nuy Cheead Yeig Tree as Feed.
The object of this Act is to ,Ta’n aigney jeh’n Slattys shoh dy 
"14.— The Local Government (Consolidation) Acquisition of land Act, 1923.",Yn Slattys Gurneilys Ynnydagh Unnaneysagh-Lhiasaghey (Keesh Ushtey) Nuy Cheead Yeig Kiare as Feed.
"The object of this Act is to amend the Local Government Consolidation Act, 1916, as to the rates for water.",Ta’n aigney jeh’n Slattys shoh dy lhiasaghey yn Slattys Gurneilys Ynnydagh Unnaneysagh nuy cheead yeig as shey-jeig bentyn rish keeshyn ushtey.
"15.— The House of Keys Election Act, 1924.",Yn Slattys Reih yn Kiare as Feed Nuy Cheead Yeig Kiare as Feed.
The object of this Act is to consolidate the House of Keys Election Acts 1866 to 1920.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chruinnaghey ny Slattysyn Reih yn Kiare as Feed Hoght cheead yeig tree feed as shey gys nuy cheead yeig as feed.
The Royal Assent to the preceeding Acts was given by his Majesty in Council on the dates set out hereunder :—,Va’n Choardail Reeoil currit gys ny Slattysyn shoh liorish E Ard Ooashley ayns Coonceil ec yn Plaase Buckingham er ny laghyn fo soit magh :—
,
"To Act No. 1, at Buckingham Palace ... 11th  October, 1923.","Gys Slattys 1, ec y Quaiyl Buckingham ........... 11oo Xoo 1922."
"To Act No 2, at Buckingham Palace ....  19th December, 1923.","Gys Slattys 2, ec y Quaiyl Buckingham  ........... 19oo XIIoo 1923."
"To Acts Nos. 3 and 4, at Buckingham Palace ....  16th January, 1924.","Gys Slattysyn 3, as 4, ec y Quaiyl Buckingham  ........... 16oo I 1924."
"To Acts No. 5 and 6, at Buckingham Palace ....  21st Marchth 1924.","Gys Slattysyn 5, as 6, ec y Quaiyl Buckingham  ........... 21oo IIIoo 1924."
"To Act Nos. 7 and 8  at Buckingham Palace ....  30th May, 1924.","Gys Slattysyn 7, as 8, ec y Quaiyl Buckingham  ........... 30oo Voo 1924."
"To Acts Nos. 9, 10, 11, 12, 13, 14, and 15, at Buckingham Palace  ....  25th June, 1924.","Gys Slattyyn 13, 14, 15, as 16, ec y Quaiyl Buckingham  ........... 25oo VIoo 1924."
,
,
