English,Manx
TYNWALD COURT,
"ST JOHN’S 5th July, 1922.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
ABSTRACTS OF ACTS OF TYNWALD,
"1.— The Horses Breeding Act, 1921.",Yn Slattys troggal cabbil Nuy Cheead Yeig Nane as Feed.
The object of this Act is to regulate the use of Stallions for stud purposes.,Ta’n aigney jeh’n Slattys shoh dy ghurneil yn ymmyd jeh colle-chabbil son oyryn sluightoil.
"2.— The Seeds Act, 1921.",Yn Slattys Rassyn Nuy Cheead Yeig Nane as Feed.
The object of this Act is to amend the law with respect to the sale and use of seeds and to provide for the testing thereof.,Ta’n aigney jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish yn creck as ymmyd jeh rassyn as dy chiarail son prowal ad.
"3.— The Imported Kippered Herrings Act, 1922.",Yn Slattys skeddan jaaghit joaree nuy Cheead Yeig Nane as Feed.
The object of this Act is to require imported kippered herrings to be branded and sold as such.,Ta’n aigney jeh’n Slattys shoh dy oardrail skeddan-jaaghit ta goit stiagh s’yn Ellan dy ve creckit as cowrit er yn aght shen.
"4.— The Douglas Corporation Electric Light and Power Act, 1921.",Yn Slattys Co-Chorp Ghoolish Soilshey As Pooar Electragh Nuy Cheead Yeig Nane as Feed.
The object of this Act is to enable Douglas Corporation to supply electric light and power.,Ta’n aigney jeh’n Slattys shoh dy chur pooar da’n Co-Chorp Ghoolish dy chiarail soilshey as pooar electragh.
"5.— The Highway Act, 1921.",Yn Slattys Raad Mooar Nuy Cheead Yeig Nane as Feed.
"The object of this Act is to extend the powers of the Highway Board and to amend the fees payable for licences for vehicles, brewers, bankers, dogs and in repect of the sale of liquor.","Ta’n aigney jeh’n Slattys shoh dy heeynaghey ny pooaraghyn jeh’n Voaryd Raaidyn Mooarey as hoiaghey taillyn elley son kiedyn son cayryn imleryn bancaryn, moddee, as thieyn oast."
"6.— The War Contribution and Income Tax (Appropriation) Act, 1922.",Yn Slattys Toyrtys Caggey as Keesh Cosney-Vleeanagh (Goaill Stiagh) Nuy Cheead Yeig Jees as Feed.
"The object of this Act is to provide for the payment of the sinking fund and interest on £250,000 of the Imperial War Debt and to enable the proceeds of Income Tax to be appropriated for that purpose.","Ta’n aigney jeh’n Slattys shoh dy chiarail son geeck yn argid-feayslee as use er daa cheead jeih as daeed thousane punt jeh’n Lhiastynys Caggey Sostnagh, as dy ghoaill wheesh shoh veih yn Keesh Cosney-vleeanagh."
"7.— The Act, 1922.",Yn Slattys Nuy Cheead Yeig Jees as Feed.
The object of this Act is to abolish the practice of kissing the book in taking an oath.,Ta’n aigney jeh’n Slattys shoh dy chur-lesh gys jerrey yn cliaghtey jeh paagey yn lioar ayns goaill loo.
"8.— The Highway (Closing Order) Act, 1922.",Yn Slattys Raadyn Mooarey (Oardagh Doonee) Nuy Cheead Yeig Jees as Feed.
"The object of this Act is to continue in force the Highways (Motor Car) Act, 1905, and to empower the Highway Board to make arrangements for registering and licensing motor vehicles in connection with motor races.",Ta’n aigney jeh’n Slattys shoh dy reayll ayns bree yn Slattys Raaidyn Mooarey (Cayr Motor) Nuy Cheead Yeig as Queig as dy chur pooar da’n Voayrd Raad Mooar dy yannoo annaghyn son recortey as cur kied da lheid fainee son roiaghyn noi-ry-hoi.
"9.— The Old Afe Pensions and National Health Insurance (Treasurer’s Expenses) Act, 1922.",Yn Slattys Toyrtyn Shenn Eaysh as Coadey noi Aslaynt Ashoonagh Baarailyn Fer-Hashtee Nuy Cheead Yeig Jees as Feed.
The object of this Act is to provide for payment of the Treasurer’s expenses in connection with Old Age Pensions and National Health Insurance.,Ta’n aigney jeh’n Slattys shoh dy chiarail son geeck ny baarailyn yn Fer-hashtee bentyn rish Toyrtyn Shenn Eaysh as Coadey noi Aslaynt Ashoonagh.
"10.— The Workmens Compensation Act, 1922.",Yn Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig Jees as Feed.
The object of this Act is to continue the additional compensation to the end of 1922.,Ta’n aigney jeh’n Slattys shoh dy reayll yn cooilleeney myr t’eh gys yn jerrey vlein shoh.
"11.— The Manx Museum, Library and Art Gallery Act, 1922.",Yn Slattys Tashtey Shenn Cowraghyn Lioaryn as Schei-Chummee Manninagh Nuy Cheead Yeig Jees as Feed.
