Speaker,Manx,English,SubStart,SubEnd,Notes
JK,As c'red ta shin goll dy loayrt mygeayrt?,And what are we going to talk about?,1,7,
WR,"Oh, red erbee sailt ghooinney, red erbee sailt. Kanys ta dy chooilley red ayns Balley Laghey goll er?","Oh, anything you like man, anything you like. How is everything in Ballaugh going?",7,18,
JK,"Oh, vel eh, vel eh gobbyr?","Oh, is it, is it working?",23.5,25.5,
WR,"T'eh gobbyr nish, she.","It's working now, yes.",25.5,27,
JK,Oh...,Oh...,26.5,28,
WR,Ta shin son prowal eh hoshiaght.,We can try it first.,26,29,
JK,Oh ...,Oh ...,29,30,
WR,"Ta shin goll dy phrowal eh, dy akin kys ta shin goll er.","We are going to try it, to see how we get on.",29,34,
JK,"Jus dy fakin cre'n aght ta'n sleih as yn, reddyn ayns Balley Laghey goll er?","Just to see how the people and the, things in Ballaugh are getting on?",34,38.8,
WR,Ta.,Yes.,38.5,40,
JK,"Oh ta, t'ad ooilley dy mie, ta mee smooinaghtyn.","Oh yes, they are all well, I think.",40,46,
WR,"Agh cha nel oo geddyn magh monney, lesh shoh.","But you aren't getting out much, with this.",46,48.5,
JK,"Oh cha nel, cha nel mee geddyn magh. Ta mee soie ec yn aile dy chooilley laa.","Oh now, I'm not getting out. I sit at the fire every day.",48,55.5,
WR,Oh ta shen yn boayl share ghooinney.,Oh that's the best place man.,55.2,57,
JK,"Ta, ta.","Yes, yes.",56.7,58,
WR,"Shen yn boayl share. Cha nel eh cooie dy ve magh, mooie.","That's the best place. It's not suitable to be out, out.",57,61.2,
JK,"Cha nel eh, cha nel eh cooie. Bee eh marroo mee neesht, dy bee magh ayns y feayght.","It isn't, it isn't suitable.  It will kill me too, to be out in the cold.",60.8,68.2,
WR,"Oh, bee eh, bee eh, bee. Oh fuirree derrey vees yn arragh ayn.  Fuirree ...","Oh, it will, it will, yes. Oh wait until the spring is here. Wait ...",69,77,
JK,C'red?,What?,75.9,77.1,
