Manx,English,Diplomatic
"My charrrey deyr, ","My dear friend,","     My charrrey deyr, "
"     Ta mee feer wooisal diu son yn gioot ta shiu er choyrt dou. Ta mee yeerree dy ve booisal da Jee son e vyghin as e hurranse foddey as ooilley bannaghtyn yn vea shoh. Cha vel mee scrieu monney nish, Gaelg ny Baarle son ta my laue craa ny cheayrtyn as cha vel mee gennaght asslayntys erbee agh rheumatism ta mennick lhiettal mee voish rouaill myr ta mee yeearree. ","     I am very grateful to you for the gift you have sent to me. I want to be grateful to Gpd for his mercy and his long suffering and all the blessings of this life. I don’t write much now, Manx or English, because my hand shakes sometimes and I don’t feel any physical disability at all except rheumatism that often prevents me from roaming as I want.",ta mee feer wooisdyl diu son yn gioot ta shiu er churt dou Ta mee yeerree dy ve boisdyl da jee son y vyghyn as y hurrans foddey as ooilley bannaghtyn yn vea shoh Cha vell mee scrieu monney nish gaelg ny baarle son ta my lau chra ny cheayrtyn as cha vell mee gennagh aaslayntys erbee agh rhumatish ta mennick lettal mee voish rouaill myr ta mee yeearree 
     Ta mee faagit ny lomarcan jiu. Ta my Vac ersooyl marish Brigad ny Guillyn er gys oirr yn cheayn as s’arryltagh va mish er goll maroo dy akin yn cheayn cheayrt elley. ,     I am left alone today. My son has gone with the Boy’s Brigade to the seaside and how keen I was on going with them to see the sea another time. ,Ta mee faagyt ny lomyrkyn jiu ta my Vac ersooyl marish brigad ny gyllyn er gys ooyr yn cheayn as saaraltagh va mish er gholl maaroo dy akin yn cheayn cheayrt elley 
"     Ta red goll rish margey er ve ayns shoh rish laghyn as ta ymmodee sleih voish ny baljyn beggey mygeayrt er ve geiyrt er yn ommijys oc. Cha vel eh jannoo cosney da veg jeh’n sleih ayns shoh agh da fer yn thie oast, as ren yn fliaghey çheet noi oc son te er ve fliugh as feayr slane yn vee as cha row Mee Voaldyn monney share.","     There has been something like a market here for days and many people from the villages around have been following their foolishness. It doesn’t profit any of the people here, except for the innkeeper, and the rain came against them (it rained on them), because it has been wet and cold the entire month and May wasn’t much better.",Ta red gholl rish mergey er ve ayns shoh rish laghyn as ta ymmydee sleih voish ny baljyn beggey mydeayrt er ve giyrt er yn ommyjes ock cha vell eh jannoo costney da veg jeh’n sleih ayns shoh agh da fer yn thie oast as ren yn flaghey cheet noi ock son te er ve fluigh as feayr slane yn vee as cha row mee vauldyn monney share. 
     Cha vel naight noa erbee aym dy insh diu agh dy vel my inneen as e mec ooilley er gheddyn obbyr ayns Canada as jannoo mie. ,     I don’t have any fresh news to tell you except that my daughter and her sons have all found work in Canada and doing well.  ,cha vell naught noa erbee aym dy ensh diu agh dy vell my inneen as y meck ooilley er gheddyn obbyr ayns Canada as jannoo mie
     Ta mee yeearree dy jean shiu cooinaghtyn mee gys Fer-lhee Clague tra nee shiu meeitteil eh. Cha vel fer erbee elley ta mee smooinaght briagh mychione aym nish.   ,     I beg that you will remember me to Doctor Clague when you meet him. There’s nobody else at all I think is asking about me now. ,Ta mee yeearree dy jean shiu cooinaghtyn mee gys Ferlhee Clague tra nee shiu meeitteil eh cha vell fer erbee elley ta mee smooinaght bryagh mychione aym Nish 
"     Çhyndaa booise diu son yn gioot shoh reesht, ta mee cur jerrey er yn scrieuyn as tannaghtyn nyn shirveishagh arryltagh,","     Returning thanks to you for this gift again, I conclude the letter and remain your willing servant,",chyndaa booise dieu son yn gioot shoh reesht ta me cur jerrey er yn scrieuyn as tannaghtyn nyn sirveishagh arryltagh
          Edward Faragher,     Edward Faragher,          Edward Faragher
,,
,,
,,
,,
,,
,,
,,
,,
,,
