Manx,English,Diplomatic
As shen ta mee er screeu rish ymmydee bleintyn as ta mee er stroie ymmydee jeh ny arraneyn ommyjagh ren mee screeu ayns laghyn my aegid. ,And that is what I have written for many years and I have destroyed many of the stupid songs I wrote in the days of my youth. ,As shen ta mee er screeu rish ymmydee bleintyn as ta mee er stroie ymmydee jeh ny arraneyn ommyjagh ren mee scrieu ayns laghyn my aigyd. 
"     Ta ny joarreeyn Albinagh jannoo magh dou dy re Albinagh mee as dy re Farquhar yn sliennoo aym. Ny-yeih cha nel eh monney madyr dou, cre ta’n sleih coontey mee. Ta my vea er ve seaghnagh dy mie ayns traaghyn; myr laa arree dy frassyn as grian. ","     The Scottish strangers make out that I’m a Scotsman and that Farquhar is my surname. Yet, it doesn’t matter much to me. My life has been well sorrowful at times; like a spring day of showers and sun. ","Ta ny joarreeyn olbynagh jannoo magh dow dy re olbynagh mee as dy re Farquhar yn slenue aym. Ny-yeih cha e monney maadyr dow, cre ta’n sleih coontey me. Ta my vea er ve seaghnagh dy mie ayns traghyn mor laa arree dy frassyn as ghrain. "
"     Ta mee gholl yn çhiaghtyn shoh çheet, my vees ooilley dy mie, dy gheddyn yn baatey aarloo son dy gholl gys Crookhaven. Ny-yeih veagh eh lane taitnysagh dou, dy uirriagh eck y thie, agh cha voddym jannoo myr saillym hene, agh shegin dou strieu dy laboragh choud as ta Jee cur slaynt as niart dou.","     I’m going this next week, if all will be well, to get the boat ready for to go to Crookhaven. Yet it would be very enjoyable for me to stay at home, but I can’t do as I myself please, but I must try to work for as long as God gives me health and strength. ","ta mee gholl yn chaghtyn shoh cheet, mor veys ooilley dy mie, dy gheddyn yn baathey aarloo son dy gholl gys Crookhaven . Ny-yeih vagh e lane taitnysagh dow, dy uirriagh eck y thie, agh cha voddym jannoo mor sallym hene, agh shegin dow strieu dy laberagh choud as ta Jee cur slaynt as nhiart dow, "
"      Cha vel fys aym ren shiu rieau clashtyn skeeal y vannan geurey. Ren mee scrieu eh da Roeder as t’eh printit ayns yn lioar echey ayns Gaelg, agh cha vel eh ooilley kiart, te feer ghoillee dy scrieu red ta doobley whilleen filley. ","     I don’t know if you ever heard the tale of winter kid. I wrote it for Roeder and it is printed in his book in Manx, but it isn’t all correct, it’s very difficult to write a thing that is doubling so many folds (complicated). ","cha vel fyss aym ren shiu rieu chlashtyn skeeal y vannan geurey. ren mee scrieu eh da Roeder as te printyt ayns yn lhoar eck eh ayns galg, agh cha vel eh ooilley kiart, te feer ghollee dy scrieu red ta doobley whellyn filley. "
     Ta’n geurey shoh er ve feer fowanagh as cha vel yn earrish monney share foast. Ny-yeih ta me jerkal dy bee earrish vie ain ayns Crook lurg wheesh dy gheay as dy fliaghey. ,"     This winter has been very damp, and the weather isn’t much better yet. Still, I am expecting we’ll have good weather in Crook after so much wind and rain. ",Ta’n geurey shoh er ve feer fowanagh as cha vel yn earish monney shyre foast. Ny-yeih ta me jerkal dy bee earrish vie ain ayn crook lurg wheesh dy gheay as dy fliaghey. 
"     Bee ny Yernee booiagh dy liooar dy akin shin reesht. Agh cha vel monney graih ainyn er fakin adsyn, ga dy vel paart jeu deiney mie, agh ta ymmodee jeu mitçhooaragh. Ta mee hene goit feer vie ec paart jeu, er coontey ny arraneyn ta mee dy scrieu, agh cha vel ad dy ve treishtit, ga dy vel ad cha brynnagh lesh yn çhengey, cha vel yn cree marish yn çhengey ec dy chooilley hraa.","     The Irish will be pleased enough to see us again. We aren’t so enamoured with seeing them, although some of them are good men, but many of them are mischieveous. I am considered very well by some of them, on account of the songs that I write, but they aren’t to be trusted, although they are flattering with the tongue, the heart isn’t with the tongue at all times.","Bee ny yerney boyagh dy looir dy akin shin reesht. Agh cha vel monney graih ainyn er fakin adsyn gha dy vel paart jiu dhoinney mie, agh ta ymmedee jiu mychooaragh. Ta mee hene goit feer vie eck paart jiu, er coontey ny arraneyn ta my dy scrieu, agh cha vel ad dy ve treishtyt, ga dy vel ad cha brinnagh lesh yn dhengey, cha vel yn chree marish yn chingey eck dy chooilley chra."
,,
Bee mayd faigaill reesht mannin veen,"We will leave dear Mannin again,",Bee mayd faigaill reesht mannin veen
Dy gholl gys cheeayr cheu elley’n cheayn,To go to a land on the other side of the sea,Dy gholl gys cheeayr cheu elley’n cheayn
Dy laboragh fud yerney chaie,To work amongst crazy Irish;,Dy laboragh fud yerney chaie
Gyn monney shee ny monney graih.,"Not much peace, or much love.",Gyn monney shee ny monney graih.
,,
Edwd Faragher,Edwd Faragher,Edwd Faragher
"Cregnaish,  Mash 8th 1899","Cregneash, March 8th 1899","Cregnaish,  Mash 8th 1899"
