English,Manx,Notes
TYNWALD COURT,,
"ST JOHN’S 6th July, 1914.",,
ABSTRACTS ,,
OF ACTS FOR PROMULGATION,,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",,
ABSTRACTS OF ACTS OF TYNWALD,,
"1.— THE LOCAL GOVERNMENT (LIGHTS ON VEHICLES) AMENDMENT ACT, 1914.","YN SLATTYS GURNEILYS YNNYDAGH (SOILSHAGHYN ER FAINEE) LHIASAGHEY, NUY CHEEAD YEIG AS KIARE-JEIG.",
The object and purport of this Act are to amend the law relating to lights on vehicles on highroads.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiassaghey yn leigh bentyn rish soilshaghyn er fainee er raadyn mooarey.,
"2.— THE CHILDREN ACT AMENDMENT ACT, 1913.","YN SLATTYS PAITCHYN LHIASAGHEY, NUY CHEEAD YEIG AS KIARE-JEIG.",
The object and purport of this Act are to extend the penalty imposed upon licence holders selling intoxicants to children or young persons to any servant or person in the employ of such holder.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey yn kerraghys soit er oasteyryn ta creek jough da paitchyn ny sleih aeg da sharvaant erbee ny peiagh ayns yn shirveish oc.,
"3.— THE CRIMINAL CODE AMENDMENT ACT, 1914.",YN SLATTYS LIOAR-OOLEE LHIASAGHEY. NUY CHEEAD YEIG AS KIARE-JEIG.,
The object and purport of this Act are to amend the law with respect to the misappropriation of property and offences against girls.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish jummalys er cooid ayns treisht as aggairyn noi inneenyn.,
"4.— THE GAME AMENDMENT ACT, 1914.","YN SLATTYS FEIEYS LHIASAGHEY, NUY CHEEAD YEIG AS KIARE-JEIG. ",
"The object and purport of this Act are to provide a penalty for persons acting in contravention of the Game Act, 1910.","Ta’n aigney as y chooish jeh’n Slattys shoh dy hoiaghey kerraghyn er sleih brishey ny kiarailyn jeh’n Slattys feieys, nuy cheead yeig as jeih.",
"5.— THE PEDLARS AND STREET TRADERS AMENDMENT ACT, 1914.",YN SLATTYS MYNGHELLAL AS TRAGHTEY AYNS STRAAIDYN LHIASAGHEY. NUY CHEEAD YEIG AS KIARE-JEIG.,
"The object and purport of this Act are to amend the Pedlars and Street traders Act 1906, as to the grant of certificates.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Mynghellal as Traghtey ayns Straidyn nuy cheead yeig as shey, choud as te bentyn rish fo-laueyn.",
"The Royal Assent to the foreoing Acts was given by His Majesty in Council at the Court at Windsor Castle on the 18th day of June, 1914.","Va’n cordail Reeoil currit gys ny Slattysyn roie soit magh liorish E Ard Ooashley ayns Coonceil ec y Quaiyl ec yn Cashtal Windsor er yn hoght-jeigoo laa jeh’n cheyoo vee, nuy-cheead yeig as kiaire-jeig.",
