Speaker,Manx,English,SubStart,SubEnd,Notes
?,[coughs],,1,2.5,
,,(indistinct) Let's get this ...,2.5,5,
WR,"Va'n recortys shoh jeant liorish Mainshter Juan Kneen, gaaue doo, Balley Laghey, er y feedoo laa jeh'n mee s'jerree yn geu-, yn geurey, 'sy vlein nuy keead yeig daa-yeig as daeed.","This recording was made by Mr John Kneen, blacksmith, Ballaugh, on the twentieth day of January, 1952.",9.5,22.5,
JK,"Feer vie. Ta shen, shen mie, (unclear) [?]gura mie ayd, ...[?]leshtal.","Very good. That is good, that's good, [?]thank you ... [?]excuse.",22.5,29,
WC,T'eh mie son loayrt yn Ghailck yn dooinney shen.,He's good at speaking Manx that man.,28.5,31.5,
JK,"Ta, ta dy jarroo.","Yes, yes indeed.",30,31.5,
DF,Ta.,Yes.,31.4,32.6,
WR,T'ou er reih laa braew grianagh son cur shilley er Rhumsaa ghooinney,You have chosen a fine sunny day for visiting here man.,33.5,37.5,
JK,Huh?,Huh?,37.5,38.2,
WR,T'ou er reih laa braew grianagh son cheet dys Rhumsaa.,You have chosen a fine sunny day for coming to Ramsey.,38.2,42,
JK,"Ta, v'eh laa feer mie. Va'n grian shonney ghooinney goll-rish v'eh ayns yn ...","Yes, it was a very good day. The sun was shining man like it was in the ...",42,51,
WR,Ayns yn tourey.,In the summer.,51,53,
JK,Ayns yn tourey.,In the summer.,53,54,
DF,Shen eh.,That's it.,54.2,55.6,
WR,"Cha bee yn, cha bee yn tourey feer foddey nish.",The summer won't be very long now.,55.5,58.2,
JK,Cha bee eh feer foddey.,It won't be very long.,58,60.1,
DF,Hmm.,Hmm.,60,61.2,
WR,Ny traaghyn ny share.,Better times.,60.5,62.2,
JK,"Bee shin geddyn daa vee elley harrish ghooinney, bee yn grian braew er y mullagh as bee shin geddyn earish cheh.","We will have two more months man, the sun will be fine at the zenith and we will be getting hot weather.",62.5,79,
WR,"Ta, bee yn grian gaase ny stroshey.","Yes, the sun will be getting stronger.",80,83.3,
JK,Bee. Dy chooilley laa.,Yes. Every day.,83.2,86.3,
DF,Mmm.,Mmm.,86.3,88,
WR,"Well, yn mee shoh ta cheet, v'ad gra va shen dy row yn mee shoh cheet toshiaght yn arragh.","Well, next month, they were saying that next month was the start of the spring.",89,97,
JK,Toshiaght yn arroo?,The start of the corn?,97,99,
WR,Yn arragh.,The spring.,99,100,
JK,Yn arragh?,The spring?,99.6,100.6,
DF,Hmm.,Hmm.,101,102,
JK,Cre ta shen?,What's that?,102,104,
WR,Toshiaght yn arragh.,The start of the spring.,104,105.9,
JK,Yn arragh?,The spring?,105.7,106.7,
DF,Hmm.,Hmm.,106.8,108,
JK,Vel eh?,Is it?,106.8,109,
WR,Lurg yn geurey ta'n arragh cheet.,After the winter the spring comes.,108.8,110.8,
JK,"Ta, ta'n arragh cheet, ta.","Yes, the spring comes, yes.",110.5,112.8,
DF,Hmm.,Hmm.,112.8,114,
JK,Ah shen.,Ah that.,118.5,120,
DF,Hmm.,Hmm.,120,122,
WR,Row oo rieau goll monney gys y traie dy geddyn gibbinyn?,Did you ever go much to the beach to get sand-eels?,122,126.6,
JK,"Oh va, tra va'n keayn goll magh.","Oh yes, when the sea was going out.",126.6,131.5,
WR,Cre'n traie v'ou goll huggey?,Which beach were you going to?,131.5,133.5,
JK,Dy geddyn yn ...? Yn fer geinnagh.,To get the ...? The sandy one.,133.5,140,
WR,Fer geinnagh? Shen yn ennym v'oc row?,The sandy one? That's their name for it was it?,139.7,144.3,
JK,Ta.,Yes.,142,143.5,
JK,C'red va'n ennym echey? Cha nel mish ...,What was its name? I can't ...,144,146.3,
WR,Gibbin?,Sand-eel?,146,147,
JK,Cha nel eh sheeanal Manninagh edyr.,It doesn't sound Manx at all.,147,150,
WR,Cha nel?,No?,150,151.2,
JK,Cha nel.,No.,151,152,
DF,"Hmm, hmm.","Hmm, hmm.",152.5,154.3,
JK,T'eh erm ... eelyn geinnagh.,It's erm ... Sand eels.,154,164.5,
WR,"Eelyn geinnagh, t'eh.","Sand eels, it is.",164.5,165.7,
JK,Eelyn geinnagh.,Sand eels.,165.7,167,
WR,"Ren oo rieau clashtyn yn 'ockle ""astan"" son ""eel""?",Did you ever hear the word 'astan' for 'eel'?,167,170,
JK,Astan?,Eel?,170,171,
WR,Astan.,Eel.,171,172.6,
JK,Ta.,Yes.,172.6,173.2,
WR,"My ta, ta, ta ushag ayn, coar-ny-hastan, y fer ta geddyn ny hastanyn ass ny dubbyn.","So yes, there's a bird, heron, the one that gets the eels out of the dubs.",173,180.5,
JK,She.,Yes.,180,181.4,
DF,Hmm.,Hmm.,181.4,182.4,
JK,"She, va coar-ny-hastan cheet er y traa son grian er y vullagh as t'eh goll mygeayrt ayns y jeeigyn ...","Yes, a heron would come at the time the sun was on the zenith and it's going about in the ditches ...",182,193,
WR,"Ayns ny jeeigyn, ta.","In the ditches, yes.",193.3,195.3,
JK,... as geddyn eelyn ass.,... and getting eels out.,195,204,
WR,"Cre'n traa, traie v'ou goll huggey?","What time, beach were you going to?",204,206.2,
JK,Huh?,Huh?,206.2,207,
WR,Cre'n traie v'ou goll huggey?,Which beach were you going to?,207,208.9,
JK,C'red thie?,What house?,208.8,210,
WR,Cre'n traie? Yn Gob Gorrym ny boayl erbee goll-rish shen?,Which beach? Blue Point or any place like that?,210.5,215,
JK,"Oh son y, son y ...","Oh for the, for the ...",215,217,
WR,Son yn eelyn geinnagh.,For the sand-eels.,216.5,218.5,
JK,"Aye eelyn geinnagh, oh, v'ad ooilley, v'ad ooilley er y traie voish, voish Kione Jurby dys Skylley Breejey.","Aye sand-eels, oh, they were all, they were all on the beach from, from Jurby Head to Kirk Bride.",218,232,
WR,Voish Kione Yurby dys Skylley Breejey?,From Jurby Head to Kirk Bride?,232.8,234.6,
JK,"Va, er y traie.","Yes, on the beach.",234.6,235.8,
DF,Hmm.,Hmm.,235.8,236.3,
WR,Boayl erbee.,Anywhere.,236.5,237.5,
JK,"V'ad goll as, as err, v'ad goll as cleiy ad ass yn thalloo, ass yn geinnagh.","They would go and, and err, they'd go and dig them out of the ground, out of the sand.",237,250.3,
DF,Hmm.,Hmm.,250.2,251,
WR,C'red v'ou tayrtyn ad lesh? Grep ny corran?,What were you catching them with? A dungfork or a sickle?,253,256,
JK,"Oh, va'n sleih va heese lesh v'ad goaill y corran as goll magh ayns yn ushtey, cullee [?]chiass/cass as [?]crimp dy [?]towse as v'ad giarrey, v'ad goaill ad ayns yn ushtey. V'ad abyl goaill lane doarn lesh yn corran ec un traa.","Oh the people who were down with it (i.e. knew how to do it) they were taking the sickle and going out in the water, [?]warm/feet gear and [?]crimping to [?]measure and they would cut, they took them in the water. They were able to take a fistfull with the sickle at one go.",256,282,
WR,Lane doarn ec yn un traa.,A fistfull at one go.,282.2,283.7,
JK,"Va. Un ?pluckal? va shin geddyn doarn as cur eh ayns yn, ayns yn vastag, v'ad err, kianglt dys y dreeym echey.","Yes. One [?]picking we got a fist(full) and put it in the, in the basket, they were tied to his back.",284,300,
,,,,,
JK,"Ginsh mygeayrt yn shenn reddyn v'ad gobbyr lesh, eh?","Tell about the old things they were working with, eh?",304,308,
