English,Manx,Notes
Slattyssyn 1901. MS D200,,
TYNWALD,,
"ST JOHN’S 5th July, 1901.",,
,,
ABSTRACTS,,
OF,,
ACTS FOR PROMULGATION.,,
,,
"BROWN & SONS, LIMITED, PRINTERS, DOUGLAS.",,
AN ACT TO AMEND THE LAW RELATING TO WESLEYAN METHODIST TRUST PROPERTY.,"SLATTYS COOID HREISHTEE SAASILAGH WESLEYANEE, NUY CHEEAD YEIG AS UNNANE (1901).",
"     THIS Act provides that, from and after its promulgation, all real property held upon any trust or trusts for Wesleyan Methodist purposes shall vest in the persons named in section 3 thereof and their survivors, as trustees, as if such persons were the grantees named in the deeds of conveyance thereof.","     TA’N Slattys shoh kiarail, roish as ny lurg vees eh er ny hoilshaghit magh, ooilley cooid firrinagh cummit er treisht ny treishtyn son cooishyn Saasilagh Wesleyanee bee[1] ayns ny persoonyn enmyssit ayns ayrn 3 jeh, as adsyn ta tan[2] cheet ny lurg, myr fir-hreishtee, myr dy bagh lheid ny persoonyn giootalyn enmyssit ayns screeuyn toyrtagh jeh.","[1] [bee] the verb here is in the wrong position as it should precede the subject, the dependent form should be used after [kiarail] — the expected word order would be ‘... dy bee ooilley cooid firrinagh ...’.
[2] ta tan] typo — [ta]."
"It also provides that all real property shall be discharged from the trusts contained in the deeds creating the same, and shall be held upon the trusts contained in the model deed, dated 3rd July, 1832, with the exception of the premises specified in the first schedule of the Act.","Te myrgeddin kiarail dy bee cooid firrinagh feayslit voish ny treishtyn enmyssit ayns ny barganyn-scrueee[3] jannoo yn lheid cheddin, as bee cummit er ny treishtyn enmyssit ayns y bargane screeuee caslys yn threeoo laa jeh’n sheyoo vee jeh, hoght keead yeig as daa yeig as feed (1832), magh voish ny boaylyn enmyssit ayns y chied rolley jeh’n Slattys.",[3] barganyn-scruee] barganeyn-screeuee
"Any property to be acquired after the promulgation of this Act shall vest in the persons now constituted trustees as joint tenants, and in the survivors or survivor of them. The Act provides for the appointment of new trustees, and for the discharge of any trustee who wishes to be discharged from such office.","Cooid erbee vys[4] feddynit lurg hoilshaghey[5] magh jeh’n Slattys shoh bee ayns ny persoonyn ta nish goit dy ve fir-hreishtee as tannysn-parteeasagh[6] as ayns adsyn ny eshin[7] ta cheet ny lurg. Ta’n Slattys kiarail son oardaghey jeh fir-hreishtee noa, as son dy eaysley jeh fir-hreishtee erbee ta yeearee dy ve eaysleyit[8] voish lheid yn oik.","[4] vys] vees
[5] hoilshaghey] —soilshaghey (lenition uneccessary)
[6] tannysn-parteeasagh] tannysyn-parteeasagh
[7] Eshin] eshyn
[8] eaysleyit] feayslit (lenition uneccessary)aa"
"A memorandum of the appointment or discharge of a trustee shall be made in such of the forms provided in the second schedule to the Act as may be applicable, and shall be executed by the chairman of the meeting making such appointment, &c., in the presence of such meeting, attested by witnesses and registered as a deed.","Bee cowrey cooinaghtyn jeh yn oardagh ny yn eaysley jeh fir-hreishtee ayns lheid ny chummaghyn kiarailit ayns yn nah rolley-cooid gys y Slattys as foddee ve cooie, as ve cooilleenit liorish y dooinney stoyl-grommey[9] jeh yn chaglym-cooidjagh jannoo lheid yn oardagh, &c., as myr shen ayns enish jeh lheid y veeteil, ymmyrkey liorish fenishyn as recoyrtysit myr bargane-screeuee.",[9] stoyl-grommey] stoyl-drommey
"     The Royal assent to this Act was given by His Majesty in Council, at the Court at Saint James’s, on the 13th day of May 1901.","     Va’n cordail Reeoil gys y Slattys shoh currit Liorish E Ard Ooashley ayns Coonseil, ec y Quaiyl yn Noo Yamys, er y threeoo laa yeig jeh’n queigoo vee nuy cheead yeig as unnane (1901).",
"THE ELEMENTARY SCHOOL TEACHERS (SUPERANNUATION) ACT, 1901.","YN SLATTYS FIR-YNSEE JEH SCHOILLYN-HOSHEE (FAAGAIL-OIK), NUY CHEEAD YEIG AS UNNANE (1901).",
An Act to make Provisions in respect of Superannuation and other Allowances to Elementary School Teachers.,Slattys dy jannoo kiarail mychione Faagail-oik as Lowansyn elley da Fir-Ynsee jeh Schoillyn-hoshee.,
