English,Manx,Notes
Annual Review 2023-24 of the Manx Heritage Foundation trading as Culture Vannin.,Tuarastyl Vleinoil 2023-24 Undinys Eiraght Vannin ta dellal fo’n ennym Culture Vannin.,Title page
Incorporating the report of the Gaelic Broadcasting Committee,Goaill stiagh tuarystal y Ving Ymskeaylley Gaelgagh,
"Culture Vannin is the trading name for the Manx Heritage Foundation, registered charity 333 in the Isle of Man","She Culture Vannin ennym dellal Undinys Eiraght Vannin, sheshaght-yiastyllagh recortyssit 333 ayns Ellan Vannin",
www.culturevannin.im,www.culturevannin.im,
Our Year in Numbers,Yn Vlein Ain ayns Earrooyn,
April 2023 – March 2024,Averil 2023 – Mart 2024,
CONTENTS,COOISHYN Y TUARASTYL,Contents page
SOME THOUGHTS FROM OUR CHAIR,SMOOINAGHTYN YN CHAAIRLIAGH AIN,
WHO WE ARE AND WHAT WE DO,QUOI SHIN AS CRE TA SHIN JANNOO,
DEVELOPMENT WORK HIGHLIGHTS,OBBYR-LHIASEE SMOO IMRAAGH,
CELEBRATING OUR COMMUNITY’S VOICES,JANNOO MOOAR JEH CORAAGHYN Y PHOBBLE AIN,
HIGHLIGHTS FROM GRANTS,TORTYSSYN SMOO IMRAAGH,
GAELIC BROADCASTING COMMITTEE REPORT,SKEEAL BLEINOIL Y VING YMSKEAYLLEY GAELGAGH,
RBV AWARDED TO ADRIAN CORKILL,RBV ER NY CHUR DA ADRIAN CORKILL,
Some thoughts from our Chair,Smooinaghtyn y Chaairliagh ain,
"Hon Chris Thomas MHK, Caairliagh","Onn. Chris Thomas OKF, Caairliagh, Culture Vannin",
The full Chair’s Statement can be found in the Annual Financial Statements.,Ta slane Coontey yn Chaarliagh ry-gheddyn ayns ny Coontaghyn Argidoil Bleinoil.,
"This year, more than ever, we have been conscious of our role in supporting our cultural community. We have always worked collaboratively in ways that are of benefit to the whole Island. We’ve spent time reflecting on our core values: preserving, maintaining and developing a dynamic Manx culture, being proactive and focused, and acting with integrity.","Myleeaney, ny smoo na rieau roïe, ta shin er ve tastagh er-lheh jeh nyn gurrym dy chur cooney da’n phobble cultooroil ain. Ta shin dy kinjagh er n’obbragh marish sleih elley er aghtyn ta vondeishagh da’n slane Ellan. Ta shin er cheau nyn draa smooinaghtyn reesht er ny bun-chredjueyn ain: freayll, cummal seose as bishaghey cultoor Manninagh breeoil, gobbragh dy gastey dy chooilleeney nyn obbyr, as jannoo nyn obbyr er aght ynrick.",
"We support Manx culture that is inclusive and accessible, and we want to make that sustainable – both in terms of environmental impact and sustainability of culture for future generations.","Ta shin cur er e hoshiaght Cultoor Manninagh ta goaill stiagh as ta foshlit da dy chooilley pheiagh, as ta shin geearree jannoo shickyr fondid farraghtyn yn obbyr shoh – chammah er aght nagh vel jannoo jeeill da’n theihll mygeayrt-y-mooin as er aght vees cur cultoor stroshey da ny sheelogheyn ta ry-heet.",
"Development work by our small but talented team of officers covers online and educational resources, music and dance, and the Manx language. Our online reach is staggering – our YouTube channels have enjoyed 4.7 million views, and we have over 20,000 Facebook likes and group members across our accounts.","Ta obbyr lhiasee vooar jeant liorish y skimmee beg agh aghtal ain dy offishearyn, ta goaill stiagh cooid-ynsee as cooid er-linney, kiaull as daunsin, as y Ghaelg. Ta’n earroo dy leih ta shin roshtyn er-linney mooar erskyn credjue – ta ny ammyryn YouTube ain er n’gholl er fakin 4.7 millioon keayrt, as ta ny shlee na 20,000 dy laikyn as olteynyn-possan ain ooilley-cooidjagh ayns ny coontyssyn ain.",
"Our grant awards showcase community projects of great diversity and value. We support everything from book and music projects to research trips, and international performances, all of which inform, educate, broaden horizons, and in turn enrich our culture and nation.","Ta ny toyrtyssyn argidoil ain cur er e hoshiaght ymmodee keint dy haleeyn mastey’n phobble ta jeh feeuid mooar. Ta shin cooney lesh dy chooilley cheint dy red, veih shaleeyn lioar as kiaull gys turryssyn ronsee, as cloieyssyn eddyr-ashoonagh, red erbee ta cur dooin fys noa, ny lheanaghey yn tushtey ain jeh’n theihll, as myr shen ta jannoo yn cultoor as ashoon ain foddey s’berchee.",
"Innovative new projects show the confidence of our cultural community, and help to reach new audiences.","Ta shaleeyn crootagh noa soilshaghey magh niart as credjue yn phobble cultooroil ain, as t’ad cooney lesh roshtyn eaishtaghtyn noa.",
"We are particularly delighted to be able to support volunteer-run festivals – we cannot hope to count each volunteer hour that amplifies every pound we award, but we know that the impact is great.","S’taittin lhien er-lheh dy vod shin cur cooney da feaillaghyn t’er ny roie liorish arryltee – s’goan oddysmayd coontey ny ooryn dy obbyr jeant liorish dagh arryltagh ta mooadaghey dagh punt currit ain, agh ta fys ain dy vel yn argid feer scanshoil daue.",
"One of our major frustrations, though, is that our funds are so limited. Demand for grants always exceeds what we are able to award.","She oyr mee-haitnys vooar dooin, ny yei, nagh vel rieau argid dy liooar ain. Ta aghinyn son toyrtyssyn dy kinjagh foddey smoo na’n argid oddys shin cur magh.",
"In this financial year, we received applications totalling more than £150,000 and were able to fund just over £67,000, and only then by drawing on our grants reserve to extend the annual budget.","Sy vlein argidoil shoh, hooar shin aghinyn ooilley-cooidjagh son ny smoo na £150,000 agh cha dod shin cur magh agh £67,000, as eer shen v’eh orrin tayrn er stoyr-argid ny toyrtyssyn ain dy vooadaghey yn budjad bleinoil.",
"How many exciting projects are lost due to not enough money being available for Manx culture? Donations to the charity are valuable, but we know that we could easily extend our reach and impact with more core funding available.","Cre whilleen shalee yindyssagh ta caillt er y fa nagh vel argid dy liooar ry-gheddyn son cultoor Manninagh? S’foayssagh ta toyrtyssyn dys y cheshaght-yiastyllagh ain, agh ta fys ain dy voddagh shin dy aashagh roshtyn tooilley sleih as cooilleeney eer ny smoo dy beagh ny smoo argid lottit dooin jeeragh liorish y reiltys.",
"We are now looking to the sustainable future of our cultural centre, which houses not only our offices and our Tynwald and Manx culture exhibitions, but also teaching and workshop spaces used by community and youth groups during evenings and weekends.","Ta shin nish jannoo shickyr traa ry-heet farraghtagh son yn ynnyd cultooroil ain, ta cummal cha nee ny lomarcan ny offishyn ain as taishbynyssyn Tinvaal as cultoor Vannin, agh myrgeddin ny reamyssyn son ynsagh as keirdlannyn ta ymmydit liorish possanyn pobble as sleih-aegey ayns ny fastyryn beggey as ec ny jerraghyn-shiaghtin.",
"In February, we supported Isle of Man Government’s commitment to the Manx language when the Council of Europe’s Committee of Experts visited the Island to assess compliance with the Charter for Regional or Minority Languages.","Ayns Toshiaght-Arree, ren shin cummal seose yn obbyr ta Reiltys Vannin er n’ghoaill ayns laue dy vishaghey yn Ghaelg tra haink Bing Tushtee Coonceil yn Oarpey dys yn Ellan dy hessal biallys da’n Chonaant son Glaraghyn Ardjynagh ny Myn-Ghlaraghyn.",
"We were able to speak about our work with adult education, translations, broadcasting, advocacy and community engagement, as well as our work with Jeebin, the Manx Language Network. We now look forward to the Year of the Manx Language in 2026.","Va shin abyl loayrt mychione yn obbyr ain gynsaghey sleih-aasit, chyndaays, scaalheaney, cur fys da as geddyn cooney yn theay, chammah’s yn obbyr ain marish Jeebin, y forum co-oardee son y Ghaelg. Ta shin jeeaghyn roin nish dys Blein ny Gaelgey ayns 2026.",
"Confidence in the future of Manx culture is epitomised in the Manx Folk Awards, which we organise each year in conjunction with the Department of Education, Sport and Culture.","Ta sampleyr mie jeh credjue ayns traa ry-heet cultoor Vannin ry-gheddyn ec Aundyryn Kiaull Theay Vannin, ta reaghit ain dagh blein marish y Rheynn Ynsee, Spoyrt as Cultoor.",
