Manx,English,Diplomatic,Notes
"Skee jeh rouail mygeayrt yn thie,","Tired of roaming around the house,",Skee jeh rowaill mygeayrt yn thie,
"’S jeh dagh obbyr skee dy mie,","And of each job, well tired,",S jeh dagh obbyr skee dy mie,
"As skee dy liooar jeh scrieu as lhaih ,","And tired enough of writing and reading,",As skee dy lioor jeh scrieu as lheih ,
"Agh skee gyn jannoo veg ny yeih,",And tired although not doing anything.,Agh skee gyn jannoo veg ny yeih,
Son tra ta shin eisht feer siyragh goll;,For when we are then very hastily going;,Son tra ta shin esht feer siragh gholl,
"Rouail as ronsagh, keayrt ny ghaa,","Roaming and searching, many a time,",Rouaill as runsagh cheayrt ny gha,
Son red ennagh dy cheau yn traa.,For something to spend the time.,Son red ennagh dy cheau yn tra,
"My yuntyn ta gaase shenn as croie,","My joints that are getting old and hard,",My yontyn ta gaase shen as croi,
Va cliaghtey shooyl fud conney freoaie.,Used to walk through heather.,Va claghtey shooyl fud conney fraih,
"Nish ta my chassyn trome as shenn,","Now my feet are heavy and old,",Nis ta my chassyn throme as shen,
"As laa lurg laa gyn monney gien,","And day after day without much cheer,",As laa lurg laa gyn monney gien,
"T’an ghrain goll siyragh gys yn sheear,","The sun goes hastily to the West,",T’an ghrain goll siragh gys yn sheer,
As nish ta’n seïhll gaase doo as keear.,And now the world grows black and dark.,As nish tan seïhll gaase dhoo as keer,
"Laghyn my aegid ta ersooyl,","The days of my youth are gone,",Laghyn my aagid ta ersooyl,
"Agh ta mish foast faagit ny chooyl,","But I am still left behind, ",Agh ta mish foast faagyt ny chooyl,"ny chooyl— Cregeen gives ‘behind, aback’ without object pronoun, although this is unattested and ‘nyn gooyl’ would be expected (in agreement with ‘laghyn my aegid’). "
"My henn chomraagyn ta er ve,","My old friends that have been,",My chen comraagyn ta er ve,
Cloie mârym er yn thalloo rea.,"Playing with me on the flatland,",Cloie maarym er yn thalloo rea,
Ta nish ny lhie ec fea sy joan,"Are now lying at peace in the dust,",Ta nish ny lhie eck fea sy joan,"ny lhie— lying, plural form ‘nyn lhie’ would be expected here, but as elswhere in Ned Beg’s work, and as was the common late nineteenth century practice, rather than conjugating such constructions the third person singular is used as a general form. "
As ta mish farkiaght er-e-hon.,And I am waiting for it.,As ta mish farkagh er y hon,
"Un chousan ta nish spaarit bio,","One cousin that is now spared, alive,",Un cousan ta nish spaaryt bio,
"Nish mârym hene dy hroailt ayns shoh,","Now, with myself, to traverse here,",Nish maarym hene dy chroilt ayns shoh,
"As bee nyn mea dy leah ec kione,","And our lives will soon be ended,",As bee nyn mea dy lheay eck kione,
Dy gherrid cha (bee) unnane ain ayn.,"Soon, not one of us will exist.",Dy gherryd cha unnane ain ayn,
"Son nish cha voddym goll mygeayrt,","For now I cannot go around,",Son nish cha voddym gholl mygeart,
"Shooyl er ny croink myr va mee keayrt,","Walking on the hill as I once did,",Shooyl er ny croink myr va mee cheayrt,
"Ga ta mee shirrey dy ve goll,","Although I am looking to be going,",Gha ta mee shirrey dy ve gholl,
As mennick rouail noon as noal.,And often wandering to and fro.,As mennick rouaill noon as noal,
