English,Manx,Notes
Some words from our Chair,Goan y Chaairliagh,
I think the greatest strength we have shown as a charity and cultural organisation over the past year is the ability to adapt our ideas and approach to the benefit of our cultural community and the Isle of Man more widely.,Ta shin er hoilshaghey y vlein shoh kys oddys y cheshaght yiastyllagh cultooroil ain caghlaa ny saaseyn as smooinaghtyn ain dy yannoo vondeish da’n cho-phobble cultooroil as yn Ellan hene.,
"The past year has proved complicated but productive, as we have had to reassess our priorities and embrace new ways of working in light of the continuing global pandemic.","Ta’n vlein shoh er ve doillee agh speeideilagh, as ta shin er ve eginit dy ghoaill aa-smooinaghtyn er cre ta scanshoil dooin, as goaill orrin dy obbragh ayns aghtyn noa kyndagh rish y pandemic ta foast goaill niart sy theihll.",
Our #treisht2020 scheme demonstrates this ability to pivot.,Ta’n scheme #treisht2020 ain soilshaghey kys ta shin dy fondagh er n’yannoo shoh.,
"We reported on these innovative small projects initially last year, but all are now complete and online as resources and tutorials for current and future generations to enjoy: www.culturevannin.im/resources/treisht-2020-projects-647532/.","Dimraa shin ny shalleeyn beggey croodagh shoh nurree, as nish t’ad ooilley cooilleenit as ry-gheddyn er-linney dy vod ny sheelogheyn ta ry-heet goaill taitnyss ayndoo: www.culturevannin.im/resources/treisht-2020-projects-647532/.",
"The projects showed most clearly the importance of culture, heritage and the arts to people’s sense of wellbeing and identity, to a sense of future hope, and they supported the Island’s creative community and industries at a time when they needed to pull together.","Ren ny shalleeyn shoh soilshaghey dy baghtal cre cha scanshoil as ta cultoor, eiraght, as ny hellynyn da maynrys as enneeaght sleih, as da’n treishteil oc sy traa ry-heet. Ren ad cummal seose y co-phobble croodagh tra smoo va feme oc er.",
"A highlight within the year was the work of our graduate intern, Sarah Mercer, who brought climate change, Biosphere and Manx culture into dialogue with her family-friendly web-based app, Manannan’s Charms.","Va shallee feer chronnal y vlein shoh jeant liorish y graduate intern ain, Sarah Mercer, ren sniemmey cooidjagh caghlaa-emshyraght, Biosphere, as cultoor Manninagh ayns app er-linney ta cooie da’n slane lught-thie, Manannan’s Charms.",
"She also created ‘Island Utopias’, a film where words from interviews about climate change and the reaction to Covid-19 were combined with time-lapse video of artwork and a new musical score which itself drew inspiration from Manx tunes.","Chroo ee ‘Island Utopias’ neesht, film ayn ta focklyn veih quaaltyssyn mychione caghlaa-emshyraght as Covid-19 currit marish time-lapse video jeh caslyssyn ellynagh, lesh kiaull noa ta soit er carryn Manninagh.",
The result was a beautiful and thoughtful film which premiered in September: https://vimeo.com/465838450.,"She film aalin as smooinaghtagh t’ayn, haink magh ayns Mee Veanagh yn Ouyr: https://vimeo.com/465838450.",
It was also nominated for a Torc Award in the Arts category at the 2021 Celtic Media Awards.,V’eh er ny voylley son Torc Award ayns rheynn Ellynagh yn Feailley Media Celtiagh ayns 2021.,
Members of the Board always welcome the chance to support Manx culture and cultural heritage through the award of grants and underwriting.,Ta olteynyn y ving dy kinjagh booiagh son caa dy chummal seose cultoor Manninagh as eiraght cultooroil liorish cur magh toyrtyssyn as raanteenyssyn.,
"The range of applications always astonishes us, and we are happy to support festivals and events, book and research projects, the Manx language community, online engagement, and so much more.","Ta shin dy mennick goaill yindys ec yn chaghlaa dy hirraghyn ta shin geddyn, ta goaill stiagh feaillaghyn as taghyrtyssyn, lioaryn as aa-ronsaghey, y co-phobble Gaelgagh, cooishyn er-linney, as reddyn elley.",
"We were particularly impressed by the ability of some of the festivals and events to adopt a blended approach, online and physical.",Va yindys orrin dy akin yn aght schleioil ren paart jeh ny feaillaghyn as taghyrtyssyn shoh mestey cooishyn er-linney as ayns-persoon.,
"Worthy of particular mention are the volunteer committee of Yn Chruinnaght Celtic Gathering, who were able to bring the community together in much-needed live events during the break between lockdowns, whilst delivering a demanding online programme featuring all of the Celtic nations.","Sheeu imraa er-lheh y yannoo jeh bing arryltagh y Chruinnaght Celtic Gathering, ren lhiggey da’n cho-phobble cheet cooidjagh lesh taghyrtyssyn bio eddyr traaghyn fo-ghlass, choud’s livrey claare dy haghyrtyssyn er-linney ren goaill stiagh ny hashoonyn Celtiagh ooilley.",
"We supported important publications such as Narrow Road to the Deep South, which uses poetry to reflect on the historical landscape, and Manx folklore comics featuring the stories of Manannan took the Manx message to new audiences.","Ren shin cummal seose cloughyn scanshoil lhied as Narrow Road to the Deep South, ta goaill smooinaghtyn er y thalloo sy traa t’er n’gholl shaghey trooid bardaght, as comicyn mychione far-skeealyn Manninagh ren cur lhieu ny skeealyn shoh dys sleih noa.",
"Community events such as Hop tu Naa at Jurby were popular and accessible, and online engagement such as the Manx Mondays videos by a talented fiddler and Manx speaker, had an international reach.","Va taghyrtyssyn sy cho-phobble lhied as Hop tu Naa ayns Jurby feer roshtynagh as dy mooar soit jeu, as ren ny videoyn Manx Mondays liorish fiddleyr as loayreyder Gaelgagh feer schleioil roshtyn sleih ayns ymmodee cheeraghyn elley.",
"We were also delighted to be able to support the Manx language community in a wide range of projects from academic research into Manx sermons from the archives to support for Mooinjer Veggey pre-schools, Pobble’s adult immersion weekend, and a Manx pronunciation guide which will make academic research accessible to adult learners and secondary students.","Va shin booiagh dy chummal seose y co-phobble Gaelgagh lesh caghlaa dy halleeyn, goaill stiagh aa-ronsaghey academagh mychione sharmaneyn ayns Gaelg, ro-schoillyn Vooinjer Veggey, jerrey-shiaghtin thummeydagh v’er ny chummal liorish Pobble, as lioar-oayl fockley-magh ta kiarit son ynseyderyn aasit as studeyryn ard-schoill.",
"We made extra efforts to support our cultural community through the disappointment of cancelled and postponed events and projects, and hope to see them return in future, stronger than ever.","Va shin er-lheh aggindagh dy chur chooney da’n cho-phobble cultooroil lurg da taghyrtyssyn as shalleeyn ve scryssit ny currit shaghey, as ta shin treishteil dy jig ad er-ash ny stroshey na v’ad roïe.",
It is because our development officers work in partnership with our cultural community that our work has such a powerful impact.,Ta’n obbyr ain cha breeoil son ta nyn offishearyn gobbragh ayns parteeys marish y cho-phobble cultooroil.,
"We aim to focus on facilitation, encouragement and support rather than trying to deliver everything ourselves.","She dy chummal seose as dy ghreinnaghey, as cha nee dy yannoo dy-chooilley red shin hene ta’n ny ard-oyryn ain.",
The Cooish Manx language festival was a great example of this.,Va’n Chooish sampleyr mie jeh shoh.,
"In a world where we talk about the need for a genuine sense of community and connection, the Kiaull Manninagh Jiu Manx music and dance e-newsletter does the remarkable job of creating just that, not only for the Island’s musicians and dancers, but also internationally, sharing events, information, resources, and research.","Ny laghyn shoh ta shin loayrt mychione y feme rish ennaghtyn co-phobble fondagh, as ta screeuyn-naight er-linney Kiaull Manninagh Jiu cooney lesh croo eh, cha nee ynrican son kiaulleyderyn as daunseyryn ayns Mannin, agh ayns cheeraghyn elley neesht. T’eh cur fys mychione taghyrtyssyn, fysseree, as aa-ronsaghey.",
"Our online engagement as Culture Vannin is exceptional for such a small organisation, with huge reach, and so much of this is down to the passion and drive of our Online and Educational Resources Officer.","Ga dy vel Culture Vannin ny sheshaght-yiastyllagh feer veg, ta’n roshtyn ain er-linney mooar, as ta shoh ayns ayrn mooar kyndagh rish jeeanid as jeidjys yn Fer-oik son Cooid Er-Linney as Ynsaghey ain.",
"As the financial year drew to a close, officers began work on the mid-points of two strategies: the National Development Strategy for Culture and the Arts and the Manx Language Strategy, both of which require updates to their action plans in consultation with the community, as well as working partnerships with other Government funded bodies and Departments.","Myr va’n vlein argidoil tayrn gys jerrey, ghow ny fir-oik ain toshiaght dy obbraghey er ayrnyn meanagh daa Strateysh: Strateysh Bishaghey Ashoonagh son Cultoor as ny Hellynyn, as yn Strateysh son y Ghaelg. Ta claareeyn ta soieaghey magh cre shegin ve jeant cour y daa strateysh shoh feme ve caghlaait dy ghoaill stiagh yn fysserree s’noa lurg da coyrle v’er ny hirrey veih’n cho-phobble as parteeasyn-obbree eddyr rheynyn y Reiltys as co-heshaghtyn ta geddyn argid veih’n Reiltys.",
"In summary, the importance of culture, creativity and community has been amplified by the effects of the global pandemic.","Ayns focklyn giarrey, ta’n pandemic er n’yannoo cultoor, croodaght, as co-phobble eer ny scanshoil ny v’ad roïe.",
"Ensuring accessibility online and in real life, and representing the diversity of views within Manx culture and cultural heritage, will be key to our work more than ever.","Sy traa ry-heet, shegin dooin jannoo shickyr dy vel y caghlaays jeh cultoor as eiraght Manninagh er ny hoilshaghey magh dy fondagh, as dy vel eh jeant roshtynagh er-linney as ayns persoon.",
