Speaker,Manx,English,SubStart,SubEnd,Notes
WC,T'eh goll reesht ghooinney.,It's going again man.,1,5.5,
WR,Ta shin fo raad reesht.,We're under way again.,5.5,7.35,
WC,T'eh goll reesht.,It's going again.,7.35,8.5,
JK,Vel eh?,Is it?,7.6,8.4,
WC,Ta. Vel skeeal elley ayd?,Yes. Do you have another story?,8.4,11,
JK,Oh nee'm cur skeeal elley foast.,Oh I'll give another story yet.,11,14.1,
WR,Oh?,Oh?,14,15,
JK,"Vel, vel boayl erbee nee shin goll dy geddyn ...","Is, is there anywhere we will go to get ...",14.3,18,
WC,C'red?,What?,17,18.5,
JK,"Vel boayl erbee magh nee mee geddyn, lhune?","Is there anywhere I'll get, beer?",18.4,24,
WR,"Oh she, she.","Oh yes, yes.",23.5,24.7,
WC,"She, she. She.","Yes, yes, yes.",23.7,26,
,,,,,
DF,Shen yn red.,That's the thing.,26,27,
WC,C'red?,What?,27,28,
DF,(unclear) [?]cha nel boayl ayn dy hoie reesht.,(unclear) There's no where to sit again.,27.3,30,
WR,Soie nish as bee oo kiart.,Sit now and you'll be right.,30.5,32.8,
TB,Soie sheese ghooinney.,Sit down man.,32.5,34.2,
WC,Soie-shiu sheese dy cairagh.,Sit down properly.,32.6,34.7,
WR,Kiart eisht.,Right then.,34.7,37.5,
,,,,,
TB,Shen eh.,That's it.,39.5,40.5,
WC,Shen eh ghooinney.,That's it man.,40.5,41.7,
JK,Shen eh.,That's it.,41.6,42.7,
WC,She. T'eh ny share nish.,Yes. It's better now.,42.5,44.5,
DF,"T'eh goll, t'eh goll reesht.","It's going, it's going again.",43.5,46,
JK,Vel eh goll reesht?,Is it going again?,45.2,47.2,
DF,Oh ta.,Oh yes.,47,47.8,
JK,C'red nee oo gra as c'red nee oo loayrt er nish?,What will you say and what will you talk about now?,47.6,51,
WC,"Oh red ennagh,",Oh something.,51,53,
DF,Red erbee sailt ghooinney.,Anything you like man.,53,54.7,
WC,"Red erbee sailt ghooinney. Vel skeeal ayd, dy insh dooin?","Anything you like man. Do you have a story, to tell us?",54,59.7,
JK,"Well, c'red t'eh, c'red t'eh mygeayrt?","Well, what is it, what is it about?",59.7,62,
WC,Oh ...,Oh ...,62,63,
JK,"Mygeayrt ferrishyn, ny ...?","About fairies, or ...?",62.8,64.7,
WC,"Mygeayrt ny ferrishyn, she, tra haink ad dys y garey.","About the fairies, yes, when they came to the garden.",64.7,67.5,
JK,Vel oo laccal eh mygeayrt yn shenn reddyn?,Do you want it about the old things?,66,68.9,
WC,Mygeayrt ny ferrishyn.,About the fairies.,69.2,71.8,
JK,"Cummal yn margey ayns Skylley, ayns Balley Laghey?","Holding the market in Kirk, in Ballaugh.",72,76.3,
WR,She.,Yes.,76.4,77.5,
WC,Ta.,Yes.,76.4,77.5,
DF,Bee shen jannoo mie dy liooar.,That'll do ok.,77.7,79.7,
TB,Ta.,Yes.,79.7,80,
JK,"Well, feer vie.","Well, very good.",80,81.3,
DF,Uh hmm.,Uh hmm.,81.2,82,
JK,"Lhig ghooin, ... (unclear) [?]shuinyn.",Let's ... (unclear) [?]rushes,82,89.5,
WC,Oh?,Oh?,88.2,89.6,
?,[laughs],[laughs],88.9,90.5,
DF,Mmm.,Mmm.,90,92,
WC,Ren shiu rieau fakin ny ferrishyn ghooinney?,Did you ever see the fairies man?,95,98.4,
JK,"Oh, ta mee er fakin paart jeh ad.","Oh, I have seen some of them.",98.3,100.5,
WC,Vel?,Have you?,100.2,101,
JK,Ta.,Yes.,101.2,102.6,
WC,"Ferrishyn, dy jarroo?","Fairies, indeed?",101.2,103.6,
DF,Kys foddey er dy henney?,How long ago?,103.4,106,
JK,"(unclear) Oh, well, er lhiam dy row agh ...","(unclear) Oh, well, I think it was but ...",106,109,
DF,Tammylt liauyr nish vel eh?,A long while now is it?,108.8,112,
JK,"Oh, bee mee, ayns Balley Laghey ren mee fakin ad.","Oh, I'll be, in Ballaugh I saw them.",111.5,116.1,
WC,Ren?,Did you?,116.3,117,
DF,Oh nee?,Oh is it?,117,118,
JK,Ayns yn curreenyn [curraghyn].,In the Curraghs.,117.7,119.3,"Bible, Kelly and Cregeen have pl. 'curreeyn'. Curragh = a marsh."
WR,Cre'n boayl ren oo fakin ad? Er y claddagh?,What place did you see them? On the Claddagh?,119,123.1,"Claddagh = a shore, low uncultivated land that lies on a river. ""Yn Claddagh"" is in Sulby."
JK,"Er y, er y chladdagh?","On the, on the Claddagh?",123,125.2,
WR,Hmm.,Hmm.,125.2,126,
JK,"Oh, ayns Balley Laghey.","Oh, in Ballaugh.",126,128.7,
WR,Ayns Balley Laghey.,In Ballaugh.,128.2,130,
JK,"Curraghyn, ayns y curraghyn.","Curraghs, in the curraghs.",128.8,132,
WR,Ayns ny curraghyn?,In the Curraghs?,130,132,
JK,She.,Yes.,132.1,134,
WR,Uh huh.,Uh huh.,133.1,135.5,
WC,Uh huh.,Uh huh.,133.1,135.5,
JK,Voish yn lheeanee.,From the meadow.,135,138,
WR,C'raad haink ad?,Where did they come?,137.9,141,
JK,"V'ad ... ram jeh ad ayn, ","They were, there were lots of them.",141,147.4,
WC,Row?,Were there?,147.3,148.2,
JK,Va.,Yes.,148,149,
WC,Oh. As cre'n sorch dy eaddagh v'oc?,Oh. And what sort of clothing did they have?,149,153.1,
JK,"Oh, v'ad, err, cooat jiarg as breechyn gorrym.","Oh, they were, err, a red coat and blue breeches.",153,160.2,
WC,Dy jarroo ghooinney?,Indeed man?,160.2,161.3,
JK,She.,Yes.,161.2,162.8,
DF,"Breetchyn gorrym, row?","Blue breeches, was it?",161.2,162.8,
WC,"Mmm, mmm, mmm.","Mmm, mmm, mmm.",161.2,164,
TB,Nagh row bayrn oc?,Did they not have caps?,164,168,
JK,"Agh, bayrn, er ad neesht.","But, a cap, on them as well.",165.5,171,
WC,Row?,Was there?,171,172,
JK,"Paart, va dy chooilley sorch dy bayrnyn er ad.","Some, they were wearing every sort of cap.",172,175.6,
WC,Oh?,Oh?,175.6,176.8,
JK,Va. ,Yes.,176.4,178,
WC,Hmm. As cre v'ad jannoo ayns shen ghooinney? V'ad daunsin?,Hmm. And what were they doing there man? They were dancing?,178,182.2,
JK,"Oh v'ad daunsey, as roie mygeayrt yn lheeanee, as jannoo reddyn myr shen.","Oh they were dancing, and running about the meadow, and doing things like that.",182,189.2,
WC,Hmm.,Hmm.,189.2,190.4,
DF,As row ad loayrt Gailck?,And were they speaking Manx?,190,191.8,
JK,"Lheim harrish each, each elley.","Jumping over each, each other.",191.4,196,
DF,[laughs],[laughs],193.9,194.6,
WC,Oh?,Oh?,194.6,196,
JK,"Cha row mee faggys, cha row mee faggys dy liooar da ad, son dy clashtyn ad loayrt.","I wasn't near, I wasn't near enough to the, to hear them speak.",196,202,
WC,Oh?,Oh?,202,203,
DF,"Oh, foddee v'eh, she ooilley Gailck v'oc?","Oh, maybe it was, it was all Manx at them?",203,206,
JK,"Oh, she Gailck dy chooilley, Gailck ooilley yn traa ec ad.","Oh, Manx every, Manx all the time at them.",206,211,
WC,Ta.,Yes.,210.8,212.1,
DF,Ta.,Yes.,210.8,212.1,
WC,"Cheayll mee, va dooinney ayns ny Curraghyn as v'eh goit lesh ny ferrishyn, un keayrt.","I heard, there was a man in the Curraghs and he was taken by the fairies, once.",211.9,218.7,
JK,Huh?,Huh?,217.4,218.4,
WC,Va dooinney ayn as v'eh goit lesh ny ferrishyn un keayrt.,There was a man and he was taken by the fairies once.,218.4,223,
JK,Oh va mish goit ec y ferrishyn neesht.,Oh I was taken by the fairies too.,222.4,225.4,
WC,Row?,Were you?,225.3,226,
JK,Va. She.,Yes. Yes.,226,227,
WC,Oh.,Oh.,227,227.5,
DF,As c'red v'ad jannoo eisht?,And what did they do then?,227.4,229.5,
JK,"Oh, ren ad cur orrym shooyl, red goll-rish jeih veeilley.","Oh, they made me walk, something like ten miles.",229.3,235.2,
WC,Dy jarroo ghooinney?,Indeed man?,235,238.3,
JK,She.,Yes.,238.2,239.4,
TB,Nagh row shiu scooyrit?,Weren't you drunk?,237.5,240,
JK,Cha row. Cha ren mee [?]tendeil red erbee son kiare shiaghteeyn goll-rish shen.,No. I didn't [?]attend anything for four weeks like that.,239.8,250.8,
WC,[laughs],[laughs],250.3,252,
