Speaker,Manx,English,SubStart,SubEnd
TB,..clashtyn oo ooilley ayns Gailck,..hear you all in Manx,0.01,1.87
HB,Ooilley ayns Gailck?,All in Manx?,2,3.06
TB,"Ta, c’red t’ou coontey jeh’n emshyr nish?","Yes, what are you thinking of the weather now?",3.07,6
HB,"Aw, ta.., cha nel eh jeeaghyn feer olk edyr.","Aw, yes.., it’s not looking too bad at all.",,9.48
TB,Vel shin goll dy gheddyn tooilley fliaghey?,Are we going to get more rain?,11.32,14.05
HB,"Aw cha s’ayms, t’eh jeeaghyn, cha nel eh jeeaghyn monney son fliaghey yn oie shoh nish edyr, cha nel.","Aw, I don’t know, it is looking, it is not looking much like rain this night now at all, it’s not.",14.25,25.47
TB,Cha nel bodjallyn mygeayrt.,No clouds about.,25.4,27.24
HB,Cha nel monney bodjallyn ayns yn aer.,Not many clouds in the sky.,27,29.88
TB,Cha nel.,No.,30.68,31.1
HB,"Cha nel mee fakin monney, va’n aer ooilley ayns frough, v’eh ooilley ayns frough laghyn er y shiaghtyn, ooilley ayns frough.","I am not seeing many, the sky was all in mist, it was all in mist these days on the week, all in mist.",31.1,43.24
TB,"Ta, ta, ta mee toiggal.","It is, I understand.",43.25,44.8
HB,"Ta, ooilley ayns frough.",It is all in mist.,44.81,47.37
TB,Row monney grian mooie er y chiaghtyn?,Was there much sun out on the week?,49.1,51.65
HB,"Aw cha row, va paart dy laghyn as cha row monney grian ayn, ayns yn moghree edyr,","Aw, was not, there was some days and there was not much sun in, in the morning though,",51.6,59.74
HB,"va’n grian cheet mooie ec yn - bunnys ec y shey.. kiare.. er.. queig er y clag, ta’n grian cheet mooie yn traa shen.","the sun is coming out at almost at four or five on the clock, the sun is coming out that time.",59.741,72.65
TB,Ta mish toiggal.,I understand.,72.69,74.19
HB,Shen yn traa v’ee cheet mooie.,That is the time she was coming out.,73.96,77.71
TB,Row shiu ec y bayr monney er y chiaghtyn.,Were you on the road much on the week? (walking),78.3,81.05
HB,Cha row mee mooie monney.,I was not out much.,81.051,82.48
TB,Cha row,Were you not?,82.49,83
