Manx,English,Notes,,,
COOINAGHTYN MANNINAGH,MANX REMINISCENCES,,,,
,Manx and English,,,,
,BY THE LATE,,,,
[FER LHEE JUAN Y CLAGUE],DR. JOHN CLAGUE OF ,,,,
"[CROFTON, BALLACASHTAL, ELLAN VANNIN]","CROFTON, CASTLETOWN, ISLE OF MAN",,,,
,PUBLISHED BY,,,,
,M. J. Blackwell,,,,
,Bookseller,,,,
,"CASTLETOWN, ISLE OF MAN",,,,
,[Entered at Stationers’ Hall],,,,
TA NY COOINAGHTYN SHOH ER VE CHAGLYMIT COOIDJAGH LIORISH FERLHEE JUAN Y CLAGUE,THESE REMINISCENCES  HAVE BEEN GATHERED TOGETHER BY DOCTOR JOHN CLAGUE,,,,
JEH,OF ,,,,
CROFTON,CROFTON,,,,
BALLACHASHTAL,CASTLETOWN,,,,
ELLAN VANNIN,ISLE OF MAN,,,,
RISH NY JEIH BLEEANEY AS DAEED GOAILL JERREY AYNS YN NUYOO CHEEAD YEIG BLEIN NYN JIARN,DURING THE LAST FIFTY YEARS OF THE NINETEENTH CENTURY OF OUR LORD,,,,
TRA V’EH CLIAGHTEY CUR RISH FERLHEEYS AS TA ER VE SCRUIT AYNS ÇHENGEY NY MAYREY ELLAN VANNIN,WHEN HE WAS PRACTISING AS A DOCTOR AND HAVE BEEN WRITTEN IN THE MOTHER TONGUE OF THE ISLE OF MAN,,,,
LESH COONEY E CHARREY THOMASE MOORE ,WITH THE HELP OF HIS FRIEND THOMAS MOORE,,,,
BROOKFIELD SKEEREY SKEEILLEY CHREEST RUSHEN,OF THE PARISH OF KIRK CHRIST RUSHEN,,,,
,Introduction[1],[1] see meta data,,,
,Contents,,,,
CABDIL,,,,,
I     OLLICK AS YN VLEIN NOA   2,I     CHRISTMAS AND THE NEW YEAR   3,,,,
II     YN LIOAR-IMBEE   40,II     THE CALENDAR   41,,,,
III     LAA BOALDYN   46,III     MAY DAY   47,,,,
IV     TIN—VAAL  56,IV     TYNWALD   57,,,,
V     OOASHLEY-NY-GREINEY AS  OOASHLEY-YN EAYST  62 ,V      SUN AND MOON WORSHIP     74,,,,
VI     YN OUYR. 74,VI     THE HARVEST   75,,,,
VII      SHIBBER BURT BAATEY   82,VII     THE BOAT SUPPER   83,,,,
VIII     CLIAGHTYN BENTYN RISH POOSEY AS BAASE. 92,VIII      CUSTOMS CONNECTED WITH   MARRIAGE AND DEATH   93,,,,
IX     PISHAGYN AS LHEIHYS   112,IX     CHARMS AND CURES   113,,,,
X     OBBEEYS   166,X     SUPERSTITIONS AND SORCERY  167,,,,
XI     KIAULLEEAGHT   182,XI     MUSIC AND SINGING 183,,,,
XII     BEAGHEY 208,XII      FOOD   209,,,,
XIII     SKEERAGHYN   218,XIII      PARISHES   219,,,,
XIV     BRISHEY USHTEY PURT CHIARN   242,XIV     PORT ERIN BREAKWATER   243 ,,,,
XV     YMMODDEE REDDYN,XV     MISCELLANEOUS,,,,
CABDIL I,CHAPTER I,,,,
OLLICK AS YN VLEIN NOA,CHRISTMAS AND THE NEW YEAR,,,,
YN MYRRH,THE MYRRH,,,,
Row shiu rieau freayll arrey dy yeeaghyn yn myrrh çheet ayns blaa? ,Were you ever watching to see the myrrh coming into flower ? ,,,,
"Va mee freayll arrey un oie, jeih bleaney as daeed er dy henney, dy akin eh.","I was watching one night, fifty years ago, to see it. ",,,,
