English,Manx,Page,Manx Original,Notes
"THREE DIALOGUES,",TAGGLOO CRAUEE,1,,
between a,EDDYR,1,,
MINISTER,BOCHIL ANMEY ,1,,
and one of his,,1,,
PARISHIONERS;,AS FER JEH E HIOLTANE.,1,,
on the,,1,,
"True Principles of Religion, and Salvation for Sinners by Jesus Christ, the only Redeemer and Saviour",,1,,
,,1,,
"By THOMAS VIVIAN, A. B.","Liorish THOMASE VIVIAN, A. B.",1,,
"Vicar of Cornwood, Devon, late of Exeter-college, Oxford.","Saggyrt jeh Cornwood, Devon",1,,
,Chyndaït ayns Gailck;,1,,
THE TWENTIETH EDITION,"Ta shen dy ghra, Chengey ny Mayrey Ellan Vannin.",1,"Ta shen dy ghra, Chengey ny Marrey Ellan Vannin.",
,,1,,
,"Chelsea: Printed by J. Tilling, Royal Hospital-row, for the Religious Tract Society",1,,
YORK:,,1,,
"Printed by Wilson, Spence, and Mawman;","and sold by J. Burditt, at the Society’s Depository, No. 60 Paternoster-row, London",1,,
"for T. Wilson and R. Spence, High-Ousegate",,1,,
Anno 1788,,1,,
,,1,,
[Price Threepence],[Price 2d. or 10s. per 100][2],1,,[2] Publication information assembled from the first and last pages of the booklet.
,,1,,
,,1,,
DIALOGUE I.,YN CHIED AYRN.,1,,
between a,,1,,
Minister and One of his Parishioners.,,1,,
"M. NEIGHBOUR, good-morrow. I find you have been early up, and diligently employed; your cattle fed, and servants at work. I see thriving in the world is a matter very near your heart.","B. DY vannee dhyt Naboo. Ta mee fakin dy vel oo er ve er dty cosh dy moghey, dooisht as tarroogh, dty vaase shirveishit lesh foddyr, as dty harvaantyn ec obbyr. Ta mee chur tastey dy vel oo dy jeean soit er choyrt dty cooishyn seihltagh er y hoshiaght.",1,,
"P. Ay, Sir, all this is necessary. Meat and clothes must be provided; my Landlord’s rent must be paid; and this requires much care and labour.","F. Ta mee dy jarroo, as ta ooilley shoh ymmyrchagh. Sheign da beaghey as coamrey v’er ny cosney as sheign da maill ve eeckyt ass y thalloo; as cha nod shoh ve jeant fegooish lane kiarail as obbyr.",1,,
"M. I would by no means discourage your industry. It is your duty not to be slothful in business. But, you know, you have another calling besides husbandry: The soul must be fed and clothed too.",B. Cha vel aigney aym er aght erbee dy lhiettal oo veih ve frioosagh as jeidjagh. T’eh dty churrym gyn dy ve lhiastey ayns obbyr. Agh ta fys eu dy vel obbyr elley ayd dy yannoo chammah as obbyr thallooin. Shegin da beaghey as coamrey v’er ny hirrey son yn annym myrgeddin.,1,,
"P. Doubtless the soul ought to be minded in the first place, for that is the chief concern: but I hope, I do not neglect my soul and the world to come: I should be sorry you should think me so bad a man: I believe you have no reason—.[3]",F. Lhisagh kiarail gyn dooyt ve goit jeh’n annym ’sy chied ynnyd— Shoh yn ard cooish. Agh ta mee treishteil nagh vel mee meerioosagh er my annym as y seihll ta ry-heet. Veagh eh trimshey dou shiuish dy yeeaghyn orrym myr dooinney cha meechrauee. Ta mee credjal nagh vel oyr eu—,1,,[3] Phrase omitted in 1790.
"M. No particular reason to be suspicious of you more than of others. But when I look round, and observe the general unconcern about salvation in which men live, I am concerned for my fellow mortals: and with respect to you of this parish in particular, I think myself obliged to admonish you of your danger, that you may not die before you have obtained forgiveness of your sins through faith in Jesus Christ, and are made meet for an inheritance among them that are sanctified.","B. Cha vel oyr aym dy ve ayns meeourys jeed’s ny smoo na jeh feallagh elley. Agh tra ta mee jeeaghyn mygeayrt-y-moom as goaill baght jeh’n meerioose er saualtys nyn anmeenyn ayn ta’n chooid smoo dy leih beaghey, ta mee seaghnit as imneagh mysh stayd my heshey-cretooryn, as er lheh mysh stayd Cummaltee yn skeerey shoh. Ta mee gennaghtyn mee-hene fo kianlaghyn lajer dy chur my hioltane ayns cooinaghtyn jeh’n gaue t’ad ayn kyndagh rish peccah, er-aggle dy vod ad baase y gheddyn roish t’ad er cosney leih nyn beccaghyn trooid credjue ayns Yeesey Chreest, as roish t’ad jeant cooie son eiraght “nyn mast’ocsyn ooilley ta er nyn gasherickey.”",1,,
"P. Lord, Sir! why should you entertain such uncharitable thoughts of us? ",F. Hiarn bannee shin! cre’n fa yinnagh shiu cur raad da lheid ny smooinaghtyn veeghiastyllagh j’in.,2,,
"M. Do not so abuse the word charity: it signifies the same as love. Now love does not require that we think well of every body, with or without reason, but that we wish and intend well to every body. If I gave myself no trouble about you, that is, if I were utterly void of charity, you would think me a very charitable man.","B. Ny gow yn fockle ghiastyllys ayns aght cha neu-cooie. Ta ghiastyllys as graih jeh’n un vree. Nish cha vel graih kianley shin dy smooinaghtyn dy mie jeh dy chooilley ghooinney eddyr oyr ve ain er y hon ny dyn, agh dy yeearree as dy kiarail dy yannoo mie da ooilley. Mannagh row imnea erbee aym mychione dty stayd spyrrydoil, ta shen dy gra dy b’een ooilley cooidjagh fegooish graih as ghiastyllys jinnagh oo goaill mee son dooinney ghiastyllagh.",2,,
"P. But I hope you do not condemn us all : some of us indeed are wicked, swearing, drunken men; but we are not all so. You know yourself that I keep my church, and come sometimes to sacrament. I never hurted any man in my life, and pay every man his due.","F. Agh ta mee treishteil nagh vel shiu deyrey shin ooilley; ta reageyryn ny mast’ain ta ayns cliaghtey jeh loo as gueeaghyn, as ta cur raad da rouanys as meshtallys, agh cha vel shin ooilley myr shoh. Ta fys eu hene dy vel mish taaghey yn cheeil as dy vel mee ny cheayrtyn goaill y chreestiaght casherick, cha ren mee rieau skielley da dooinney erbee bio, as ta mee geeck da ooilley nyn gair.",2,,
"M. And upon this you build your hopes of heaven? —If this is your foundation, I must plainly tell you, it will leave you hopeless in the day of trial. Let us examine it by the word of God. ","B. As er shoh t’ou troggal dty hreishteilyn cour beaynid! My she shoh undin dty hreishteil, sheign dou ginsh dhyt dy baghtal dy jean y treishteil shen dy shickyr cherraghtyn ec laa ny briwnys. Lhig dooin briwnys y yannoo ’sy cooish shoh cordail rish ghoo Yee. ",2,,
"“You never did hurt to any man.” You mean, I suppose, you never robbed nor murdered any person; I do not: think you have; but still you have committed much sin, and done much hurt, not only to others, but especially to your own soul, by, great and numberless, nay, daily offences against the holy law of God. Nay, you have broken every one of his commandments.","“Cha ren mee rieau skielley da dooinney erbee.” T’ou cheet er liorish shoh nagh vel oo rieau er gheid, ny er n’yannoo dunverys. Ta mee credjal dy vel oo loayrt dy firrinagh, agh foast t’ou er cur rish lane peccah, as er n’yannoo lane skielley cha nee ynrycan da feallagh elley, agh er-lheh da dty annym hene, liorish dy mennic as dy daaney brishey leigh casherick Yee. Dy jarroo t’ou er vrishey dagh unnane jeh e annaghyn.",2,,
P. Who could give you such an account of me?,F. Quoi oddagh ginsh diu lheid ny reddyn jeem’s?,2,,
"M. You yourself, last Sunday. When you heard me repeat the commandments, you made answer after each of them, Lord have mercy upon us, &c. Your calling for mercy was plainly acknowledging yourself guilty."," B. Oo hene er y doonaght s’jerree. Tra va mee fockley magh ny jeih annaghyn, dooyrt oo lurg dagh unnane jeu “Hiarn, jean myghin orrin.” Liorish geearree myghin ren oo dy foshlyt ghoaill rish dy row oo er vrishey ad ooilley.",3,,
"P. I never committed idolatry, murder, adultery—","F. Cha dug mee rieau ammys da jallooyn, cha ren mee rieau dunverys ny brishey poosey.",3,,
