English,Manx,Notes
Message from the Chair of Culture Vannin,Goan veih’n Chaarliagh ain,
This is my fourth statement in the annual report and financial statements of Culture Vannin.,Shoh’n chiarroo cheayrt ta mee er screeu goan-foshlee son tuarystal vleinoil as fockley-magh argidoil Culture Vannin.,
"Again achievement is what shines out from the annual report’s outline of the development work, projects, grants and other activity. This achievement is built on the strong partnership of Culture Vannin with our wonderful cultural community, the “volunteer cultural aficionados” as I described them last year, those whose knowledge, expertise, and enthusiasm is irreplaceable.","Reeshtagh, she cooilleeney ta’n red s’cronnal ayns y choontey shoh jeh obbyr, shalleeyn, toyrtyssyn, as jannooghyn elley y vlein. Ta’n cooilleeney shoh girree ass y pharteeas niartal t’ec Culture Vannin as y co-phobble cultooroil yindyssagh ain – ny “volunteer cultural aficionados” myr dooyrt mee roo y vlein shoh chaie, ta tushtey, schlei as jeeanid oc nagh vodmayd jannoo fegooish.",
"But collaboration now goes way beyond this partnership. For instance, Manx Radio shares our video content on its vision portal, and works together with us for Gaelic broadcasting. Gef the Mongoose has used Culture Vannin content for perhaps a different audience. Lloyds Bank have piloted our cultural awareness programme. Furthermore, Culture Vannin works with the Advisory Teacher for the Manx Curriculum to provide in-service teacher training, as well as resources, and partnering for activity like the Manx Folk Awards, the Manx Language Network (Jeebin) and the Bree (youth music movement) workshop weekends. It has also developed its working relationships with the Visit Isle of Man team at Enterprise, the UNESCO Biosphere and Building Conservation teams at Environment, Food and Agriculture, the Creative Industries workstream within British Irish Council, Manx National Heritage, Isle of Man Post Office, and various parts of the Cabinet Office.","Agh ta shin gobbraghey foddey mooie jeh’n pharteeas shoh neesht. Myr sampleyr, ta Radio Vannin jeeaghyn ny videoyn ain er y Vision Portal oc, as gobbragh marin son scaalheaney ayns Gaelg. Ta Gef the Mongoose er n’yannoo ymmyd jeh’n stoo ain son clashtynee elley. Va Lloyds Bank yn chied sheshaght dy phrowal yn coorse ain mychione tushtey cultooroil. Chammah’s shen ta Culture Vannin gobbragh marish Ynseyder Coyrlee yn Curriculum Manninagh dy hraenal ynseyderyn noa choud’s t’ad gobbragh, jannoo couryn ynsee, as cooney lhien ayns reddyn lhied as Aundyryn Kiaull Theay Vannin, Jeebin, as jerrey-shiaghtinyn Bree. Ta shin myrgeddin er niartaghey ny parteeasyn ain marish skimmee Visit Isle of Man (ta lesh Enterprise), UNESCO Biosphere, skimmeeyn Freiltys Troggalyn y Rheynn Çhymmyltaght, Bee, as Eirinys, skimmee-obbree son ny jeidjyssyn crooagh ayns y Choonceil British-Yernagh, Eiraght Ashoonagh Vannin, Oik Postagh Ellan Vannin, as caghlaaghyn peiagh ayns Offish y Chabinet.",
"The physical presence of the Cultural Centre in St Johns, and the virtual presentation of the Island’s cultural heritage online, both continue to extend their content and reach, as the infographics in this report show. This year one focus was preparation for the 75th anniversary of Victory in Europe (VE) Day. In particular, James Franklin produced edits of Charles Guard’s films, working with Jo Callister and with Manx Radio’s Alex Brindley, to make many Culture Vannin educational videos as widely available as possible. I believe these were particularly helpful for those home-schooling during the COVID-19 lockdown.","Ta’n Ynnyd Cultooroil ayns Balley Keeill Eoin chammah’s yn stoo er-linney ain ta soilshaghey eiragh cultooroil yn Ellan ny-neesht er vooadaghey yn roshtyn oc, myr ta ny caslyssyn-fysseree sy tuarystal shoh soilshaghey. Y vlein shoh va fer jeh ny shalleeyn smoo ain geddyn aarloo son y wheiggoo laa-bleeaney as three-feed jeh Laa Barriaght ayns Europe. Ren James Franklin femblal paart dy filmyn liorish Charles Guard as gobbragh marish Jo Callister as Alex Brindley jeh Radio Vannin dy chur magh videoyn ynsaghtagh as skeaylley ad dy lhean. Ta mee er chlashtyn dy row ad shoh ymmydoil dauseyn va gynsagh as ad glest sthie lesh COVID-19.",
"Another wonderful project this year is Mann's Green Footsteps, Sarah Mercer’s internship project, which explores how the climate crisis is affecting our culture and what it may mean for themselves, their families and their communities. This included an app, Manannan's Charms, which weaves Manx folklore into a tale of helping our Island flourish and our relationship with the environment grow.","Va shallee yindyssagh elley y vlein shoh Mann’s Green Footsteps, va jeant liorish Sarah Mercer son y çhallee internaght eck, as ta jeeaghyn er kys ta çhennid yn emshyraght caghlaa yn cultoor ain, as cre’n eiyrtys oddagh ve er shoh son ain hene, nyn lught-thieyn, as nyn go-phobbylyn. T’eh goaill stiagh app enmyssit Manannan’s Charms ta fee cliaghtaghyn Manninagh ayns skeeal noa mychione cooney lesh yn Ellan dy vishaghey, as cooney lhien hene dy hoiggal yn commeeys ain lesh yn çhymmyltaght.",
The year ended with the re-purposing of some grant and development money from cancelled events during the COVID-19 lockdown for #treisht2020 projects. The creative and cultural output produced is available online for free – for instance music tutorials and electronic backing tracks to benefit learners of all ages on the Island and around the world.,Ec jerrey yn vlein va paart jeh’n argid ry-hoi toyrtyssyn as obbyr-vishee nagh row ymmyd jeant jeh kyndagh rish COVID-19 er ny usal son shalleeyn #treisht2020. Ta ooilley’n stoo crooagh as cultooroil t’er ve jeant nish ry-gheddyn nastee er-linney – myr sampleyr lessoonyn kiaull as backing tracks vees jeh foays da ynseydee jeh eash erbee ayns Mannin as er feai ny cruinney.,
"Free Manx language resources for all ages have been developed and shared on Culture Vannin social media channels, including Manx language colouring-in sheets and #bugganewatch on Facebook. But at the end of the year an announcement of Council of Europe European Charter for Regional or Minority Languages framework recognition and Royal Assent for the Manx language public service broadcasting element of the Communications Bill 2018 were still expected. A concern also arose in respect of the text which will be used in the forthcoming amended Education Act about Manx language use in the curriculum. Submissions have been made in this matter.","Ta couryn-ynsee Gaelgagh son sleih jeh caghlaaghyn eash er ve jeant as currit magh er ammyryn media sheshoil Culture Vannin. T’ad shoh goaill stiagh duillagyn daaghey Gaelgagh, as #bugganewatch er Facebook. Agh ec jerrey y vlein ta shin foast jerkal rish fockley magh veih Coonceil yn Europe mychione y Chonaant mychione Glaraghyn Beggey as Ynnydoil, as Coardail Reeoil er yn ayrn jeh’n Clattys Eddyr-Insh 2018 ta bentyn da scaalheaney theayagh Gaelgagh. Ren cooish girree mychione ynnyd y Ghaelg ayns y churriculum ayns teks yn Clattys Ynsee lhiassit ta dy heet magh dy gerrid. Ta freggyrtyn er ve currit stiagh mychione y chooish shoh.",
"I remain amazed every month with everything that is going on when I read the Manx Music and Dance newsletter ‘Kiaull Manninagh Jiu’ which is edited by Chloe Woolley and which aims to keep our musicians, dancers and audiences on the Island and around the world connected. Particular highlights recently have been Chloe’s online video tutorial for singing the first and last verses of the national anthem, a new competition on the theme of May Eve and May Day (Boaldyn) for song-writers, musicians and dancers, and regular newspaper columns. One highlight was the demonstration of the ingenuity and adaptability of our community’s musicians was Rushen Silver Band’s online concert including Hunt the Wren and Ellan Vannin.","Dagh mee ta mee goaill yindys er ooilley ny reddyn ta goll er tra ta mee lhaih Kiaull Manninagh Jiu, ta femblit liorish Chloe Woolley as ta kiarit dy reayll seose kianglaghyn eddyr kiaulleyderyn, daunseyryn as clashtynee er yn Ellan as er feai ny cruinney. Ta reddyn cronnal t’er ve jeant er y gherrid shoh goaill stiagh video ayn ta Chloe gynsagh kys dy ghoaill yn chied verse as yn verse s’jerree jeh’n arrane ashoonagh, co-hirrey noa son screeuderyn arraneyn, kiaulleyderyn, as daunseyryn soit er Oie Boaldyn as Laa Boaldyn, as collooyn reiltagh sy phabyr naight. Red elley feer chronnal va cuirrey-kiaull er-linney liorish yn Rushen Silver Band, ayn va Shelg y Drean as Ellan Vannin er nyn gloie. Ren y cuirrey-kiaull shoh soilshaghey dy mie aghtallys as crooaght ny kiaulleyderyn sy cho-phobble ain.",
"But – and as every year – Culture Vannin is about more than just highlights. Rather it is about year in, year out action and, particularly, focus on collaboration to deliver joint plans like the ten year National Development Strategy for Culture and the Arts, ‘Arts, culture and creativity for everyone’, and the five year Manx Language Development Strategy, to maximise and extend the reach of Manx culture.","Agh ta Culture Vannin jannoo foddey smoo na kuse veg dy chooishyn cronnal. T’eh jannoo reddyn car ny bleeaney, dy-chooilley vlein, as cur tastey er-lheh da co-obbraghey dy livrey plannyn eddyr-sheshaghtagh lhied as yn Strateysh Bishee Ashoonagh son Cultoor as ny Hellynyn, ‘Ellynyn, Cultoor as crooaght son dy-chooilley pheiagh’, as yn Strateysh son y Ghaelg, dy vooadaghey roshtyn cultoor Manninagh.",
"What will 2021 bring? As I wrote last year, and hope to write next year, much more achievement, and some challenge I should think, especially as our increased visibility and effectiveness in communicating the message of Manx culture means that we are under pressure to deliver even more in order to meet new demand. As before, this is best tackled through cooperation, and leadership.","Cre nee çheet ayns 2021? Myr screeu mee y vlein shoh chaie, as myr ta mee treishteil dy screeu y vlein shoh çheet, foddey smoo dy chooilleeney, agh paart dy ghoilleeidyn neesht, ta mee sheiltyn. Myr s’breeoil shin ayns skeaylley tushtey jeh cultoor Manninagh, smoo ta’n yeearree er-e-hon gaase, as smoo shegin dooin jannoo dy reggyrt shen. Myr ta mee er ghra roie, ta co-obbraghey as leeideilys ny greienyn share ain cour yn obbyr shoh.",
"The grants and buildings specific reserves are now in place and provide a cushion for whatever comes. These were superb initiatives of the Treasurer, Debi Michelson, and the Director, Breesha Maddrell. This is especially necessary as annual lottery revenue remains unpredictable and money is always short.","Ta tashtaghyn-argid er-lheh ry-hoi toyrtyssyn as troggalys er ve soit seose dy hirveish myr clooisag noi cre erbee oddagh çheet sy traa ry-heet. V’ad shoh kiarit liorish yn Tashteyder, Debi Michelson, as yn Stiureyder, Breesha Maddrell. T’ad er-lheh ymmyrçhagh son dy vel yn argid ta çheet stiagh veih’n chronghyr feer chorragh, as ta argid kinjagh goan.",
"A special relationship has also been forged with Treasury I believe which should be helpful if lottery receipts are significantly lower because of the current public health and economic situation, and the Treasury Minister stated the following in his summing up in the 2020 emergency budget in Tynwald:","Ta parteeas er-lheh er ve jeant marish Tashtey yn Reiltys, red ta mee credjal vees ymmydoil my vees yn çheet-stiagh veih’n chronghyr er ny leodaghey kyndagh rish stayd yn claynt theayagh as yn tarmaneys. Shoh ny dooyrt Shirveishagh yn Tashtey tra v’eh cur kione er y loayrtys echey mychione y chlaare-argidoil er-lheh ayns 2020:",
