English,Manx
OSSIAN'S POEMS: THE BATTLE OF LODA.,BARDAGHT OSHIN: CAH LODA.
"DUAN I. — The bards distinguished those compositions, in which the narration is often interrupted by episodes and apostrophes, by the name of Duan.",DOON I.
A tale of the times of old! ,Skeeal jeh earishyn shendiaght! 
"     Why, thou wanderer unseen! thou bender of the thistle of Lora; why, thou breeze of the valley, hast thou left mine ear? ","     Cammah, uss rouailtagh keillit! uss croymmeder jeh’n onnane Lora; cammah, uss geay-kiune ny glionney, vel oo er hreigeil my chleaysh? "
,
I hear no distant roar of streams ! No sound of the harp from the rock! ,Cha vel mee clashtyn tassane jeh strooanyn foddey! Cha nee kiaull y claasagh veih’n chreg! 
"Come, thou huntress of Lutha, Malvina. call back his soul to the bard. ","Tar, uss ben-helgee Lutha, Valvina, aa-eam e annym da’n Vardagh. "
"I look forward to Scandinavia of lakes, to the dark billowy bay of U-thorno, where Fingal descends from ocean, from the roar of winds. ","Ta mee jeeaghyn roym er Loghlin jeh loghyn, gys y vaie U-thorno mooireeragh dorraghey, raad ta Fingal çheet neose veih faarkey, veih buirrooghid ny geayee. "
Few are the heroes of Morven in a land unknown.,Stiark ny treanee Vorven ayns çheer gynyss.
"     Starno sent a dweller of Loda to bid Fingal to the feast; but the king remembered the past, and all his rage arose.","     Hug Starno cummaltagh Loda cuirrey Fingal gys y feailley ; agh chooinee y ree keayrt shaghey, as dirree ooilley e chorree."
"“Nor Gormal’s mossy towers , nor Starno, shall Fingul behold.","“Nar tooryn keynnee dy Ghormal, nar Starno, ver Fingal my-ner."
"Deaths wander, like shadows, over his fiery soul!","Ta baaseyn rouail, myr scadooghyn, harrish e annym çhennoil!"
"Do I forget that beam of light, the white-handed daughter of kings?*","“Vel mee jarrood scell hoilshee 'n shid, yn ’neen vane-lauey jeh reeghyn?"
"*Agandecca, the daughter of Starno, whom her lather killed, on account of her discovering to Fingal a plot laid against his life.",
"Go, son of Loda; his words are wind to Fingal: wind that, to and fro, drives the thistle in autumn’s dusky vale.” ","Immee royd, mac Loda; ta e ghoan geay rish Fingal: geay, ta, huggey’s veih, sheebey yn onnane ’sy choan keeir fouyragh.”"
"     “Duth-maruno, arm of death !","     “Duth-maruno, roih vaaish!"
Cromma-glas; of iron shields!,"Cromma-glas, jeh scaapyn yiarn!"
"Struthmor, dweller of battles’ wing!  ","Struthmor, cummaltagh jeh skian chaggee!"
"Cormar, whose ships bound on seas, careless as the course of a meteor, on dark, rolling clouds!","Cormar, lesh lhongyn echey clistal er faarkaghyn, neuchiarailagh myr coorse jeh drilleen--aeragh, er bodjallyn keeirey ta rowlal!"
"Arise around me, children of heroes, in a land unknown!","Irree mygeayrt-y-moom, cloan jeh treanee, ayns çheer gynyss!"
"Let each look on his shield, like Trenmor, the ruler of wars.”","Lhig da gagh fer jeeaghyn er e scaap, gollrish Trenmor, fer-reill dy chaggaghyn.”"
"      “Come down,” thus Trenmor said, “thou dweller between the harps! ","      “Tar neose,” myr-shoh dooyrt Trenmor, “uss cummaltagh eddyr ny claasaghyn!"
"Thou shalt roll this stream away, or waste with me in earth.”","Rowlys oo strooan y shoh ersooyl, er-nonney goys oo mow mârym ’syn ooir.”"
     Around the king they rise in wrath. No words come forth: they seize their spears. ,     Mygeayrt y ree ta’d girree ayns jymmoose. Cha nee focklyn çheet assdoo: ta’d greimmey nyn shleiyghyn.
Each soul is rolled into itself.,Ta gagh annym rowlit ayn hene.
At length the sudden clang is waked on all their echoing shields.,Fy-yerrey ta’n feiyr doaltattym dooishtit er ooilley ny scaapyn aasheeanagh oc.
Each takes his hill by night; at intervals they darkly stand. ,Ta gagh fer goaill e ghun er-roie; ec keayrtyn t’ad nyn shassoo dy-keeir. 
Unequal bursts the hum of songs between the roaring wind! ,Neuchorrym ta’n tessane d’arraneyn brishey magh eddyr y gheay garveigagh ! 
Broad over them rose the moon!,Lhean harroo dirree yn eayst!
"     In his arms came tall Duth-maruno; be, from Croma of rocks, stern hunter of the boar! ","     Ayns e eilley haink Duth-maruno toallee; eshyn, veih Croma ny creggey, shelgeyr trean jeh’n phurr! "
"In his dark boat he rose on waves, when Crumthormo* awaked its woods.","Ayns e vaatey dorraghey dirree eh er tonnyn, tra ghooisht Crumthormo e keylljyn."
* Crumtharmoth. one of the Orkney or Shetland Islands.,
"In the chase he shone among foes: No fear was thine, Duth-maruno!","Ayns y çhelgeyrys hoilshee eh mastey noidyn: Cha nee aggle lhiats, Duthmaruno !"
"      “Son of daring Comhal, shall my steps be forward through night?","     “Vac Chomhal-dunnal, vees my chesmadyn roym fud-ny-hoie? "
"From this shield shall I view them, over their gleaming tribes!","Voish scaap y shoh jeeaghym orroo, harrish nyn gleinnyn londyrnee?"
"Starno, king of lakes, is before me, and Swaran, the foe of strangers. ","Ta Starno, ree jeh loghyn, roym, as Swaran, yn noid jeh joarreeyn. "
"Their words are not in vain, by Loda’s stone of power.”","Cha vel nyn vocklyn fardalagh, liorish clagh Loda dy phooar.”"
"     “Should Duth-maruno not return, his spouse is lonely at home, where meet two roaring streams on Chrathmo-craulo’s plain.","     “Mannagh jyndaays Duth-maruno, ta’n venheshey echey ny-lomarcan ec y thie, raad ta daa strooan buirroogh çheet nyn-guail er strah Chrathmo-craulo."
"Around are hills, with echoing woods, the ocean is rolling near.","Mygeayrt ta croink, lesh keylljyn aasheeanagh, ta’n aarkey rowlal faggys."
"My son looks on screaming seafowl, a young wanderer on the field.","Ta my vac jeeaghyn er yeeanlee ny marrey screeagh, rouailtagh aeg er magher."
"Give the head of a boar to Can-dona, tell him of his father’s joy, when the bristly strength of U-thorno rolled on his lifted spear.","Cur kione phurr da Candona insh rish jeh’n voggey ec e ayr, tra rowl yn troshid fynnagh U-thorno er e shleiy troggit."
Tell him of my deeds in war! Tell where his father fell!”,Insh rish jeh my yannoo ayns caggey! Insh rish raad huitt e ayr!”
"     “Not forgetful of my fathers,” said Fingal. “I have bounded over the seas.","     “Cha nee jarrood aym er my ayraghyn,” dooyrt Fingal, “ta mee er clistal harrish y cheayn."
"Theirs were the times of danger, in the days of old. ","Lhieusyn ny keayrtyn dy ghanjeyr, ayns laghyn dy hendiaght. "
,
"Nor settles darkness on me, before foes, though youthful in my locks.","Nar soiagh dorrid sheese orrym. kiongoyrt noidyn, ga s’aeg mish ayns my keogyn."
"Chief of Crathmo-cranlo, the field of night is mine.’      ","Ard-er Chrathmo-cranlo, she magher d’oie lhiams.”"
