English,Manx
TYNWALD COURT,
"ST JOHN’S 5th July, 1921.",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
ABSTRACTS OF ACTS OF TYNWALD,
"1.— The Education Act, 1920.",Yn Slattys Ynsagh Nuy Cheead Yeig as Feed.
"The object and purport of this Act are to abolish School Boards and Higher Education Boards and transfer their duties to one Central Education Authority, and to amend the law as to voluntary schools, and as to the provision of education and the payment of grants.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur-lesh gys jerrey buird-schoill as buird-ynsagh syrjey as dy lhie nyn obbyr er un chorp meanagh as dy lhiasaghey yn leigh bentyn rish schoillyn arryltagh as bentyn rish kiarail ynsagh as geeck giootyn ynsagh.
"2.— The Anthrax Prevention Act, 1920.",Yn Slattys son Lhiettal Anthrax Nuy Cheead Yeig as Feed.
The object and purport of this Act are to prevent the importation and removal of goods likely to be infected with anthrax.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vee-lowal cur-lesh stiagh as scughey cooid nieughanit lesh anthrax.
"3.— The Agricultural and Rural Industries Act, 1920.",Yn Slattys Eirynys as Greasyn Cheerey Lhiasaghey Nuy Cheead Yeig as Feed.
The object and purport of this Act are to amend the Agricultural and Rural Industries Acts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny slattysyn eirynys as greasyn cheerey.
"4.— The House of Keys Election Act, 1920.",Yn Slattys Lhiasaghey Nuy Cheead Yeig as Feed.
"The object and purport of this Act are to constitute a list of votes for an election between the 1st September, 1920, and 1st Spetember, 1921.",Ta’n aigney as y chooish jeh’n Slattys shoh dy
"5.— The Criminal Code (Informations) Act, 1920.",Yn Slattys Lhiasaghey Nuy Cheead Yeig as Feed.
The object and purport of this Act are to simplify the language of indictments in criminal cases.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vaarey ny goan jeh plaintyn ayns cooishyn-oolee.
"6.— The Sex Disqualification (Removal) Act, 1921.",Yn Slattys Lhiasaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to remove any disqualification arising by sex or marriage from the exercise of any public function or holding any public office or entering into any profession.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da mraane poost as neu-phoost dy chooilleeny currym erbee theayagh as dy cummal oik erbee theayagh as dy entreil er saase-veaghee erbee.
"7.— The Intestates’ Estates Act, 1921.",Yn Slattys Cooid-Seihlt Sleih Neu-Hymnagh  Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to make better provision for the widows of intestates in the distribution of such intestates property.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail cooid-ronney share son mraane-treoghe jeh sleih neu-hymnagh.
"8.— The Criminal Code Amendment Act, 1921.",Yn Slattys Lior-Oolee Lhiasaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to provide for the trial of criminal offences by one judge and the constitution of a Court of Criminal Appeal.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son kimmee dy ve er ny phrowal liorish un vriw as son quaiyl syrjey dy aa-chlashtyn cooishyn-oolee.
"9.— The Workmen’s Compensation Act, 1921.",Yn Slattys Cooilleeney Obbreeyn  Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to amend the Workmen’s Compensation Act, 1919.",Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Cooilleeney Obbreeyn Nuy Cheead Yeig as Nuy-jeig.
"10.— The Income Tax Amendment Act, 1921.",Yn Slattys Keesh Cosney-Vleeanagh (Lhiasaghey) Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to increase the abatements, exemptions, and allowances, and in other respects to amend the Income Tax Act, 1918.",Ta’n aigney as y chooish jeh’n Slattys shoh dy voodaghey ny leodysyn vondeishyn as toyrtyssyn as ayns oyryn elley dy lhiasaghey yn Slattys Keesh Cosney-vleeanagh Nuy Cheead Yeig as Hoght-jeig.
"11.— The Increase of Rent and Mortgage Interest (Restrictions) Act, 1921.",Yn Slattys Lhiasaghey Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to restrict up to 12th May, 1923, the rights of landlords to possession and to increase of rent, and of mortgages to call in their mortgage and to increase their interest.",Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiettal pooar yn fer sliesh dy ghoaill soylley jeh thalloo as thieyn as dy vooadaghey yn mayll as jeh gioalteyryn dy aa-gheddyn nyn gioal as dy voodaghey nyn use derrey yn nah laa yeig Boaldyn nuy cheead yeig tree as feed.
"12.— The Licensing Amendment Act, 1921.",Yn Slattys Cur-Kied Lhiasaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to,Ta’n aigney as y chooish jeh’n Slattys shoh dy cur-lesh liggaryn mestit cheu-sthie jeh ny Slattysyn Cur-kied as dy vee-lowal yn Briw Beg choud as the cur-rish leighderaght dy hoie er y Vink Cur-kied.
"13.— The Married Women’s Property, Dower, and Widowright Act, 1921.",Yn Slattys Cooid as Cairyn Mraane-Phoost Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to enable married women to hold real and personal property for their separate use free from their husbands, and to amend the law as to dower.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da mraane phoost dy chummal thalloo thieyn as cooid son yn ymmyd oc hene liveyrit veih nyn gheiney as dy lhiasaghey yn leigh bentyn rish cairyn jeh mraane-treoghe.
"14.— The Bank Holidays Amendment Act, 1921.",Yn Slattys Feaillaghyn-Banc Lhiasaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to fix the bank holidays observable in the Isle of Man.,Ta’n aigney as y chooish jeh’n Slattys shoh dy oardrail ny feaillaghyn-banc dy ve er ny reayll ayns Ellan Vannin.
"15.— The Noble’s Hospital Act, 1921.",Yn Slattys Thie-Lheiys Noble Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to enable the trustees of Noble’s Isle of Man Hospital and Dispensary to sell real estate, part of the endowment of Noble’s Hospital.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da ny fir-hreishtee jeh’n Thie-lheihys Noble dy chreck thalloo as thieyn jannoo ayrn jeh’n toghyr jeh’n Thie-lheihys Noble.
"16.— The Judicature Amendment Act, 1921.",Yn Slattys Reill-Quaiyllagh Lhiasaghey  Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to reconstitute the High Court of Justice, and amend the law as to the administration of justice.",Ta’n aigney as y chooish jeh’n Slattys shoh dy aa-chummey yn Quaiyl Ard as dy lhiasaghey yn leigh bentyn rish cooilleeney cairys.
"17.— The Local Government Amendment (Omnibuses) Act, 1921.",Yn Slattys Gurneilys Ynnydagh Lhiasaghey (Omnibus) Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to enable the Douglas Corporation to run motor buses.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da’n Co-chorp Ghoolish dy yannoo ymmyd jeh motorbussyn.
"18.— The Shop Hours Act, 1921.",Yn Slattys Lhiasaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to regulate the hours for closing of shops.,Ta’n aigney as y chooish jeh’n Slattys shoh dy dy oardrail ny ooraghyn son dooney shappyn.
"19.— The High-Bailffs Act, 1921.",Yn Slattys Ard-Bayleeyn Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to amalgamate the High-Bailliffships of Douglas and Castletown, and the High-Bailliffships of Ramsey and Peel.",Ta’n aigney as y chooish jeh’n Slattys shoh dy unnanesey ny oikyn jeh ny Ard-Bayleeyn jeh Doolish as Ballacashtal as jeh ny Ard-Bayleeyn jeh Rumsaa as Purt-ny-Hinshey.
"20.— The British Nationality and Status of Aliens (Fees) Act, 1921.",Yn Slattys Eiraght Ashoon Sostnagh as Stayd Yoarreeyn Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to prescribe fees for the nationalization of aliens.,Ta’n aigney as y chooish jeh’n Slattys shoh dy oardrail eeckyn dy ve jeant liorish joarreeyn son cairyn Sostnagh.
"21.— The Valuation Act, 1921.",Yn Slattys Feeaghey Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to consolidate the Valuation Acts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy unnanesey ny Slattysyn Feeaghey.
"22.— The Fishery Act, 1921.",Yn Slattys Eeasteyraght Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to enlarge the powers of the Fishery Board.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lheeadaghey ny pooaraghyn jeh’n Voayrd Eeasteyraght.
"23.— The Firearms Act, 1921.",Yn Armyn-Aileagh Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to require persons having or selling firearms to obtain a permit for the same.,Ta’n aigney as y chooish jeh’n Slattys shoh dy eginagh quoi-erbee ta armyn-aileagh echey ny ta creck ad dy gheddyn kied-scruee er y hon.
"24.— The Maintenance Orders (Facilities for Enforcement) Act, 1921.",Yn Slattys Saraghyn-Kemmyrk (Saaseyn son Egin) Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to provide for reciprocal methods for enforcing maintenance orders.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail saaseyn co-chiart dy eginagh biallys da saraghyn-keemyrk [sic].
"25.— The Isle of Man Steam Packet Company, Limited (Borrowing Powers) Act, 1921.",Yn Slattys Lhong-Vree Ellan Vannin (Pooaraghyn Eeasagh) Nuy Cheead Yeig Nane as Feed.
The object and purport of this Act are to exempt the Isle of Man Steam Packet Company from the provisions of the Usury Act.,Ta’n aigney as y chooish jeh’n Slattys shoh dy dy yannoo seyr yn Sheshaght Lhing-Vree Ellan Vannin veih ny kiarailyn jeh’n Slattys Thack.
"26.— The Manx Industries Association (1920) Limited (Borrowing Powers) Act, 1921.",Yn Slattys Sheshaght Greasyn Manninagh (Nuy Cheead Yeig as Feed) (Pooaraghyn Eeasagh) Nuy Cheead Yeig Nane as Feed.
"The object and purport of this Act are to exempt the Manx Industries Association (1920), Limited, from the provisions of the Usury Act.",Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo seyr yn Sheshaght Greasyn Manninagh veih ny kiarailyn jeh’n Slattys Thack.
