English,Manx
Slattyssyn 1909. MS D200,
TYNWALD,
,
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
"     THE POOR RELIEF ACT AMMENDMENT ACT, 1908. ","     YN SLATTYS CUR KEMMYRK DA NY BOGHTYN (CAGHLAA), NUY CHEEAD YEIG AS HOGHT."
"     The act repeals certain portions of the Poor Relief Act, 1893, and makes further provision with repect to the establishment and care of the poor, and incidental thereto.It also amends section 41 of the Lunatic Assylum Act, 1866.","     TA’N Slattys shoh cur-dy-lhiattee ayrnyn er-lheh jeh’n Slattys Cur Kemmyrk da ny Boghtyn, Hoght-yeig kiare-feed as three-yeig, as te ny sodjey chiarail son reddyn bentyn-rish cooney as currym ny boghtyn. Te caghlaa myrgeddin ayrn ’nane-as-daeed jeh’n Slattys Thie-baanrit, Hoght-yeig three-feed as shey."
"     THE BURIALS (AMENDMENT) ACT, 1908","     YN SLATTYS OANLUCKEY (CAGHLAA), NUY CHEEAD YEIH AS HOGHT."
"     This Act makes the provisions of the Burials Act, 1881, as to the burial of the dead according to the rites of the Church of England, applicable to all burial-grounds in which the right of internment exists. ","     TA’N Slattys shoh cur thalloo ooilley, raad ta’n cair dy ve oanluckit, fo kiaraiyn jeh’n Slattys Oanluckey, Hoght-yeig ’nane as kiare-feed, bentyn-rish oanluckey ny merriu fegooish shirveish son oanluckey ny merriu coardail rish oardaghyn ny Agglish Sostynagh."
"     The Royal assent to the foregoing two Acts was given by His Majesty in Council at the Court at Balmoral on the 26th day of September, 1908.","     Va’n coardail Reeoil currit gys ny jees Slattysyn rolaue liorish E Ard Ooashley ayns Coonseil ec y Quaiyl ec Balmoral er y shey as feedoo laa jeh’n nuyoo vee, cheead yeig as hoght."
"     THE PATRICK PARISH CHURCH ACT, 1908.","     YN SLATTYS KEEYL NY SKEEREY SKEEYLL-Y-PHARIC, ), NUY CHEEAD YEIH AS HOGHT."
"     This provides that the chapel at Patrick shall, until a new parish church be provided at Glenmaye, be deemed to be, for all purposes, the parish church of the said parish of Patrick.","     TA’N Slattys shoh kiarail dy bee vriwnyssit yn cabbal ayns Skeeyll-y-Pharic yn keeyl ny skeerey ny lheid Skeeyll-y-Pharic, derrey ta kiarail jeant son keeyl ny skeerey noa ec Glione-moij."
"     The Royal assent to this Act was given by His Majesty in Council at the Court at Windsor Castleon the 21st day of November, 1908.","     VA’N coardail Reeoil currit gys yn Slattys shoh liorish E Ard Ooashley ayns Coonseil ec y Quaiyl ec y Chastal Windsor er y ’nane as feedoo laa jeh’n ‘nane jeigoo vee, nuy cheead yeig as hoght."
"     The HIGHER Education Act, 1909.","     YN SLATTYS YNSAGH SYRJEY, NUY CHEEAD YEIG AS NUY."
"     This Act authorizes the Higher Education Boards, with consent of the Council of Education, to make arrangements with the School Boards for supply, in public elementary schools, of instruction supplementary to that given in such schools under the Elementary Education Acts, and to make grants to such Boards for that purpose.","     Ta’n Slattys shoh cur ayns pooar ny Boayrdyn Insagh Syrjey, marish aigney mie ny Coonseil Ynsagh, dy chiartaghey marish Schoill Boayrdyn son cur ynsagh, ayns schoillyn-hoshee cadjin, lhieeney-seose yn ynsagh coyrt ayns lheid ny schoillyn fo ny Lattyssyn Insagh Hoshee, as dy yannoo giootyn da lheid ny Boayrdyn son lheid yn ynsagh."
,
"     The Royal assent to this Act was given by His Majesty in Council at the Court at Buckingham Palace on the 15th day of February, 1909.","     Va’n coardail Reeoil currit gys yn Slattys shoh liorish E Ard Ooashley ayns Coonseil ec y Plaase Buckingham er y wheiggoo-yeig laa jeh’n nah vee, nuy cheead yeig as nuy."
"     THE FACTORIES AND WORKSHOPS ACT, 1909.","     SLATTYS THIEYN-OBBYR-LAUEE AS SHAPPYN-OBBYR, NUY CHEEAD YEIG AS NUY."
