English,Manx,Notes
DIVINE SONGS,HYMNYN,
,,
attempted in,ny,
,,
EASY LANGUAGE,"ARRANEYN MOYLLEE,",
,,
for the use of,son,
,,
CHILDREN.,PAITCHYN.,
,,
_________________,liorish ,
,,
"BY I. WATTS, D. D.",I. WATTS.,
_________________,,
,,
Out of the Mouth of Babes and Sucklings thou hast perfected Praise. Matt. xxi. 16.,Magh ass beill oikanan as cloan er y cheeagh t’ou er gheddyn moylley firrinagh.,
,,
***************,,
,,
London:,LONDON :,
"printed for f. c. and j. rivington; j. scatcherd and letterman; longman, hurst, rees, orme, and brown; and j. mawman;","Printed for the Religious Tract Society,",
,,
"By Law and Gilbert, St. John’s-square, London.","By P. White, 25, New-street, Bishopsgate;",
,"And Sold by J. Davis, 56, Paternoster-row;",
________,"and J. Nisbet, Castle-street, Oxford-street.",
,,
1813,[1826],
,,
"[Preface, Contents  not translated]",,
,,
DIVINE SONGS,ARRANEYN MOYLLEE,
for,son,
CHILDREN.,PAITCHYN.,
,,
SONG I.,HYMN I.,
A General Song of Praise to God.,Arrane Moyllee.,
"1 How glorious is our heav’nly King,","Cre cha gloyroil ta Jee nyn Ayr,",
Who reigns above the sky!,Ta reill erskyn dagh nhee!,
How shall a child presume to sing,Cre’n aght nee lhiannoo aeg goaill er,
His dreadful Majesty?,Dy voylley lheid y Jee ?,
"2 How great his pow’r is, none can tell,",D’insh magh e ghraih ny mooad’s e phooar,
Nor think how large his grace;,Dy ghoghe ad shen ayns laue;,
"Not men below, nor saints that dwell","Cha voddagh deiney er yn ooir,",
On high before his face.,Ny ainlyn sollys niau.,
3 Not angels that stand round the Lord,Dy ronsagh creenaght vooar y Chiarn,
Can search his secret will:,Ta tushtey ainlyn giare,
"But they perform his heav’nly word,","Agh gys e ghloyr t’ ad goaill arrane,",
And sing his praises still.,As geeck nyn ammys share.,
"4 Then let me join this holy train,","[6] Dy voylley marish flaunyssee,",
And my first off’rings bring;,Lhig dooys ayns m’aegid streeu;,
Th’ eternal God will not disdain,Arrane yn oikan cha jean Jee,
To hear an infant sing.,Y choontey red neu-feeu.,
"5 My heart resolves, my tongue obeys,","Eisht ver-yms booise da ’ennym Noo,",
And angels shall rejoice,Nee boggey ainlyn gaase,
To hear their mighty Maker’s praise,Dy chlashtyn moylley nyn Ver-croo,
Sound from a feeble voice.,Cheet veih coraa cha faase.,
,,
SONG II.,HYMN II.,
Praise for Creation and Providence.,"Moylley gys Jee son croo yn Theihll, as son y charail jeh ooilley y Chretooryn.",
