Manx,English,
"Skeddan gial, ny skeddan ruy,","Herring white, or herring red,",
"T'ou lesh praase, ny arran mie,","Good with tater or with bread,",
Mennick t'ou er chur dou saase,To myself I oft have said,
"Jarroo, dy chur jeh yn vaase.[1]",Hadst thou not lived I should be dead.,
"Feallagh ta' nagh vel goaill rhyt,",Some like thee not; I do admire,
"Ta mish kinjagh graih cur dhyt,",Thee slowly done before the fire.,
My t'ou aarlit roish yn aile,"I like thee best, and always did",
Agh baare lhiam oo jeant er y gryle. [2],When nicely cooked upon the grid.,
,,
,,
"[1] Mennick t'ou er chur dou saase, Jarroo, dy chur jeh yn vaase.] Literal translation: 'Often you have given me a way, indeed, to put off death.'",,
"[2] Feallagh ta' nagh vel goaill rhyt, Ta mish kinjagh graih cur dhyt, My t'ou aarlit roish yn aile, Agh baare lhiam oo jeant er y gryle.] Literal translation: 'There are folk who do not accept you, I always love you, If you are prepared before the fire, But I prefer you done on the grill.'",,
,,
,,
,,
,,
