Speaker,Manx,English,SubStart,SubEnd,Notes
DF,"... Mainshter Maddrell, bee Walter, as Illiam as mee hene ooilley ... (unclear)","... Mr Maddrell, Walter, and William and myself will all be ... (unclear)",1,6,
NM,[laughs],[laughs],6,8,
DF,... ooilley mygeayrt ... (unclear),... all around ... (unclear),8,9,
NM,"Nee shen, nee shen yn aght ta shiu ceau yn doonaght?","Is that, is that how you spend Sunday?",8.6,11.8,
DF,"She, cha row shin ec y keeill moghrey jiu ny [?]scammylt[?] (unclear)","Yes, we weren't at church this morning or [?]scandal (unclear)",11,17,
DF,"Ta, scammyltagh.","Yes, scandalous.",16,18,
WR,"Scammyltagh dy liooar t'eh, ...","Pretty scandalous it is,",17,19,
NM,"Ta, t'eh.","Yes, it is.",18,20,
WR,"... nish neayr's va mish, va mish goll.","... now since I was, I was going.",20,24,
NM,"T'ou, t'ou, t'ou, t'ou ny smessey na mee hene.","You are, you are, you are, you are worse than me myself.",20.6,24,
DF,Oh cha s'aym's edyr.,Oh I don't know at all.,23,25,
NM,"Va mee cla- va mee geaishtagh rish yn err, yn, yn, wireless, moghree shoh.","I was h-, I was listening to the err, the, the, wireless, this morning.",24.5,33.2,
DF,Row shiu?,Were you?,33,33.7,
NM,Va.,Yes.,33.5,34,
WR,(Cre voish ren shen) cheet?,Where did that come from?,34,36,
NM,C'red?,What?,35.5,37,
WR,Cre voish ren shen cheet?,Where did that come from?,36.5,38,
NM,"Oh v'eh shiu (unclear) err, (unclear) cha nel mee toiggal, cha nel, cha nel (unclear)","Oh it was you (unclear) err, (unclear) I don't understand, no, no (unclear)",38,47.8,
WR,Boayl ennagh ayns Sostyn?,Somewhere in England?,47,51,
NM,"(unclear) Oh va, va shirveishyn[?] mie my ta","(unclear) Oh yes, there were good services though.",50,53,
WC,"Ren shiu rieau clashtyn (unclear) claareyn[?] ayns, ayns Gailck Nalbin?","Did you ever hear (unclear) programmes in, in Scottish Gaelic?",53,59,
,(unclear),(unclear),,,
WC,Va ram er y radio keayrt[?] dy row agh cha nel veg ayn nish.,There were lots on the radio once upon a time but now there isn't anything.,60,66,
NM,Row? (unclear) Ta. Cha ren mee err.,Were there? (unclear) Yes. I didn't err.,65,70,
DF,"(unclear) as hug shin (unclear) jiu, (unclear) mie as ...",(unclear) and we put (unclear) today (unclear) good and ...,70,80.6,
NM,Oh va (unclear) shen feer vie.,Oh that (unclear) was very good.,80.4,90,
WC,"Ta, ta.","Yes, yes.",88,90,
DF,(unclear) slaynt mie echey (unclear),(unclear) he had good health (unclear),89.7,92,
NM,Oh ta ram Gailck echey.,Oh he has lots of Manx.,92,95,
DF,Ram Gailck goll.,Lots of Manx going.,94,96,
NM,"Ta, dy jarroo. (unclear)","Yes, indeed. (unclear)",95,96,
WC,"Ta, oh ta.","Yes, oh yes.",98,100,
WR,V'eh ginsh dooin dy row eh (unclear) ... gindys jinnagh eh fakin uss ny dyn agh cha ren eh fakin (unclear) ... row eh er nakin oo oh rish tammylt nish.,He was telling us that he was (unclear) ... wondering would he see you or not but he saw (unclear) ... had seen you oh for a while now.,100,111.2,
NM,"Cha nel mee er nakin eh rish err, quoid ... (unclear) ... mysh blein er dy henney.","I haven't seen him for err, how much ... (unclear) ... about a year ago.",111,123.5,
WC,Dy jarroo?,Indeed?,122.5,124,
DF,Row?,Was it?,122.5,124,
NM,"Shen y, shen yn traa yn, yn, yn, yn traa s'jerree ren mish fakin eh.","That's the, the time the, the, the, the last time I saw him.",123.5,127.2,
WC,T'eh dooinney niartal.,He's a mighty man.,127,128.5,
NM,"Ta, ta, ta, ta.","Yes, yes, yes, yes.",127.2,130,
WC,T'eh kiare-feed as jeih bleeantyn dy eash.,He's ninety years old.,129.5,132.6,
NM,"Ta, ta, ta.","Yes, yes, yes.",132.4,135,
WC,Hmm.,Hmm.,133,135,
NM,"Oh ta, ta.","Oh yes, yes.",135,137,
WC,Hmm.,Hmm.,136.6,138,
DF,As dooyrt eh dy row yn Gailck ain mie dy liooar.,And he said that our Manx was good enough.,136.6,140.3,
NM,Agh t'eh neesht.,And it is too.,140,141.5,
DF,Ta.,Yes.,141.4,142,
NM,"Ta, ta, ta.","Yes, yes, yes.",142,143.5,
DF,"Gura mie ayd bee ram sleih, bee ram sleih clashtyn yn recortys shoh ayns ny bleeantyn ry heet as bee ad gra dy nagh vel shin loayrt yn Gailck dy mie as dy kiart.","Thank you lots of people will, lots of people will hear this recording in the years to come and they will say that we are not speaking Manx well and correctly.",143.4,154,
NM,"She, she shen ... (unclear)","Yes, that's ... (unclear)",154,156,
DF,"Ta shin laccal uss dy gra nish, son ooilley yn sleih bee ad clashtyn yn recortys shoh dy vel ny studeyryn ayns Mannin nish dy vel ad abyl dy loayrt yn Gailck mie dy liooar.","We want you to say now, for all the people who will hear this recording that the students in Mann now that they are able to speak Manx well enough.",155,170,
NM,Well ta mee er gra shen keayrt ny ghaa.,Well I have said that many a time.,167,170.7,
DF,She.,Yes.,170,171,
WC,Hmm.,Hmm.,171,172,
NM,"Ta, ta ta'n three, ta'n three (unclear) t'ad cha mie as, as sleih erbee ta, ta toiggal aym, ta cooinaghtyn aym's jeh.","Yes, yes the three, the three (unclear) they are as good as any people that, I understand (= remember), that I have memory of.",172,181.5,
WC,Dy jarroo? Gura mie mooar ...,Indeed? Thank you very much ...,181,183.6,
NM,"Ta, dy jarroo.","Yes, indeed.",181,183,
DF,Gura mie mooar.,Thank you very much.,183,185,
NM,"Oh ta, ta.","Oh yes, yes.",183,185,
DF,Son ta ram sleih as t'ad gra dy nagh vel shinyn loayrt ass y ...,For there are lots of people and they say that we don't speak ...,185,190,
NM,"Ooooh! Quoi err, quoi err. (unclear)","Ooooh! Who err, who err. (unclear)",190,191.5,
DF,Sleih as nagh vel ...,People who don't ...,191,193,
NM,"... nagh vel ad abyl, abyl loayrt ad, ad hene?","... who aren't able, able to speak them, themselves?",191,195.6,
WR,"Cha nel, cha nel.",They aren't. they aren't.,195.5,197,
NM,Oh well.,"Oh well,",196,197,
DF,Shen yn aght,That's the way (it is).,196.8,199,
NM,[?]cha sheeu daue shen[?],[?] They aren't worth that[?],197,199.1,
DF,Shen eh.,That's it.,199,200,
WC,"She, shen yn aght.","Yes, that's the way.",199,201,
DF,Oh she.,Oh yes.,200,202,
NM,"Oh ta shiu jannoo mie, as freill shiu er.","Oh you are doing well, and keep at it.",200,204.5,
DF,"Oh nee mayd, nee mayd.","Oh we will, we will.",203.6,206,
WC,"Bee, mmm.","We will, mmm.",203.6,206,
NM,"Ta, dy jarroo ta shiu jannoo, ta shiu jannoo feer vie.","Yes, indeed you are doing, you are doing very well.",205,210,
DF,"She. As eisht, ...","Yes. And then, ...",210,212,
WR,Ta.,Yes.,210,212,
NM,"Ny, ny cur geill da, nagh cur geill daue.","And then, don't, don't pay attention to, don't pay attention to them.",212,218,
WR,Oh (unclear) cur geill daue ...,Oh (unclear) pay attention to them ...,217,220,
NM,... gra ny reddyn t'ad gra.,... say the things that they say.,217,219.8,
WR,Cha nel eh feeu cur geill daue.,It's not worth paying attention to them.,219.5,222,
NM,"Cha nel, cha nel ad fee- ...","They aren't, they aren't worth- ...",221,223,
WR,Blebbinyn.,Idiots.,222,224,
WC,(unclear) [?]er y dreeym,(unclear) [?]on the back,224,226,
NM,"Ah ta, ta.","Ah yes, yes.",225,226.5,
DF,As eisht hie shin dys thie Benaishter Kinvig.,And then we went to Mrs Kinvig's house.,226,229,
NM,Jiu?,Today?,229,230.2,
WC,Oh va!,Oh yes.,229,230,
DF,Jiu.,Today.,230,231,
NM,Nee?,Is it?,231,232,
WC,"Jiu, she, jiu.","Today, yes, today.",230,232,
DF,"As va, as v'ee ish ayns ...",And she was in ...,232,234,
NM,As vel ee cummit dys y lhiabbee?,And is she kept to the bed?,233,235,
DF,Cha nel.,No.,234.5,236,
WC,"Cha nel, t'ee er cosh.","No, she is up.",235,237,
NM,Oh t'ee goll mygeayrt vel? Oh.,Oh she's going about is she? Oh.,236,238.5,
WC,"Goll mygeayrt, ta.","Going about, yes.",237.7,239.2,
WR,T'ee mie goll mygeayrt.,She's going about.,239,240.5,
WC,As eh hene neesht.,And himself too.,240,239.2,
NM,Ta.,Yes.,241,242,
WC,"Va'n dooinney hene ayns shen, ta, agh t'eh bouyr nish.","The man himself was there, yes, but he is deaf now.",241.5,245,
