English,Manx,Manx Original,Notes,Page
R. T. S. No. 63.,No. 63. M.,,,1
SERIOUS,SMOOINAGHTYN CRAUEE,,,1
THOUGHTS,mychione,,,1
on,BEAYNID.,,,1
ETERNITY.,,,,1
Eternity! What is it? Who can explain it? Who can comprehend it?,Beaynid! Cre t’eh? Quo oddys eh y hoilshaghey? Quoi oddys eh y hoiggal? Ta Beaynid fegooish jerrey as fegooish caghlaa.,,,1
" Eternity is a duration without limits. Properly speaking, that only is eternal which hath neither beginning nor end. In this sense, God alone is eternal. There never was a time when He was not. His existence is not capable of being measured by any period of time, ever so often repeated and multiplied. “He is the same from everlasting to everlasting; He was, and is, and is to come; the high and lofty One who inhabiteth eternity.” There are some creatures which have both a beginning and an end, as the whole brute creation. There are others which have had a beginning, but shall have no end: such are angels and the spirits of men. ",,,,1
"But oh? how deeply does it concern a creature born to live for ever, to make himself acquainted with that future state to which he is hastening: and what subject is more suited to restrain the licentiousness of this thoughtless, luxurious age, than that of eternity? Let a few minutes then be devoted to the serious perusal of the following pages and may they be read with a mind disposed to offer up to God such desires as these.","O cre cha faagys as t’eh bentyn eisht rish cretoor ta ruggyt dy veh bio son dy bragh dy yannoo eh hene ainjyssaghh er y stayd dy bragh farraghtyn shen huggey t’eh dy siyragh tayrn: as cre ta cha cooie dy lhiettal mee-chraueeaght yn cheeloghe lhag-chiarailagh, rouanagh shoh, as smooinaghtyn er Beaynid? Lhig da tammylt dy hraa er-y-fa shen veh er ny vaarail er ny focklyn giarey shoh as dy vod ad greme y ghoaill er y chree lhig dauesyn ta lhaih ad dy jeean chebbal seose gys Jee lheid ny yeearreeyn shoh:—","O cre cha faagys as t’eh bentyn eisht rish cretoor ta ruggyt dy veh bio son dy bragh dy yannoo eh hene ainjyssaghh er y stayd dy bragh farraghtyn shen huggey teh dy siyragh tayrn: as cre ta cha cooie dy lhiettal mee-chraueeaght yn cheeloghe lhag-chiarailagh, rouanagh shoh, as smooinaghtyn er Beaynid Lhig da tammylt dy hraa er-y-fa shen veh er ny vaarail er ny focklyn giarey shoh as dy vod ad greme y ghoaill er y chree lhig dauesyn ta lhaih ad dy jeean chebbal seose gys Jee lheid ny yeearreeyn shoh:—",,2
"“O God, the fountain of wisdom and goodness, assist me to read this little book with a serious, attentive mind; let me not satisfy myself with barely commending the important truths which it contains, but teach me to make a devout application of them. May I read them as addressed to my conscience; and, as far as they agree with thy holy word, may I receive and submit to them as an oracle of God. May they afford me present instruction and benefit; and thus tend, by thy grace, to fit me for the enjoyment of eternal glory.”","“O Yee, farrane dy chooilley chreenaght, as dy chooilley vieys, cooin lhiam dy lhaih yn lioar beg shoh lesh aigney arrymagh as tastagh—Giall nagh jean-ym booiys mee hene lesh ynrycan loayrt dy mie jeh ny firrinyssyn mooarey te’h goaill stiagh, agh ynsee dou lesh aigney imlee as crauee dy ghoaill ad hym pene. Cur grayse dou dy lhaih ad myr Goan loayryt rish my chooinsheanse hene as (choud as t’ad cordail rish dty ghoo’s casherick,) dy chur biallys daue myr da goan yn Ooilley-niartal Jee. Giall dy voddym’s ec y traa shoh ynsagh as vondeish y gheddyn lioroo, as myr shen dy jean ad cooney lhiams liorish dty ghrayse de ve cooie son gloyr dy bragh farraghtyn.”","“O Yee farrane dy chooilley chreenaght, as dy chooilley vieys, cooin lhiam dy lhaih yn lioar beg shoh lesh aigney arrymagh as tastagh—Giall nagh jean-ym booiys mee hene lesh ynrycan loayrt dy mie jeh ny firrinyssyn mooarey te’h goaill stiagh, agh ynsee dou lesh aigney imlee as crauee dy ghoaill ad hym pene. Cur grayse dou dy lhaih ad myr Goan loayryt rish my chooinsheanse hene as (choud as t’ad cordail rish dty ghoo’s casherick,) dy chur biallys daue myr da goan yn Ooilley-niartal Jee. Giall dy voddym’s ec y traa shoh ynsagh as vondeish y gheddyn lioroo as myr shen dy jean ad cooney lhiams liorish dty ghrayse de ve cooie son gloyr dy bragh farraghtyn.”",,2
The soul of man is immortal. This is a principle on which all the divine dispensations are founded.,Ta annym dooinney farraghtyn son dy bragh. Er shoh ta gruntit dellalyn Yee rish chloan Gheiney ayns e Ghoo as ayns e Ard-chairailys.,,,2
