Manx,English,Diplomatic,
,Mr Edward Faragher's Translations,,
,"Cregneash, September 5th, 1901. ",,
,"Dear Sir, ",,
,"               I received your letter and I am very much obliged for the Manx Hymns. I have seen them when I was young, but they have been forgotten. Mr Roeder, in Manchester, has the other part of the Fables, and I don’t know whether they will be printed or not, and I don't care either, for fame will do me little good, since I must soon go to the house for all living whence none return. ",,
,"     I remain, dear sir, ",,
,"                       Sincerely yours, ",,
,                    EDWARD FARAGHER. ,,
,To Mr E. S. Dodgson.,,
,"     A copy of the verses that were in the Bible, which I translated into English when a boy, the first thing I did in the way of poetry in my life. (The copy on the leaf of Mr Faragher’s Bible differs a little in the spelling from the following.)",,
,,,
"Dooisht liorish leigh Sinai ta,","Awoken by the Law of Sinai then,","Dooisht liorish leih Sinai ta, ",
"My chree er creau; cre’n aght dy hea,","My heart a-tremble; how to flee,","My chree er crieau cre’n aght dy heay, ",
"Cha vel mee abyl ginsh,",I cannot tell.,"Cha vell mee abyl gainsh, ",
"Goo Yee ginsh dou lesh naightyn trome,","God’s word tells me with heavy news,","Goo Yee gainsh dou lesh naghtyn throme, ",
"She nuirin heese veign currit ayn,","It is Hell below I would be put in,","She nuirin heesh veen currit ayn, ",
Mannagh beign ruggit reesht.,Unless I would be born again.,Mannagh been ruggyt reesht. ,
,,,
"She gys yn leigh eisht hie mee roym,","It is to the law then that I went,",She gys yn leih esht hie mee rooam. ,
"As aash ny fea cha dooar mee ayn,","And neither ease or rest did I find there,","As eash ny fea cha dooar mee ayn,",
"As fegooish myghin neesht,",And no mercy either.,As fegoish myghhyn neesht. ,
"Yn leigh va brisht eisht cha row saase,",The law was broken therefore there was ,"Yn leih va brish esht cha row saase, ",
"Dy chosney myghin, shee, ny grayse,","No means to earn mercy, peace or grace,","Dy chosney myghyn shee ne graase, ",
Fegooish ve ruggit reesht.,Without being born again.,Fegoish ve ruggyt reesht.,
,,,
"She nooghyn Yee eisht cheayl mee gra,","It was God’s Saints then that I heard say,","She Nooghyn Yee easht cheayl mee gra, ",
"Dy row ad glen veih dagh peccah,","That they where purified of every sin,","Dy row ad glen veih dagh peccah, ",
"Trooid fuill deyr Yeesey Chreest,","Through Jesus Christs’s dear blood,","Trooid fuill deyr Yeesey Chreest, ",
"She shoh dy leah ren gerjagh mee,","It is this that soon consoled me,","She shoh dy lheay ren gherjagh mee, ",
"Eisht deie mee er lesh slane my chree,","Then I called out for it with all my heart,","Esht deiye mee er lesh slane my chree, ",
As hooar mee ruggit reesht.,And I got born again.,As hooar mee ruggyt reesht.,
,,,
"Yn seaghyn trome shoh v’er my chree,","This heavy sorrow that was upon my heart,","Yn seaghyn throme shoh ver my chree, ",
"Yeesey dy Nazareth, yn fer lhee,","Jesus of Nazareth, the doctor,","Yeesey dy Nazareth, yn fer lhiee, ",
"Ayns myghin as erreeish,","In mercy and compassion,","Ayns myghyn as erreeish, ",
"Ta trooid e uill er hayrey mee,",That has freed me through his blood,"Ta trooid y uill er hearey mee, ",
"Nish verrym moylley dhyt my Yee,","Now I will give you praise, my God,","Nish ver vm mooylley dhyt my Yee, ",
Dy vel mee ruggit reesht.,"That I am born, again.","Dy veil mee ruggyt, raesht.",
,,,
"Gys Paradise hie naight gerjoil,","To Paradise, happy news went,","Gys Paradise hie niagh gherjoil, ",
"As ooilley Niau ren toggal kiaull,","And All of heaven raised music,","As ooilley Niau ren throggal kiaul, ",
"Nooghyn as ainleyn neesht,","Saints and Angels too,","Nooghyn as Ainleyn neesht, ",
"Chur gloyr da’n Eayn ve’r Calvary,","Sent glory to the Lamb who was on Calvary, ","Chur glooyr da’n Eayn ve’r Calvary, ",
"As goaill thousaneyn seose gys jee,","And took thousands up to God, ","As ghoaill thousaanyn seose gys jee, ",
Liorish ve ruggit reesht.,By being born again.,Liorish ve ruggyt reesht.,
,,,
,E. FARAGHER.,E. FARAGHER.,
,,,
,"A copy of the hymn “Rock of Ages,” which I translated into Manx about 35 years ago for Dr Dunkan Craig, in Kinsale, Ireland.",,
,,,
"Chreg dy eashyn, son aym brisht","Rock of ages, cleft for me,","Chreg dy eashyn son aym brish, ",
Lhig dou aynyds follagh mish;,"Let me hide myself in Thee,",Lhig dou aynyds follagh mish; ,
"Lhig da'n ushtey as yn 'uill,","Let the water and the blood,","Lhig da’n rishtey as yn uill, ",
Voish Dty lhiattee vroojit gatt,From Thy riven side which flow'd,Voish dy lhattie vroojyt ghett. ,
"Voish dagh peccagh jannoo slane,","Be of sin the double cure,","Voish dagh peccah yannoo slane, ",
Mee hauail as jannoo glen.,Cleanse me from its guilt and power,Mee hauail as yannoo glen.,
,,,
"Voddin keayney laa as oie,","Could my tears forever flow,","Voddyn keayney laa as ooie, ",
Voddin lesh lane jeanyd guee;,"Could my zeal no respite know,",Voddyn lesh lane jeanyd guee; ,
"Shen cha voddagh lhiassagh nish,","All could never sin erase,","Shen cha voddagh lhiassagh nish, ",
She Oo hene shegin sauail mish.,"Thou must save, and save by grace.",She Oo hene shegin sauail mish. ,
"Fegooish gooit sy theihll shoh wass,","Nothing in my hands I bring,","Fegoish ghooit sy theihll shoh wass, ",
Ynrick cummal gys Dty chrosh.,Simply to Thy cross I cling;,Yynrick cummal gys dy chrosh.,
,,,
"Choud's vee'm tayrn yn ennal faase,","While I draw this fleeting breath,","Chouds vem tayrn yn ennal faase, ",
"As my hooillyn jeih ayns baase,","When mine eyes shall close in death,",As my hooilyn jeih ayns baase: ,
"Troggal er gys seihll gyn oayl,","When I soar to worlds unknown,","Throggal er gys seihll gyn oayl, ",
"Cur-my-ner Oo er Dty stoyl,","See Thee on Thy judgment throne,","Curmerner Oo er dy stoayl, ",
"Chreg dy eashyn, son aym brisht,","Rock of Ages, cleft for me,","Chreg dy eashyn son aym brish, ",
Lhig dou aynyds follagh mish.,Let me hide myself in Thee.,Lhig dou aynyds follagh mish. ,
,,,
