Manx,English,Diplomatic
Faagail Mannin ayns 1863,Leaving Mannin in 1863,
Ta mee faagail nish çheer my ghooie,I am now leaving my native land,Tha mee faagaill nish cheeyr my ghoaie
Yn Ellan veg t’ayns mean y cheayn ,The little Island in the middle of the sea,Yn Ellan veg t’ayns mean y cheayn 
Harrish yn faarkey lhean dy roie,To sail over the wide ocean ,Harrish yn faarkey lheayn dy roie
Veih caarjyn deyr as Mannin Veen,From dear dear friends and Dear Mannin,Veih caarjyn deyr as Mannin Veen
,,
Goll dy rouail ny lomarcan,Going to wander alone,Gholl dy rouaill ny lomarkyn
Foddey voish ooilley bynney lhiam,Far from all I loved most,Foddey voish ooilley bynney lhiam
My yeir ta shilley sheese dy myn,My tears are falling down in pieces,My yeir tra shilley sheese dy myn
Agh gerjagh arragh cha vel aym,But I have no more comfort,Agh gherjagh arragh cha vel aym
,,
Slane eu my huyraghyn as braar,So long my sisters and brother,Slane eu my huiraghyn as brayr
"Slane eu, slane eu, my ainjysee","So long, so long, my acquantances ",Slane eu slane eu my ainjysee
"Slane eu, slane eu, my Voir as Ayr","So long, so long my Mother and Father",Slane eu slane eu my Voir as Ayr
Foast ta shiu faggys da my chree,You are yet close to my heart,Foast ta shiu faghys da my chree
,,
Agh ish ta slane my hee er stroie,But she was has completely destroyed my peace,Agh ish ta slane my hee er stroie
Nish faagit foddey er my chooyl,Now left far behind me,Nish fagyt foddey er my chooyl
As nish ayns siyr dy chosney voee,And now in a hurry to get away from her,As nish ayns siyr dy chostney voie
Ayns faasaghyn yn seihll dy hooyl,To walk in the wildernesses of the world,Ayns faasaghyn yn seihll dy hooyl
,,
Nish ta ny sleityn foddey jeh,Now the mountains are far off,Nish ta ny sleityn foddey jeh
Marish dagh nhee ta deyr da’n chree,With every thing that is dear to the heart,Marish dagh nhee ta deyr da’n chree
Ayns seaghyn nish dy cheau yn traa,To spend the time in sorrow,Ayns seaghyn nish dy cheau yn tra
As gyn ny sodjey fakin ee,And not see her any longer,As gyn ny sodjey fakin ee
,,
O Vannin veen foast ta my yier,O dear Mannin my tears still,O Vannin veen foast ta my yier
Ec smooinnaght ort roie sheese my oaie,"When thinking of you, run down my face",Eck smooinnagh ort roie sheese my oie
Agh ish ta geiyrt mee voish my heer,But she who drives me from my country,Agh ish ta giyrt mee voish my heer
Ta er hoiagh beg jeh slane my ghraih,Who has despised all of my love,Ta’r hoiagh beg jeh slane my graih
,,
Slane ayd ven foalsey son dy braa,So long false woman forever,Slane ayd ven foalsey son dy braa
Cha jeanyms arragh paagey oo,I will not ever kiss you again,Cha jeanyms arragh paagey oo
Ga dy bee’m deinagh ceau my hraa,Although I will be weary spending my time,Gha dy beem deighnagh cheau my hraa
Nee’m streeu gyn smooinaght ort ny smoo,I will strive not to think of you anymore.,Nym straeu gyn sooinniaght ort ny smoo
,,
Agh ga nagh jean mayd reesht meeiteil ,But although we will not meet again,Agh ga nagh jean mayd reesht meetteill 
Syn astyer fo yn villey mooar,In the afternoon under the big tree,Syn astyer fo yn vhilley mooar
Ny-yeih nee ish as mish failleil,Nevertheless she and I will fail,Ny-yeih nee ish as mish falleeil
As lhie dy chadley ayns yn ooir,And lie down to sleep in the soil,As lhie dy chadley ayns yn ooir
Farquhar,Farquhar,Farquhar
