English,Manx,Notes
Conversational Manx,,
By John Gell,,
A Series of Graded Lessons in Manx and English with phonetic pronunciation,,
"PRINTED BY MONA’S HERALD, LTD., RIDGEWAY STREET, DOUGLAS, I.O.M.",,
Conversational Manx,,
By John Gell,,
"A Series of graded lessons in Manx and English, introducing the student quickly and easily to idiomatic and conversational Manx Gaelic.",,
Dedication,,
"In affectionate memory of those native Manx people from whom I got the Manx and with whom in their homes I found such friendship, kindness and hospitality.","Ayns cooinaghtyn ghraihagh jeh ooilley ny Manninee dooie shen veuesyn hooar mish y Ghailck, as maroosyn ayns nyn dhieyn hooar mee lheid y caarjys, kenjallys, as giastyllys.",
"Alas! Most of them are now gone, and there will never be their like among us again. God’s Peace be with them.",,
Introduction,,
"The author in need of an introduction for his book usually prevails upon some well-known but kindly disposed personality to recommend his work. The seal of solid respectability thus set upon it sends the book off to a flying start and dispels from the minds of timorous readers all doubts as to its soundness. Not so, however, is Mr Gell. He is not interested in the impression his book may have upon the eminent, but only in its value to the ordinary people — of which I am one, and so, if I, as an ordinary man, think that his work is valuable, it is fair to believe that other ordinary men and women will do so too. ",,
"     For many years I have been interested in the Gaelic languages, and have seen numerous text-books designed to help the learner. Some I have found very good; others less useful. Amongst them all Juan y Geill’s volume is practically unique, in that it meets squarely the real difficulty which must be found in learning a language; that the language is primarily spoken.",,
"     Now the ability to speak a language fluently does not lie so much in the possession of a good vocabulary and a sound knowledge of its grammar, as in the ability to string words into phrases and sentences with the rythym and accent given to them by the native speakers. Many dictionaries and text-books give the pronunciation of single words, but all too few tell us the sound of these same words when used in conversation.",,
"     For the student of Manx, unable to spend time with a native speaker, this difficulty has in the past been quite insuperable, Kneen’s Dictionary alone has revealed what hitherto was an exasperating secret; how to pronounce the Manx. Mr Gell’s book carries the work to its logical conclusion and tells us how to speak it.",,
"     In the matter of pronunciation he has followed the conventions adopted by the late J. J. Kneen, with a few exceptions. Undoubtedly, argument could be brought forward for the use of the conventional signs of the International Phonetic Alphabet, and such arguments would be cogent, but, to the ordinary student, the system as used by Kneen, which is related to English syllables as pronounced in the Island, must necessarily have the appeal of simplicity. In my own opinion Mr. Gell is wise in adopting it rather than the moe difficult Phonetic Alphabet.",,
"     The sentences and phrases should be spoken rythmically with the accent as shown in heavy type, and having thus attained some fluency in using the set phrases, it is a relatively simple step without losing either rhythm or fluency.",,
"     Finally, practise as often and as regularly as possible — speak the language and keep on speaking it, for its life and preservation is both a charge upon the conscience, and a challenge to the patriotism of this generation!",,
"[Long live our language, and to every student of Manx I would say, Good luck to you!]","Dy voddey beayn yn ghlare ain, as rish dy chooilley studeyr ny Ghailck yiarrins, Raah dy row ort!",
FRANK BELL KELLY,,
Wolverhampton,,
"[Easter, 1954]","Y Chaisht, 1954",
,,
Preface,,
"     FOR some years past, students and teachers of the Manx Language have felt the need for a series of graded exercises in conversational Manx, and to meet this demand these lessons were prepared and pub­ lished in weekly instalments by the ""Mona's Herald"" last winter. They now appear in book form in the hope that they will enable even the casual reader to learn a few phrases, and the more serious student to become conversant with the idiom and fluent in speaking our ancient mother tongue.",,
"     The pronunciation of Manx is a very real difficulty, and even with the assistance of a native speaker, the English tongue cannot quite re­ produce the true Gaelic sounds. Admittedly, those who acquired the language in childhood from parents or grandparents are the best speakers, but such alas, are reduced in number to a mere handful, and even the Anglo-Manx dialect, so rich in the idiom and so full of true Gaelic words, has almost disappeared so that most students have no choice but to try to learn the pronunciation from imitated phonetic symbols.",,
"Unfortunately, no system of English spelling can adequately represent the spoken Manx; the best would undoubtedly be the International Phonetic Alphabet, but this in itself would create still more difficulty for the average student. Hence, I have conformed in general to the system used by the late Mr. J. J. Kneen in his English-Manx Pronouncing Dictionary, a second edition of which has recently been published by the Mona's Herald Press, and which I whole-heartedly commend to the student for a full explanation of the phonetic symbols and a valuable aid to building up a good vocabulary.",,
Note the following variations from Mr. Kneen’s system:,,
"a is used for that indeterminate vowel heard in English ‘about’, or the short ‘e’ in ‘the boy’.",,
"     ch always as in English church. This is the equivalent of the slender ‘t’ in Gaelic.  (e.g. Manx, 'cheer', a  country = Gaelic, 'tir'.)",,
"     ch represents the aspirate of ‘c’ or ‘k’, pronounced as the Scot would say ‘loch’.",,
"The t. and d. as used by Mr. Kneen cause some difficulty, so I have used t.th and d.th. These may look clumsy, but they give a better idea of the sound : viz.",,
     ayns y thie like English in 'unset thigh.',,
     towse  as in Lancs. dialect  ‘t.thouse’,,
     deyr like English ‘wanted there’,,
     dou like English ‘said thou’,,
"The short vowel a and e, also o and u, are not so distinct as in English; in the dialect one would hear ‘donkey’ pronounced almost as 'd.thunkey,' and the word 'better' as 'bat.tha.' Note also that the ‘oo’ in Manx is always long, as in the English ‘mood’ - a true Manxman will pronounce ‘good’ as though written ‘gude’.",,
"I must emphasise that phonetics can only approximate to the actual spoken Manx, and I strongly advise those who can, to attend the Manx Language classes, or better still, spend some time with a native speaker if that is possible.",,
"Finally, I hope that the Manx Language Society will have all the Manx sections of these lessons recorded on the tape machine, and copies made available for use in the Language classes and for individual students, so that in the years to come, when our last native speaker will, alas, have passed away, the pronunciation of Manx will be assured.",,
JUAN Y GEILL.,,
"Purt l.e Moirrey,",,
1954,,
Lesson 1,,
"1. Good morning Ned, how are you?","1. Moghrey mie, Ned, cre’naght ta shiu?",
"2. Fairly well, thank you.","2. Lane vie, gur eh mie eu.",
3. How are you yourself ?,3. Kys ta shiu hene ?,
4. I am not complaining.,4. Cha nel mee g’accan.,
5. I hear that Tom is sick.,5. Ta mee clashtyn dy vel Thom ching.,
"6. Oh, indeed, what ails him?","6. O dy jarroo, c’red ta jannoo er?",
"[NE: Oh, really, what’s up with him?]",,
"7. I don't know, but he is not working.","7. Cha ’sayms, agh cha nel eh g’obbragh.",
8. He was working yesterday.,8. V’eh g’obbragh jea.,
"9. Yes, but he wasn’t looking too well.","9. Va, agh cha row eh jeeaghyn ro vie.",
10. Are you going home now ?,10. Vel oo goll thie nish?,
"11. No, I am going to Douglas.",11. Cha nel. Ta mee goll gys Doolish.,
"12. Make haste then, the bus is coming.",12. Jean siyr eisht ta’n barroose cheet.,
"[NE: Hurry up then, the bus is coming.]",,
13. Goodbye Johnnie. Farewell Ned.,"13.  Bannaght lhiat, Yuan. Slane lhiat, Ned.",
14. Look who’s coming now!,14. Jeeagh quoi ta cheet nish!,
15. It’s William (that’s in).,15. She Illiam t’ayn.,
"16. Good morning, William, what rush is on thee?","16. Moghrey mie, Illiam, cre’n driss t’ort ?",
"[NE: Morning, William, what’s your hurry?]",,
17. I am going to Port St. Mary.,"17. Ta mee goll gys Purt le Moirrey,",
18. Are you going fishing ?,18. Vel oo goll eeastagh?,
"19. Yes, are you coming with me?","19. Ta, vel oo cheet marym?",
"20. Not today at all, I’m away home.","20. Cha nel jiu edyr, ta mee ersooyl dy-valley.",
"[NE: No, not today. I’m heading home.]",,
Notes on Lesson 1,,
"1. Much use is made in colloquial Manx of the first person singular, thee and thou, especially when speaking to a person one knows well, but the plural ‘shiu’ is used out of courtesy to an elder or a stranger.",,
"2. ‘Lane vie’ = full well, but a Manxman, always conservative, rarely admits this.",,
"‘Gur  eh mie eu’ =literally, may there be good at you.",,
"3. ‘Kys’, pronounced ‘kunnas’ or ‘kennas’, similar to the Irish, ‘cunas’.",,
4. Note the ‘g’  prefixed to verbal noun commencing with vowel.,,
"5. ‘dy vel’, an example of the dependent form of the verb.",,
6. Literally = ‘what is doing on him?’,,
7. ‘Cha ’sayms = an abbreviation of ‘Cha nel fys ayms’ (There is not knowledge at me).,,
"19. ‘jeeaghyn’. Jeeagh is given as imperative of ‘fakin’, but actually it means ‘look’.",,
