English,Manx
TYNWALD,
"ST. JOHN’S, 5th JULY, 1941",
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
Wt. E.1321.—150/6/41.,
"Printed (by Authority) by I.O.M. Examiner Ltd., Hill Street, Douglas.",
"1.— The Horse Breeding Act, 1940.","1,— Yn Slattys Breh Cabbil , Nuy cheead yeig as daeed."
The object and purport of this Act is to amend the Horse breeding Act.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Breh Cabbil.
"2.— The Old Age and Widow’s Pensions Act, 1940.","2.— Yn Slattys Toyrtyn Shenn Eaysh as Mraane Treoghe, Nuy cheead yeig as daeed."
The object and purport of this Act is to reduce the pension age of a certain class of women and to provide for supplementary pensions.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da sorch er-lheh dy vraane dy hayrn toyrtyn ec eaysh ny sloo as dy chiarail son toyrtyn vooadit.
"3.— The Jury (Amendment) Act, 1940.","3.— Yn Slattys Bing (Lhiasaghey),, Nuy cheead yeig as daeed."
The object and purport of this Act is to amend the Jury Act.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Bing.
"4.— The Motor Duties (Temporary Provision) Act, 1940.","4.— Yn Slattys Taillyn Motor, (Kiarailyn Tammyltagh), Nuy cheead yeig as daeed."
The object and purport of this Act is to temporarily reduce motor duties for members of His Majestey’s Forces on leave.,Ta’n aigney as y chooish jeh’n Slattys shoh dy eddyrmaghey rish tammylt taillyn motor da olteynyn Sheshaghtyn Chaggee e Ard-Ooashley er feailley.
"5.— The Income Tax (War Emergency) Act, 1940.","5.— Yn Slattys Keesh Cosney-Vleeanagh (Foaynoo Er-lheh Caggee), Nuy cheead yeig as daeed."
The object and purport of this Act is to amend the Income Tax Acts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn keesh Cosney-Vleeanagh.
"6.— The War (Local Conditions) Act, 1940.","6.— Yn Slattys , Nuy cheead yeig as daeed."
The object and purport of this Act is to empower a special tribunal to make adjustments necessary through war conditions.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da boayrd-vriwnys er-lheh dy yannoo caghlaayn femoil er-coontey y caggey.
"7.— The Letting Agreements (Revision) Act, 1940.","7.— Yn Slattys Coardailyn Tannystys-er-Maayl (Lhiasaghey), Nuy cheead yeig as daeed."
The object and purport of this Act is to provide for the review of tenancy and other agreements.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son caghlaa tannystys as coardailyn elley.
"8.— The War Emergency (Relief of Rates) Act, 1940.","8.— Yn Slattys Foaynoo Er-lheh caggee (Eddyrmaghey Keeshyn Skeerey), Nuy cheead yeig as daeed."
The object and purport of this Act is to meet the rating conditions caused by the present emergency.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail mychione keeshyn skeerey goaill baght jeh’n foaynoo t’ayn nish.
"9.— The Sale of Food (Weights and Measures) Act, 1940.","9.— Yn Slattys Creck Bee (Meighaghyn as Towseyn), Nuy cheead yeig as daeed."
The object and purport of this Act is to protect the public in relation to the sale of food.,Ta’n aigney as y chooish jeh’n Slattys shoh dy choadey yn theay bentyn rish creck bee.
"10.— The Prevention of Damage by Rabbits Acts, 1940.","10.— Yn Slattys Coadey noi Jeel jeant liorish Conneeyn, Nuy cheead yeig as daeed"
The object and purport of this Act is to abolish the rabbit nuisance.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiettal stroialtys liorish conneeyn.
"11.— The Purchase Tax Act, 1940.","11.— Yn Slattys er Kionnaghey, Nuy cheead yeig as daeed."
The object and purport of this Act is to impose a purchase tax.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur keesh er kionnaghey.
"12.— The Workmen’s Compensation (Supplementary Allowances) Act, 1940.","12.— Yn Slattys Cooilleeney Obbreeyn (Toyrtysyn Vooadit), Nuy cheead yeig as daeed."
The object and purport of this Act is to temporarily increase Workmen’s Compensation.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey rish tammylt Cooilleeney Obbreeyn.
"13.— The Licensing (War Emergency Fees) Act, 1940.","13.— Yn Slattys Oastys (Leaghyn ’sy Foaynoo Er-lheh Caggee), Nuy cheead yeig as daeed."
The object and purport of this Act is to temporarily reduce licensing fees.,Ta’n aigney as y chooish jeh’n Slattys shoh dy eddyrmaghey rish tammylt leaghyn oastys.
"14.— The Income Tax (Surtax Prevention of Evasion) Act, 1940.","14.— Yn Slattys Keesh Cosney-Vleeanagh (Aa-cheesh—Lhiettal Scapail), Nuy cheead yeig, as daeed.."
"15. The Highway (Unadopted Roads) Amendment Act, 1941.","15.— Yn Slattys Raaidyn Mooarey (Raaidyn Neu-Oltit) Lhiasaghey, Nuy cheead yeig ’nane as daeed"
"The object and purport of this Act is to amend the Highway (Unadopted Roads) Act, 1939.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Raaidyn Mooarey (Raaidyn Neu-Oltit) Nuy cheead yeig, nuy jeig as feed."
"16.— The Education (Emergency Provisions) Act, 1941.","16.—Yn Slattys Ynsagh (Kiarailyn Foaynoo Er-lheh), Nuy cheead yeig ’nane as daeed.."
The object and purport of this Act is to enable the provisions of the Education Acts to be temporarily suspended.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar son kiarailyn ny Slattysyn Ynsagh dy ve currit ry-lhiattee rish tammylt.
"17.—The Superannuation Schemes (War Service) Act, 1941.",17.—Yn Slattys Saaseyn Toyrtys Faagail Oik (Shirveish Caggee). Buy cheead yeig ’nane as daeed.
The object and purport of this Act is to prevent loss of benefit by joining Forces.,Ta’n aigney as y chooish jeh’n Slattys shoh dy choadey feallagh veih coayl foays er-coontey shirveish ayns ny Sheshaghtyn Chaggee.
"18.— The War Charities Act, 1941.","18.—Yn Slattys Giastyllysyn Caggee, Nuy Cheead Yeig, 'nane as daeed."
The object and purport of this Act is to provide for the registration and control of war charities.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son recortys as oardaghey giastyllysyn caggee.
The ROYAL ASSENT to the foregoing Acts was given on the dates set out hereunder:—,Va’n Cordail Reeoil currit da ny Slattysyn goll roish er ny laghyn fo soit magh:—
"Nos. 1, 2, 3, 4, 5, 6, 7, 8,  and 9 at Buckingham Palace ... 2nd July, 1940.","Earrooyn nane, jees, three, kiare, queig, shey, shiaght, hoght, as nuy ec y Plaase Buckingham, er yn Ghaaoo laa jeh’n Chiaghtoo vee, Nuy cheead yeig as daeed"
"No. 10 at Buckingham Palace ... 31st July, 1940.","Earroo jeih ec y Plaase Buckingham er yn Un Laa jeig as feed jeh’n Chiaghtoo vee, Nuy cheead yeig as daeed."
"No. 11 at Buckingham Palace ... 24th October, 1940.","Earroo nane-jeig ec y Plaase Buckingham er yn chiarroo laa as feed jeh’n Jeihoo vee, Nuy cheead yeig as daeed."
"No. 12 at Buckingham Palace ... 8th November, 1940.","Earroo ghaa-jeig ec y Plaase Buckingham er yn Hoghtoo laa jeh’n Un vee jeig, Nuy cheead yeig as daeed."
"Nos. 13 and 14 at Buckingham Palace ... 11th December, 1940.","Earrooyn three-jeig as kiare jeig ec y Plaase Buckingham er yn Un laa jeig jeh’n Ghaaoo vee jeig, nuy cheead yeig as daeed."
"Nos. 15, 16 and 17 at Buckingham Palace ... 28th February, 1941.","Earrooyn queig-jeig, shey-jeig as shiaght-jeig ec y Plaase Buckingham er yn Hoghtoo laa as feed jeh’n Ghaaoo vee, nuy cheead yeig ’nane as daeed."
"No. 18 at Buckingham Palace ... 30th May, 1941.","Earroo hoght-jeig ec y Plaase Buckingham er yn Jeihoo laa as feed jeh’n Wheiggoo vee, nuy cheead yeig ’nane as daeed."
