English,Manx,Notes
FIRESIDE STORIES,SKEEALYN CHEEIL-ÇHIOLLEE[1],[1] skeealyn çheeil-chiollee] ‘fireside stories’ — [skeealyn keeil-chiollee] would be expected here in Classical Manx.
,[Cover Page],
,,
Books of the House of Thatch,Lioaryn Yn Thie Thooee,
Number 1,Earroo 1,
FIRESIDE STORIES,SKEEALYN CHEEIL-CHIOLLEE,
,[1],
FIRESIDE STORIES,SKEEALYN CHEEIL-CHIOLLEE,
TRANSLATED BY,ÇHYNDAIT LIORISH,
A. S. B. Davies (ART MAC GHAVID),A. S. B. Davies (ART MAC GHAVID),
Introduction by J. D. Qualtrough,Goan-Foshlee liorish J. D. Qualtrough,
Speaker of the House of Keys,Fockleyder ny Kiare as Feed,
President of the Manx Language Society,Ard-Reiltagh ny Sheshaght Gailckagh,
,[3],
Printed in the Isle of Man,Clouit ayns Ellan Vannin,
"     It is a great pleasure to welcome this little book, and its author—Mr. Arthur S. B. Davies.",She lesh taitnys mooar ta mee g’oltaghey y lioaran shoh as yn ughtar j’ee — Mainstyr Arthur S. B. Davies.,
"     In introducing Mr. Davies to the people of Man, let me say that he is a fellow country-man of that great Welshman, Bishop Pjillips, to whom we are indebted for the earliest writing we possess in the Manx language, namely the Book of Common Prayer, translated into Manx by that good bishop (1625-30). Mr Davies is conversant wth all the Celtic tongues, and he has lived among the peoples who use them daily, from the Islands off the North West Coast of Scotland to the peninsula of Brittany.","     Lhig dou cur er enn eh da’n phobble Vanninagh; she Bretnagh dooie eshyn. Ta shin cooinaghtyn dy re Bretnagh myrgeddin eshyn ren hoshiaght yn Ghailck Vanninagh y screeu — yn Aspick Phillips, tra hyndaa eh Lioar ny Padjer ’sy ghlare ghooie ain. Shione da Mr. Davies ooilley ny glaraghyn Celtiagh, as t’eh er vaghey mastey ny cummaltee ta loayrt gagh laa yn ghlare Cheltiagh oc, ayns Ellanyn ny Twoaie Albinagh as ayns y Thalloo Vretonagh t’er y Vooar-heer.",
"     In 1946 Mr. Davies came to visit the Isle of Man, ad he met all the native Manx speakers. On his return he published an intersting article on the Manx language in the “Bulletin of Celtic Studies.”","     Haink eh dy chur shilley er Ellan Vannin ’sy vlein 1946, as haink eh ny whail rish gagh Manninagh va loayrt yn Ghailck ec y traa shen, as tra rosh eh dy-valley reesht, screeu eh coontey ny glare ain va currit magh ayns y “Bulletin of Celtic Studies”.",
"And now he has given us this little volume, which it is my pleasure to introduce — not without hope that it may be the fore-runner of other Manx works from his pen. He has the authentic Celtic style and is well equipped to write in our language.","     T’eh nish cur magh yn lioran shoh as foddee dy vel lioran elley ayns laue dy eiyrt er. Ta ny skeealyn scruit dy-mie, as s’leayr dooin dy vel Mnr. Davies lane ynsit as aghtal ayns y ghlare ghooie ain.",
    There is a peculiar MANX flavour about these tales. As I read them I had little difficulty in picturing our forefathers exchanging yarns of the same character as they sat around the fireside in the days of long ago.,"     Gyn dooyt, ta blass lajer Manninagh ayns ny “Skeealyn Cheeil-Çhiollee.” Choud’s va mee lhaih ad cha row eh ny red doillee dou dy akin, lesh sooillyn m’aigney ny shenn ayraghyn ainyn g’insh ry-cheilley skeealyn jeh’n vun cheddin, myr v’ad nyn soie rish y chiollagh ayns laghyn foddey er-dy-henney.",
"     Every Manx student must read this book to savour for himself the pleasure Mr. Davies has given us. And all who read it will, I feel sure, express the hope that the time is not far off when the writer will give us some more tales of the same kind.","     Lhig da dy-chooilley studeyr Manninah lhaih yn lioran shoh, as eisht jir ad, ta mee smooinaght — “Gur eh mie mooar eu, Vainstyr Davies, son y taitnys ta shiu er chur dooin, as ny lhig da’n traa ve foddey roish my screeuys shiu yn lheid cheddin dy skeealyn elley.”",
J. D. Q.,J. D. Qualtrough.,
"Castletown,","Balley-Chashtal,",
"January, 1952.","Yn chied vee, 1952.",
[5],[6],
"To all those native Manx people that love the old Gaelg, which means, the mother tongue of the Isle of Man.","Gys ooilley ny Manninee dooie shen ta graihagh er y çhenn Ghailck, ta shen dy ghra, çhengey ny mayrey Ellan Vannin.",
Foreword,ROIE-RAA,
"     These five true stories are selected from the Welsh in “Straeon y Pentan,” that Daniel Owen wrote long ago. With kind permission of Messers Hughes and Son, Caerdydd (Cardiff), Publishers of the original book, the version is published.","     Ta ny queig skeealyn firrinagh shoh reihit veih’n Vretnish ayns “Straeon y Pentan,” screeu Daniel Owen foddey er-dy-henney. Lesh kied kenjal Vainstyryn Hughes as e Vac, Caerdydd, Soilsheyderyn ny bun-lioar, ta’n çhyndaa er ny chur magh.",
"     I am indebted to Mr. John Gell, Port St. Mary, for helping me to prepare the stories for the printers, and to Mr. William (Bill) Radcliffe, Ramsey, for reading the proofs.","     Ta mee fo lhiastynys da Mnr. Juan y Geill, Purt le Moirrey, son cooney lhiam dy yannoo aarloo ny skeealyn da ny clouderyn, as da Mnr. Illiam Radcliffe, Rhumsaa, son lhaih ny prowallyn-clou.",
A. S. B. D.,A. S. B. D.,
Colwyn Bay,"Baie Colwyn,",
Wales,Bretin.,
"Spring, 1952.","Yn Arragh, 1952.",
,[6],
NAMES OF THE STORIES,ENMYN NY SKEEALYN,
JAC’S HAT     9-11,YN EDD EC JAC     9-11,
WILLIAM THE SHEPHERD.    12-14,ILLIAM YN BOCHILLEY     12-14,
THOMAS MATHIAS     15-17,THOMASE MATHIAS     15-17,
THE GHOST OF THE INN     18-22,SCAAN Y THIE-OAST    18-22,
THE BOY’S DOG     23-26,MODDEY YN GHUILLEY     23-26,
[7],[7],
‘”May Manx Endure”,“Dy Jean y Ghailck Farraghtyn”,
,[8],
Jac’s Hat.,Yn Edd ec Jac,
"“You heard’ve many times that the mind has a great amount of power on the health or ill-health of the body, and true enough that is,” said my uncle Edward. Here for you is a story them, as true as it can be.","“Cheayll oo keayrt ny ghaa dy vel ec yn aigney cooid-vooar dy phooar er slaynt ny er aslaynt y chorp, as s’feer dy-liooar shen,” dooyrt my naim Edard. Er hoh dhyts skeeal eisht, cho firrinagh as oddys ee ve.",
"     After I had grown up into a young man, I came to be very tired of farm work, it was too easy-going a life for me, and I had heard that good pay was to be had in the cotton-mill in Yr Wyddgrug (a town in Wales.) and off I went to there to seek work.","     Lurg dooys v’er n’aase seose my ghooinney aeg, haink mee dy ve feer skee jeh obbyr-eiringagh, ve ny vioys ro hoccaragh dooys, as va mee er chlashtyn dy row faill vie ry-gheddyn ayns y wyllin-cadee ayns Yr Wyddgrug (balley ayns Bretin.) as ersooyl lhiam dys shen dy hirrey obbyr.",
"     I got work right away, and I was a sort of assistant with the spinners, and I was very happy with my situation. There was another young man there and he was about the same age as me, a boy who had lost one eye, but, nevertheless, he saw more with his one than other boys would be usually see with two eyes!","     Hooar mee obbyr çhelleeragh, as va mee my horçh dy chooneyder lesh ny sneeuderyn as va mee feer vaynrey lesh my stayd. Va dooinney-aeg elley ayns shen as eshyn mysh yn eash cheddin as mish, guilley v’er choayl un hooill, agh, ny-yeih, v'eh fakin ny smoo ass e ’nane na veagh guillyn elley fakin dy-cadjin lesh daa hooill!",
"     He was called William James, and he was a very mischievious boy. He and I came to be friends in a short time. Williams and I would be taking companionship {??} in tricks and joking every day. But it was understood between Williams and I that we had to accept the blame after one another (in turns). That way we were avoiding one castigation!","     V’eh enmyssit William James, as she guilley feer vitçhooragh v’eh. Haink eshyn as mish dy ve nyn gaarjyn ayns traa gerrid. Veagh William as mish goaill commeeys ayns cluicyn as spotçheraght gagh laa. Agh ve toiggit eddyr William as mish dy row eh orrin dy ghoaill-rish yn ’oill lurg-y-cheilley. Myr shen va shin shaghney un smaght!",
"     Thomas Burgess was the man who was foreman in the spinning room, and he was one of the cruellest and hateful ones towards the workers that I ever saw. But Burgess really loved joking and had committed provocative tricks against the men he had charge of, and so, he showed plenty of favour to William and I.","     She Thomase Burgess yn dooinney va ny ’urriman ’sy çhamyr-snauee, as v’eh ’nane jeh ny fir s’dewiley as s’dwoaiagh rish ny fir-obbree honnick mee rieau. Agh va Burgess feer ghraihagh er spotçheraght as er cur-rish cluicyn brasnee noi ny deiney va er e churrym, as myr shen, yeeagh eh foayr dy-liooar da William as dooys.",
"     I had read somewhere that a man could exhort and make a healthy man believe that he is sick, and a sick man to believe that he is healthy, unless his sickness were too serious.","     Va mee er lhaih boayl ennagh dy voddagh fer coyrlaghey as cur er dooinney slayntoil dy chredjal dy vel eh çhing, as er dooinney çhing dy chredjal dy vel eh follan, mannagh beagh y çhingys echey ro hrome.",
"     Once, while were having our dinner, I mentioned this to Thomas Burgess, and he said: it’s easy to test the matter, if you and Wil James would put your heads together (to see) how you’ll do it to one of these ones. If Wil can’t do something, I’ll be amazed, because I think he’s a very skillfull boy.","      Keayrt dy row, as shinyn goaill nyn yinnair, ren mee gimraa y chooish shoh rish Thomase Burgess, as dooyrt eshyn: S’aashagh prowal y yannoo er y chooish, my yinnagh uss as Wil James cur nyn ging ry-cheilley [dy ’akin][2] crenaght [9] nee shiu eh er ’nane jeh ny fir shoh. Mannagh yarg Wil jannoo red ennagh, bee yindys mooar orryms, er-yn-oyr er lhiam dy re guilley feer schleioil t'eshyn.","[2] dy ’akin] ‘to see’ — added here as it, or something similar, is evidently missing from the original."
"     I spoke to Wil about Burgess’ secret, and before the night Wil had prepared a trick!","     Loayr mee rish Wil mychione yn tannish ec Burgess, as roish yn oie va cluic er ny yannoo aarloo ec Wil!",
