Manx,English,Diplomatic
Resooney er Tuittym Adam ,A Discourse on the The Fall of Adam,Resooney er tuittym Adam
"Va’n seihll feer aalin roish va’n sarey brisht,","The world was really beautiful before the comand was broken,",Va’n seihll feer aalin rosh van sarey brish
"Gyn sterrym, geay as fliaghey, myr t’ayn nish,","Without storm, wind and rain as it is now,",Gyn sterrym gheay as fliaghey mor t’ayn nish
"Coamrit ayns stoamid as dagh nhee ayns blaa,","Clothed in elegence and everything in bloom,",Coamyrit ayns stoamyd as dagh nhee ayns blaa
Yn ghrian ayns aalid va soilshean dagh laa.,The sun in beauty was shining every day.,Yn ghrain ayn aalid va soljean dagh laa
"S’maynrey va Adam ayns ny laghyn shen,",How happy Adam was in those days,S’manrey va Adam ayns ny laghyn shen
"Rosih ren eh geaishtagh rish coraa yn ven,",Before he listened to the voice of his wife,Rosh ren eh geashtagh rish corraa yn ven
"As goaill jeh’n mess nagh row ee lowit dy ee,",And took of the fruit that he wasn’t allowed to eat,As ghoaill jeh’n mess nagh row ee lought dy ee
As brishey sarey geyre yn niartal; Jee.,And broke the strict comand of the mighty; God.,As brishey sarey gayre yn niarthal jee
"Ren nyn neu-firinys nyn sluight y stroie,","Our false assertion ruined our progeny,",Ren nyn nufirrynys nynsluight y stroie
"As nish ta peccah harrish ooilley roie,","And now sin runs over all,",As nish ta peccah harrish ooilley roie.
"Tra ren yn ven coyrle yn ardnieu y ghoaill,","When the woman took the advice of the serpent,",Tra ren yn ven couyrle yn ardnieu y ghoaill
As v’ad nyn neesht gys mie as sie cha doal.,Whilst they were both so blind to good and bad.,As va’d nyn neest gys mie as sie cha doal
"Ren yn ardnieu dy croutagh molley ee,","The serpent craftily decieved her,",Ren yn ardnieu dy croutagh molley ee
"As ren ish cleaney Adam ayns e chree,","And she persuaded Adam in his heart,",As ren ish chleaney Adam ayns y chree
"Va’d eiyrt magh ass pargys dy rouaill,",They were chased out of paradise to wander,Va’d eiyrt magh ass pargys dy rouaill
Fud seihll dy voirey laadit lesh cairail.,Through a world of trouble laden with care.,Fud seihll dy voirey laadyt lesh cairaill
Dy hraue yn thalloo ass v’ad er ny ghoaill,"To plough the land out of which they were taken,",Dy craue yn thalloo as va’d er ny ghoaill
